model_name,accuracy,f1,roc_auc,pr_auc,sensitivity,specificity,balanced_accuracy,log_loss
tabfm_default,0.6844558327175806,0.6108027573652397,0.5376822868419586,0.6257800546419227,0.6674290348859314,0.3627730294396961,0.5151010321628138,0.6088946113655994
tabpfn_v2,0.6713540874267211,0.5117146123105454,0.5210281346529835,0.6194024656545638,0.5933048433048432,0.3805962555962556,0.4869505494505495,0.5820725198540844
tabpfn_v2_5,0.6773850225764302,0.5286023059462966,0.5050844622513557,0.6205190661916027,0.5998931623931624,0.38812576312576313,0.49400946275946267,0.5852283399235974
tabpfn_v2_6,0.6748500161208979,0.5913423276886366,0.5239887159134361,0.6348735012287849,0.6518745143745144,0.34676434676434675,0.4993194305694305,0.586275032321277
tabpfn_v3,0.6779457174089275,0.5583010305524534,0.5419677842658787,0.6298113879409043,0.6192712380212381,0.37886650386650383,0.49906887094387087,0.5786757033056558
