endpoint,model_name,mean_predicted,observed
extreme_os,tabfm_default,0.24427626421052628,0.42105263157894735
extreme_os,tabfm_default,0.24766378789473678,0.15789473684210525
extreme_os,tabfm_default,0.5458651466666667,0.4666666666666667
extreme_os,tabfm_default,0.7466302883333333,0.6666666666666666
extreme_os,tabfm_default,0.7764956205882352,0.7058823529411765
extreme_os,tabfm_default,0.815194191666667,0.8888888888888888
extreme_os,tabfm_default,0.8646718927777777,0.9444444444444444
extreme_os,tabfm_default,0.9138765247058825,0.9411764705882353
extreme_os,tabpfn_v2,0.2333277977777778,0.3333333333333333
extreme_os,tabpfn_v2,0.2509987411111111,0.2777777777777778
extreme_os,tabpfn_v2,0.5101271652941177,0.47058823529411764
extreme_os,tabpfn_v2,0.7512235649999999,0.7777777777777778
extreme_os,tabpfn_v2,0.7761708417647059,0.6470588235294118
extreme_os,tabpfn_v2,0.8195972161111111,0.8333333333333334
extreme_os,tabpfn_v2,0.8652403364705883,0.8235294117647058
extreme_os,tabpfn_v2,0.9124595677777777,1.0
extreme_os,tabpfn_v2_5,0.2409072866666667,0.1111111111111111
extreme_os,tabpfn_v2_5,0.24934408944444442,0.3888888888888889
extreme_os,tabpfn_v2_5,0.5020593688235294,0.47058823529411764
extreme_os,tabpfn_v2_5,0.7399926766666665,0.7777777777777778
extreme_os,tabpfn_v2_5,0.7748865388235294,0.7647058823529411
extreme_os,tabpfn_v2_5,0.8232214216666667,0.7222222222222222
extreme_os,tabpfn_v2_5,0.8733720594117649,1.0
extreme_os,tabpfn_v2_5,0.91882864,0.9444444444444444
extreme_os,tabpfn_v2_6,0.23393034111111108,0.16666666666666666
extreme_os,tabpfn_v2_6,0.2512284757894737,0.3157894736842105
extreme_os,tabpfn_v2_6,0.5289857887499999,0.5
extreme_os,tabpfn_v2_6,0.7542125422222222,0.7777777777777778
extreme_os,tabpfn_v2_6,0.7851444229411764,0.8235294117647058
extreme_os,tabpfn_v2_6,0.8172842805555557,0.7222222222222222
extreme_os,tabpfn_v2_6,0.8652192682352942,0.8823529411764706
extreme_os,tabpfn_v2_6,0.9087865666666668,1.0
extreme_os,tabpfn_v3,0.239204525,0.4444444444444444
extreme_os,tabpfn_v3,0.2420280233333333,0.1111111111111111
extreme_os,tabpfn_v3,0.5118106170588235,0.47058823529411764
extreme_os,tabpfn_v3,0.7557665005555556,0.6666666666666666
extreme_os,tabpfn_v3,0.7802321635294117,0.7647058823529411
extreme_os,tabpfn_v3,0.8125879411111113,0.8333333333333334
extreme_os,tabpfn_v3,0.868907047647059,0.8823529411764706
extreme_os,tabpfn_v3,0.9138027555555553,1.0
os_3yr,tabfm_default,0.10120295498387094,0.11290322580645161
os_3yr,tabfm_default,0.14183190791044778,0.08955223880597014
os_3yr,tabfm_default,0.3035594855932204,0.3728813559322034
os_3yr,tabfm_default,0.4611298301666664,0.5666666666666667
os_3yr,tabfm_default,0.498239814375,0.453125
os_3yr,tabfm_default,0.5222984593333336,0.5833333333333334
os_3yr,tabfm_default,0.5591807596774191,0.5645161290322581
os_3yr,tabfm_default,0.7260426491935483,0.5967741935483871
os_3yr,tabpfn_v2,0.10634463456451612,0.08064516129032258
os_3yr,tabpfn_v2,0.13473105838709676,0.14516129032258066
os_3yr,tabpfn_v2,0.299589288548387,0.2903225806451613
os_3yr,tabpfn_v2,0.48162805968253974,0.6349206349206349
os_3yr,tabpfn_v2,0.4952449118032788,0.5081967213114754
os_3yr,tabpfn_v2,0.5182802941935484,0.43548387096774194
os_3yr,tabpfn_v2,0.5524529604838713,0.5645161290322581
os_3yr,tabpfn_v2,0.6658953682258066,0.6451612903225806
os_3yr,tabpfn_v2_5,0.10955560680645163,0.08064516129032258
os_3yr,tabpfn_v2_5,0.13526091580645164,0.11290322580645161
os_3yr,tabpfn_v2_5,0.2869143355555555,0.31746031746031744
os_3yr,tabpfn_v2_5,0.47186340885245903,0.5737704918032787
os_3yr,tabpfn_v2_5,0.4919414482539683,0.5079365079365079
os_3yr,tabpfn_v2_5,0.5107098331147542,0.5737704918032787
os_3yr,tabpfn_v2_5,0.5530688706451612,0.532258064516129
