endpoint,model_name,fpr,tpr
extreme_os,tabpfn_v2_5,0.02,0.38461538461538464
extreme_os,tabpfn_v2_5,0.04,0.38461538461538464
extreme_os,tabpfn_v2_5,0.04,0.4175824175824176
extreme_os,tabpfn_v2_5,0.1,0.4175824175824176
extreme_os,tabpfn_v2_5,0.1,0.4835164835164835
extreme_os,tabpfn_v2_5,0.12,0.4835164835164835
extreme_os,tabpfn_v2_5,0.12,0.5384615384615384
extreme_os,tabpfn_v2_5,0.14,0.5384615384615384
extreme_os,tabpfn_v2_5,0.14,0.5494505494505495
extreme_os,tabpfn_v2_5,0.16,0.5494505494505495
extreme_os,tabpfn_v2_5,0.16,0.6153846153846154
extreme_os,tabpfn_v2_5,0.18,0.6153846153846154
extreme_os,tabpfn_v2_5,0.18,0.6263736263736264
extreme_os,tabpfn_v2_5,0.2,0.6263736263736264
extreme_os,tabpfn_v2_5,0.2,0.7032967032967034
extreme_os,tabpfn_v2_5,0.22,0.7032967032967034
extreme_os,tabpfn_v2_5,0.22,0.7472527472527473
extreme_os,tabpfn_v2_5,0.26,0.7472527472527473
extreme_os,tabpfn_v2_5,0.26,0.7692307692307693
extreme_os,tabpfn_v2_5,0.28,0.7692307692307693
extreme_os,tabpfn_v2_5,0.28,0.8351648351648352
extreme_os,tabpfn_v2_5,0.34,0.8351648351648352
extreme_os,tabpfn_v2_5,0.34,0.8571428571428571
extreme_os,tabpfn_v2_5,0.36,0.8571428571428571
extreme_os,tabpfn_v2_5,0.36,0.8901098901098901
extreme_os,tabpfn_v2_5,0.44,0.8901098901098901
extreme_os,tabpfn_v2_5,0.44,0.9010989010989011
extreme_os,tabpfn_v2_5,0.46,0.9010989010989011
extreme_os,tabpfn_v2_5,0.46,0.9120879120879121
extreme_os,tabpfn_v2_5,0.5,0.9120879120879121
extreme_os,tabpfn_v2_5,0.5,0.9230769230769231
extreme_os,tabpfn_v2_5,0.54,0.9230769230769231
extreme_os,tabpfn_v2_5,0.54,0.9340659340659341
extreme_os,tabpfn_v2_5,0.56,0.9340659340659341
extreme_os,tabpfn_v2_5,0.6,0.9340659340659341
extreme_os,tabpfn_v2_5,0.62,0.9340659340659341
extreme_os,tabpfn_v2_5,0.62,0.945054945054945
extreme_os,tabpfn_v2_5,0.68,0.945054945054945
extreme_os,tabpfn_v2_5,0.68,0.978021978021978
extreme_os,tabpfn_v2_5,0.72,0.978021978021978
extreme_os,tabpfn_v2_5,0.72,0.989010989010989
extreme_os,tabpfn_v2_5,0.74,0.989010989010989
extreme_os,tabpfn_v2_5,0.78,0.989010989010989
extreme_os,tabpfn_v2_5,0.82,0.989010989010989
extreme_os,tabpfn_v2_5,0.82,1.0
extreme_os,tabpfn_v2_5,1.0,1.0
extreme_os,tabpfn_v2_6,0.0,0.0
extreme_os,tabpfn_v2_6,0.0,0.01098901098901099
extreme_os,tabpfn_v2_6,0.0,0.02197802197802198
extreme_os,tabpfn_v2_6,0.0,0.054945054945054944
extreme_os,tabpfn_v2_6,0.0,0.07692307692307693
extreme_os,tabpfn_v2_6,0.0,0.21978021978021978
extreme_os,tabpfn_v2_6,0.02,0.21978021978021978
extreme_os,tabpfn_v2_6,0.02,0.24175824175824176
