endpoint,model_name,recall,precision
extreme_os,tabfm_default,1.0,0.6453900709219859
extreme_os,tabfm_default,0.989010989010989,0.6428571428571429
extreme_os,tabfm_default,0.978021978021978,0.6402877697841727
extreme_os,tabfm_default,0.9340659340659341,0.6640625
extreme_os,tabfm_default,0.9120879120879121,0.6693548387096774
extreme_os,tabfm_default,0.9120879120879121,0.680327868852459
extreme_os,tabfm_default,0.8791208791208791,0.7547169811320755
extreme_os,tabfm_default,0.8791208791208791,0.7766990291262136
extreme_os,tabfm_default,0.8681318681318682,0.8144329896907216
extreme_os,tabfm_default,0.8681318681318682,0.8229166666666666
extreme_os,tabfm_default,0.8461538461538461,0.8279569892473119
extreme_os,tabfm_default,0.8241758241758241,0.8333333333333334
extreme_os,tabfm_default,0.8021978021978022,0.8295454545454546
extreme_os,tabfm_default,0.7362637362637363,0.8375
extreme_os,tabfm_default,0.7142857142857143,0.8441558441558441
extreme_os,tabfm_default,0.6703296703296703,0.8472222222222222
extreme_os,tabfm_default,0.6703296703296703,0.8714285714285714
extreme_os,tabfm_default,0.6593406593406593,0.8695652173913043
extreme_os,tabfm_default,0.6483516483516484,0.8676470588235294
extreme_os,tabfm_default,0.6373626373626373,0.8787878787878788
extreme_os,tabfm_default,0.6263736263736264,0.8769230769230769
extreme_os,tabfm_default,0.6153846153846154,0.875
extreme_os,tabfm_default,0.6043956043956044,0.873015873015873
extreme_os,tabfm_default,0.5934065934065934,0.8852459016393442
extreme_os,tabfm_default,0.5824175824175825,0.8833333333333333
extreme_os,tabfm_default,0.5824175824175825,0.9137931034482759
extreme_os,tabfm_default,0.5384615384615384,0.9245283018867925
extreme_os,tabfm_default,0.5054945054945055,0.92
extreme_os,tabfm_default,0.4835164835164835,0.9166666666666666
extreme_os,tabfm_default,0.46153846153846156,0.9333333333333333
extreme_os,tabfm_default,0.43956043956043955,0.9523809523809523
extreme_os,tabfm_default,0.42857142857142855,0.9512195121951219
extreme_os,tabfm_default,0.4175824175824176,0.95
extreme_os,tabfm_default,0.4065934065934066,0.9487179487179487
extreme_os,tabfm_default,0.38461538461538464,0.9459459459459459
extreme_os,tabfm_default,0.3626373626373626,0.9428571428571428
extreme_os,tabfm_default,0.31868131868131866,0.9354838709677419
extreme_os,tabfm_default,0.2967032967032967,0.9310344827586207
extreme_os,tabfm_default,0.2857142857142857,0.9285714285714286
extreme_os,tabfm_default,0.27472527472527475,0.9259259259259259
extreme_os,tabfm_default,0.26373626373626374,0.9230769230769231
extreme_os,tabfm_default,0.25274725274725274,0.92
extreme_os,tabfm_default,0.21978021978021978,0.9523809523809523
extreme_os,tabfm_default,0.2087912087912088,0.95
extreme_os,tabfm_default,0.17582417582417584,0.9411764705882353
extreme_os,tabfm_default,0.14285714285714285,0.9285714285714286
extreme_os,tabfm_default,0.13186813186813187,1.0
extreme_os,tabfm_default,0.12087912087912088,1.0
extreme_os,tabfm_default,0.10989010989010989,1.0
extreme_os,tabfm_default,0.0989010989010989,1.0
extreme_os,tabfm_default,0.07692307692307693,1.0
extreme_os,tabfm_default,0.0,1.0
extreme_os,tabpfn_v2,1.0,0.6453900709219859
extreme_os,tabpfn_v2,1.0,0.65
extreme_os,tabpfn_v2,0.989010989010989,0.6474820143884892
extreme_os,tabpfn_v2,0.989010989010989,0.6521739130434783
extreme_os,tabpfn_v2,0.989010989010989,0.656934306569343
extreme_os,tabpfn_v2,0.989010989010989,0.6617647058823529
extreme_os,tabpfn_v2,0.989010989010989,0.6666666666666666
extreme_os,tabpfn_v2,0.989010989010989,0.6766917293233082
extreme_os,tabpfn_v2,0.989010989010989,0.6818181818181818
extreme_os,tabpfn_v2,0.989010989010989,0.6870229007633588
extreme_os,tabpfn_v2,0.978021978021978,0.6846153846153846
extreme_os,tabpfn_v2,0.967032967032967,0.6821705426356589
extreme_os,tabpfn_v2,0.9560439560439561,0.6796875
extreme_os,tabpfn_v2,0.9560439560439561,0.6850393700787402
extreme_os,tabpfn_v2,0.9560439560439561,0.6904761904761905
extreme_os,tabpfn_v2,0.945054945054945,0.688
extreme_os,tabpfn_v2,0.9340659340659341,0.6854838709677419
extreme_os,tabpfn_v2,0.9340659340659341,0.6910569105691057
extreme_os,tabpfn_v2,0.9230769230769231,0.6885245901639344
extreme_os,tabpfn_v2,0.9230769230769231,0.6942148760330579
extreme_os,tabpfn_v2,0.9120879120879121,0.6916666666666667
extreme_os,tabpfn_v2,0.9010989010989011,0.6890756302521008
extreme_os,tabpfn_v2,0.9010989010989011,0.6949152542372882
extreme_os,tabpfn_v2,0.9010989010989011,0.7008547008547008
extreme_os,tabpfn_v2,0.9010989010989011,0.7068965517241379
extreme_os,tabpfn_v2,0.8901098901098901,0.7043478260869566
extreme_os,tabpfn_v2,0.8901098901098901,0.7105263157894737
extreme_os,tabpfn_v2,0.8791208791208791,0.7079646017699115
extreme_os,tabpfn_v2,0.8791208791208791,0.7142857142857143
extreme_os,tabpfn_v2,0.8791208791208791,0.7207207207207207
extreme_os,tabpfn_v2,0.8791208791208791,0.7272727272727273
extreme_os,tabpfn_v2,0.8791208791208791,0.7339449541284404
extreme_os,tabpfn_v2,0.8791208791208791,0.7407407407407407
extreme_os,tabpfn_v2,0.8791208791208791,0.7476635514018691
extreme_os,tabpfn_v2,0.8791208791208791,0.7547169811320755
extreme_os,tabpfn_v2,0.8791208791208791,0.7619047619047619
extreme_os,tabpfn_v2,0.8791208791208791,0.7692307692307693
extreme_os,tabpfn_v2,0.8791208791208791,0.7766990291262136
extreme_os,tabpfn_v2,0.8791208791208791,0.7843137254901961
extreme_os,tabpfn_v2,0.8791208791208791,0.7920792079207921
