experiment,dataset,endpoint,model_name,model_family,n_test,class_0_test,class_1_test,bootstrap_iterations,accuracy,accuracy_ci_low,accuracy_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,f1,f1_ci_low,f1_ci_high,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,log_loss,log_loss_ci_low,log_loss_ci_high,brier,brier_ci_low,brier_ci_high,prediction_path
per_cancer,ESCA_core_os_3yr_event_top100,os_3yr,tabpfn_v2_6,tabpfn,13,3,10,2000,0.7692307692307693,0.5384615384615384,0.9230769230769232,0.5,0.5,0.5,0.8695652173913043,0.7,0.96,1.0,1.0,1.0,0.0,0.0,0.0,0.4,0.0909090909090909,0.75,0.8077455877455877,0.5602728482936816,0.9639180264180264,0.578118475347994,0.3121102736361428,0.9680058968963288,0.1890789824147765,0.0818706679948036,0.3468095220992697,/home/prime/Documents/g3/tab-r1/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/esca_core_os_3yr_event_top100/20260705_040419/predictions/tabpfn_v2_6_predictions.csv
per_cancer,ESCA_core_os_3yr_event_top100,os_3yr,tabpfn_v3,tabpfn,13,3,10,2000,0.7692307692307693,0.5384615384615384,0.9230769230769232,0.5,0.5,0.5,0.8695652173913043,0.7,0.96,1.0,1.0,1.0,0.0,0.0,0.0,0.5333333333333333,0.0833333333333333,1.0,0.8072333222333222,0.5524387368583797,1.0,0.5507042481726806,0.3111202104630678,0.9062570551743386,0.1806552244114636,0.0805222306200077,0.3297787990023192,/home/prime/Documents/g3/tab-r1/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/esca_core_os_3yr_event_top100/20260705_040419/predictions/tabpfn_v3_predictions.csv
per_cancer,HNSCC_core_os_3yr_event_top100,os_3yr,tabpfn_v2,tabpfn,58,26,32,2000,0.5,0.3620689655172414,0.6379310344827587,0.4567307692307692,0.3868749999999999,0.5265151515151515,0.6588235294117647,0.5263157894736842,0.7659574468085106,0.875,0.75,0.9722222222222222,0.0384615384615384,0.0,0.125,0.4603365384615384,0.30644889208132,0.6127598039215685,0.5169114126282741,0.3878250803875983,0.7105895339726661,0.7066636655444822,0.6609266810560527,0.7539658972397724,0.2562096356632467,0.2339061333307806,0.2791970765971617,/home/prime/Documents/g3/tab-r1/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/hnscc_core_os_3yr_event_top100/20260705_040426/predictions/tabpfn_v2_predictions.csv
per_cancer,HNSCC_core_os_3yr_event_top100,os_3yr,tabpfn_v2_5,tabpfn,58,26,32,2000,0.5172413793103449,0.3793103448275862,0.6551724137931034,0.4831730769230769,0.3854527170316644,0.5797709627329193,0.65,0.5135135135135135,0.7619047619047619,0.8125,0.6666666666666666,0.9375,0.1538461538461538,0.0357142857142857,0.303030303030303,0.4513221153846153,0.3004659498207885,0.6118450934631203,0.5143064996832962,0.382285812231908,0.7055195338868011,0.7070820401161969,0.6651026877159484,0.7506606791400985,0.2564352755630895,0.2359116846382359,0.2777272868256203,/home/prime/Documents/g3/tab-r1/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/hnscc_core_os_3yr_event_top100/20260705_040426/predictions/tabpfn_v2_5_predictions.csv
per_cancer,HNSCC_core_os_3yr_event_top100,os_3yr,tabpfn_v2_6,tabpfn,58,26,32,2000,0.5344827586206896,0.396551724137931,0.6556034482758597,0.5024038461538461,0.4023574862637362,0.603448275862069,0.6582278481012658,0.5205479452054794,0.7710843373493976,0.8125,0.6666666666666666,0.935483870967742,0.1923076923076923,0.0525657894736842,0.3600909090909086,0.5264423076923077,0.3641775038819875,0.6798322536120571,0.5792166476740161,0.4305610919741108,0.7803777282590834,0.6899324556747326,0.6465400781907668,0.735250673561778,0.2482702846017624,0.2271331616392875,0.2703926155954081,/home/prime/Documents/g3/tab-r1/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/hnscc_core_os_3yr_event_top100/20260705_040426/predictions/tabpfn_v2_6_predictions.csv
per_cancer,HNSCC_core_os_3yr_event_top100,os_3yr,tabpfn_v3,tabpfn,58,26,32,2000,0.5689655172413793,0.4482758620689655,0.6896551724137931,0.5300480769230769,0.4447115384615384,0.6242575757575757,0.6987951807228916,0.5675675675675675,0.8,0.90625,0.7940922920892495,1.0,0.1538461538461538,0.0357142857142857,0.3158492822966504,0.4639423076923077,0.3058394642520279,0.6188725490196079,0.540294098788859,0.4043593551427696,0.741242657205537,0.6936236303549002,0.660148956835167,0.7262472062119766,0.2501854744587136,0.2336687603900507,0.2662819217793882,/home/prime/Documents/g3/tab-r1/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/hnscc_core_os_3yr_event_top100/20260705_040426/predictions/tabpfn_v3_predictions.csv
per_cancer,HNSCC_core_os_5yr_event_top100,os_5yr,tabpfn_v2,tabpfn,43,8,35,2000,0.813953488372093,0.6976744186046512,0.9302325581395348,0.5,0.5,0.5,0.8974358974358975,0.821917808219178,0.963855421686747,1.0,1.0,1.0,0.0,0.0,0.0,0.6857142857142857,0.4139784946236559,0.9166666666666669,0.8909967856707057,0.7630461258337979,0.987525972911924,0.4526557086824092,0.2997839165582789,0.6229119321021546,0.144486385337619,0.078892061933511,0.2151110977131244,/home/prime/Documents/g3/tab-r1/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/hnscc_core_os_5yr_event_top100/20260705_040436/predictions/tabpfn_v2_predictions.csv
per_cancer,HNSCC_core_os_5yr_event_top100,os_5yr,tabpfn_v2_5,tabpfn,43,8,35,2000,0.813953488372093,0.6976744186046512,0.9302325581395348,0.5,0.5,0.5,0.8974358974358975,0.821917808219178,0.963855421686747,1.0,1.0,1.0,0.0,0.0,0.0,0.6285714285714286,0.3785666023166023,0.8537134695671278,0.8790257406978235,0.7492682517220279,0.981979117499202,0.4653041827973818,0.3016996431672588,0.6390560489120122,0.1479463442336167,0.0806504760948953,0.2206801788713042,/home/prime/Documents/g3/tab-r1/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/hnscc_core_os_5yr_event_top100/20260705_040436/predictions/tabpfn_v2_5_predictions.csv
per_cancer,HNSCC_core_os_5yr_event_top100,os_5yr,tabpfn_v2_6,tabpfn,43,8,35,2000,0.813953488372093,0.6976744186046512,0.9069767441860463,0.5,0.5,0.5,0.8974358974358975,0.821917808219178,0.951219512195122,1.0,1.0,1.0,0.0,0.0,0.0,0.65,0.4019342872284049,0.866096979332273,0.8864089792310756,0.7683434601992526,0.9814480460987884,0.4517883010043027,0.3060352787220382,0.6164076290835203,0.1453841929129212,0.0849273728504735,0.2147984355311022,/home/prime/Documents/g3/tab-r1/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/hnscc_core_os_5yr_event_top100/20260705_040436/predictions/tabpfn_v2_6_predictions.csv
per_cancer,HNSCC_core_os_5yr_event_top100,os_5yr,tabpfn_v3,tabpfn,43,8,35,2000,0.813953488372093,0.6976744186046512,0.9302325581395348,0.5,0.5,0.5,0.8974358974358975,0.821917808219178,0.963855421686747,1.0,1.0,1.0,0.0,0.0,0.0,0.625,0.3928571428571429,0.8399091343854613,0.8846549673615665,0.7717227809397315,0.9743519100080734,0.46092168934837,0.3066598244382343,0.6294308276936599,0.149360790466364,0.0830412109121224,0.2204330441195673,/home/prime/Documents/g3/tab-r1/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/hnscc_core_os_5yr_event_top100/20260705_040436/predictions/tabpfn_v3_predictions.csv
