model_name,model,family,per_cancer_os_3yr,per_cancer_os_5yr,per_cancer_extreme_os,pooled_os_3yr,pooled_os_5yr,pooled_extreme_os,within_macro
logistic_regression,Logistic regression,Linear,0.5063222354126564,0.5271540918739155,0.5377175886383794,0.5359160489113018,0.5418876330518702,0.5223343995245217,0.5237313053083171
random_forest,Random forest,Tree ensemble,0.5432496572218571,0.5555273951530624,0.583028785652883,0.7159593466887146,0.7471242337658225,0.7807536384474087,0.5606019460092675
catboost,CatBoost,Boosted tree,0.5362498009332969,0.5510348041853742,0.5884357365545828,0.712939471382666,0.748541691990633,0.7818914053267046,0.5585734472244179
xgboost,XGBoost,Boosted tree,0.5439659877184312,0.5526294321885343,0.5709300254737899,0.7007256972408206,0.7336567498641152,0.7679974430846654,0.5558418151269184
lightgbm,LightGBM,Boosted tree,0.5340893874712263,0.5557028145109196,0.5719729427812248,0.6980637476418091,0.7191816715071734,0.7618629155058563,0.5539217149211235
autogluon,AutoGluon,AutoML,0.5222488703504313,0.5505022494237735,0.5764444034872145,0.7018101210127534,0.7438238415600951,0.7570003212577899,0.5497318410871398
tabfm_default,TabFM,Foundation model,0.5369774764538059,0.559668125596884,0.5983471067559113,0.7205063393466774,0.7528415853952757,0.7802843792370762,0.5649975696022004
tabpfn_v2,TabPFN v2,Foundation model,0.5522002660166733,0.5520402723665294,0.5969195861337101,NA,0.7505668762645772,0.7839217959717396,0.567053374838971
tabpfn_v2_5,TabPFN v2.5,Foundation model,0.5425034417459793,0.5587183789501682,0.6017481226472406,NA,0.7530081418851347,0.784668256905292,0.5676566477811295
tabpfn_v2_6,TabPFN v2.6,Foundation model,0.5413988409548474,0.550966441865434,0.6046011663741873,NA,0.7523603288318909,0.7780659155423885,0.5656554830648229
tabpfn_v3,TabPFN v3,Foundation model,0.5286681742683166,0.5607392368786133,0.6005946830679835,0.7140010647420999,0.7542922092489522,0.7861943445707738,0.5633340314049712
