dataset,model_name,cancer_type,n_test,class_0_test,class_1_test,sensitivity,specificity,balanced_accuracy,pr_auc
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v2,BRCA,77,68,9,0.1111111111111111,1.0,0.5555555555555556,0.2718654084711156
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v2,ESCA,12,1,11,1.0,0.0,0.5,0.9072838777384231
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v2,HNSCC,62,29,33,0.7878787878787878,0.3793103448275862,0.583594566353187,0.5893248595419143
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v2,LSCC,47,27,20,0.85,0.18518518518518517,0.5175925925925926,0.5244569910182937
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v2,LUAD,49,20,29,0.034482758620689655,0.85,0.4422413793103448,0.5579806046255469
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v2_5,BRCA,77,68,9,0.0,1.0,0.5,0.3133770726829461
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v2_5,ESCA,12,1,11,1.0,0.0,0.5,0.9254656959202414
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v2_5,HNSCC,62,29,33,0.8484848484848485,0.3793103448275862,0.6138975966562173,0.6182049527861398
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v2_5,LSCC,47,27,20,0.65,0.6296296296296297,0.6398148148148148,0.5107622954316066
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v2_5,LUAD,49,20,29,0.0,0.95,0.475,0.5860318347186965
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v2_6,BRCA,77,68,9,0.0,1.0,0.5,0.2214781128539619
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v2_6,ESCA,12,1,11,1.0,0.0,0.5,0.9536042240587697
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v2_6,HNSCC,62,29,33,0.8181818181818182,0.3448275862068966,0.5815047021943573,0.540485450014938
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v2_6,LSCC,47,27,20,1.0,0.14814814814814814,0.5740740740740741,0.5333998242975124
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v2_6,LUAD,49,20,29,0.0,1.0,0.5,0.5514426096071391
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v3,BRCA,77,68,9,0.0,1.0,0.5,0.2744334408103466
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v3,ESCA,12,1,11,1.0,0.0,0.5,0.9072838777384231
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v3,HNSCC,62,29,33,0.8181818181818182,0.3448275862068966,0.5815047021943573,0.5757333875983834
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v3,LSCC,47,27,20,0.95,0.1111111111111111,0.5305555555555556,0.5394192537513292
ALL_core_os_3yr_event_top94_no_cancer_feature,tabpfn_v3,LUAD,49,20,29,0.0,1.0,0.5,0.5294575771402878
ALL_core_os_5yr_event_top75_no_cancer_feature,tabpfn_v2,BRCA,53,35,18,0.0,1.0,0.5,0.42626574436489695
ALL_core_os_5yr_event_top75_no_cancer_feature,tabpfn_v2,HNSCC,37,8,29,1.0,0.0,0.5,0.790133603332567
ALL_core_os_5yr_event_top75_no_cancer_feature,tabpfn_v2,LSCC,51,16,35,1.0,0.0,0.5,0.8540941414090167
ALL_core_os_5yr_event_top75_no_cancer_feature,tabpfn_v2,LUAD,35,8,27,1.0,0.0,0.5,0.7192390749242665
ALL_core_os_5yr_event_top75_no_cancer_feature,tabpfn_v2_5,BRCA,53,35,18,0.0,1.0,0.5,0.43039340032435397
ALL_core_os_5yr_event_top75_no_cancer_feature,tabpfn_v2_5,HNSCC,37,8,29,1.0,0.0,0.5,0.7407558537656931
ALL_core_os_5yr_event_top75_no_cancer_feature,tabpfn_v2_5,LSCC,51,16,35,1.0,0.0,0.5,0.76654855025753
ALL_core_os_5yr_event_top75_no_cancer_feature,tabpfn_v2_5,LUAD,35,8,27,1.0,0.0,0.5,0.7228638119078048
ALL_core_os_5yr_event_top75_no_cancer_feature,tabpfn_v2_6,BRCA,53,35,18,0.0,1.0,0.5,0.30860432501386736
ALL_core_os_5yr_event_top75_no_cancer_feature,tabpfn_v2_6,HNSCC,37,8,29,1.0,0.0,0.5,0.8475177139541293
ALL_core_os_5yr_event_top75_no_cancer_feature,tabpfn_v2_6,LSCC,51,16,35,1.0,0.0,0.5,0.7282128917337168
ALL_core_os_5yr_event_top75_no_cancer_feature,tabpfn_v2_6,LUAD,35,8,27,1.0,0.0,0.5,0.7230038437650408
ALL_core_os_5yr_event_top75_no_cancer_feature,tabpfn_v3,BRCA,53,35,18,0.0,1.0,0.5,0.3516178471951439
ALL_core_os_5yr_event_top75_no_cancer_feature,tabpfn_v3,HNSCC,37,8,29,1.0,0.0,0.5,0.7722779060227724
ALL_core_os_5yr_event_top75_no_cancer_feature,tabpfn_v3,LSCC,51,16,35,1.0,0.0,0.5,0.8624563448677437
ALL_core_os_5yr_event_top75_no_cancer_feature,tabpfn_v3,LUAD,35,8,27,1.0,0.0,0.5,0.7175621597842234
