methylation_gene__GENE_SCRIB,methylation_gene__GENE_SORBS1,methylation_gene__GENE_PNN,methylation_gene__GENE_CNP,methylation_gene__GENE_ARPC2,methylation_gene__GENE_OSBPL6,rnaseq_gene__GENE_FLJ43859,rnaseq_gene__GENE_PSG11,rnaseq_gene__GENE_PRAMEF16,methylation_gene__GENE_NEK11;ASTE1,methylation_gene__GENE_EXT1,methylation_gene__GENE_CDK2AP2,rnaseq_gene__GENE_PRAMEF18,rnaseq_gene__GENE_OR4K2,methylation_gene__GENE_CNOT10,methylation_gene__GENE_ZNF624,methylation_gene__GENE_TRPS1,methylation_gene__GENE_ZNF596;RPL23AP53,rnaseq_gene__GENE_OTUD6A,methylation_gene__GENE_GABBR1,methylation_gene__GENE_SIKE1,methylation_gene__GENE_NDUFAF1,methylation_gene__GENE_CCRN4L,methylation_gene__GENE_SDC1,methylation_gene__GENE_LPPR2,methylation_gene__GENE_LASS5,methylation_gene__GENE_NSUN5,methylation_gene__GENE_SNX10,methylation_gene__GENE_SUFU,methylation_gene__GENE_TYMP;ODF3B,methylation_gene__GENE_CASP6,rnaseq_gene__GENE_C21ORF54,methylation_gene__GENE_TNKS2,rnaseq_gene__GENE_NCRNA00230B,methylation_gene__GENE_SKIL,rnaseq_gene__GENE_ADAM5P,methylation_gene__GENE_C19ORF22,methylation_gene__GENE_PNRC1,methylation_gene__GENE_YJU2B,rnaseq_gene__GENE_PRAMEF22,rnaseq_gene__GENE_DEFB118,methylation_gene__GENE_ZNF721;PIGG,methylation_gene__GENE_OBFC2B,methylation_gene__GENE_NDE1;KIAA0430,methylation_gene__GENE_SNORD84;BAT1,methylation_gene__GENE_RCBTB2,rnaseq_gene__GENE_CSRP3,methylation_gene__GENE_IQCG;RPL35A,methylation_gene__GENE_GATA6,methylation_gene__GENE_RNF7,methylation_gene__GENE_SART3,rnaseq_gene__GENE_TCP10,methylation_gene__GENE_CTNS;SHPK,methylation_gene__GENE_CENPM,methylation_gene__GENE_ACPL2,methylation_gene__GENE_C1ORF85,methylation_gene__GENE_PGAP1,methylation_gene__GENE_RAB3GAP1,methylation_gene__GENE_NACC1;TRMT1,methylation_gene__GENE_ENO2,methylation_gene__GENE_BID,methylation_gene__GENE_LOC145783;TCF12,methylation_gene__GENE_ADAM17,methylation_gene__GENE_ERP29;TMEM116,methylation_gene__GENE_CDK5RAP1,methylation_gene__GENE_ZNF44,methylation_gene__GENE_PRDX6,methylation_gene__GENE_AARS;EXOSC6,methylation_gene__GENE_ASL,methylation_gene__GENE_TRIO,methylation_gene__GENE_PRELID1;RAB24,methylation_gene__GENE_LIN37,methylation_gene__GENE_LRP2BP,methylation_gene__GENE_SPSB1,methylation_gene__GENE_RSPH3,methylation_gene__GENE_TYMP;SCO2,methylation_gene__GENE_KIAA0100,methylation_gene__GENE_MCC,methylation_gene__GENE_MAP4K4,methylation_gene__GENE_PIGP;TTC3,methylation_gene__GENE_DVL1,methylation_gene__GENE_B2M,methylation_gene__GENE_PPP3CC,methylation_gene__GENE_ACTB,methylation_gene__GENE_C18ORF19;RNMT,methylation_gene__GENE_GMCL1,methylation_gene__GENE_TCFL5,methylation_gene__GENE_ASAH1,methylation_gene__GENE_ZNF333,methylation_gene__GENE_UTP20,methylation_gene__GENE_DNAJC9,methylation_gene__GENE_TNFSF9,methylation_gene__GENE_C3ORF59,rnaseq_gene__GENE_OR6C68,methylation_gene__GENE_STAMBPL1,methylation_gene__GENE_GSR,methylation_gene__GENE_SNORD25;SNORD27;SNORD26;SLC3A2;SNORD28;SNHG1,methylation_gene__GENE_C3ORF23,methylation_gene__GENE_QTRT1,methylation_gene__GENE_KTELC1,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.41032338,0.23093128,0.92409426,0.8835326,0.9171042,0.024985047,-0.1053454,-0.08720162,-0.07234395,-0.0685845,0.2724021,-0.4144276,-0.08606776,-0.09375395,1.5376943,0.6220517,0.55362856,-0.11021341,-0.1489025,1.4033974,0.44466725,0.48104048,0.37009028,2.29268,0.28703848,0.93290526,0.35242248,0.7842886,0.54957426,0.7585861,0.43147662,-0.0679732,0.24027158,-0.05998392,0.7472554,1.1373738,1.2137496,0.70702374,0.42896795,-0.11066106,-0.13369994,0.42173645,0.8677229,0.13529193,2.1244195,0.011206888,-0.15924661,-0.103135765,0.59930146,1.2357007,0.4417737,-0.14643842,1.4809912,0.89855057,0.59649277,-0.10875279,-0.07695419,1.8735074,1.1414319,0.07336908,0.27185285,0.20070483,1.832739,0.056605134,0.22245051,0.64314336,-0.13785753,-0.23536432,0.87843895,0.94829166,-0.10503849,0.5243545,0.3083548,0.7024819,1.8004966,1.8149443,0.3653119,0.06384947,-0.04812611,0.043400798,0.51947165,-0.019082772,0.7000801,0.26546022,-0.6672956,1.1340773,0.41494763,0.3274703,0.638236,-0.037386823,0.7200545,-0.5938744,0.17874794,-0.08303952,0.09512929,1.2453247,2.1681979,0.7255273,0.092756815,0.63478726,0
-0.1498576,-0.2567603,0.23597416,0.37414527,0.24059713,-0.20045902,-0.1053454,-0.08720162,-0.07234395,-0.35913548,0.013146481,0.1484289,-0.08606776,-0.09375395,1.1095629,0.2723116,0.73974645,-0.19309218,-0.1489025,0.16860925,-0.017753692,0.57346845,0.026817147,0.75122714,0.028524911,-0.3069687,0.7692807,0.05455773,0.06036818,0.1355378,0.39536414,-0.0679732,0.20012291,-0.05998392,0.26322258,-0.13250025,0.25261226,0.26312187,0.05728857,-0.11066106,-0.13369994,0.019383963,0.31872043,0.07224356,-0.007284099,0.034167845,-0.15924661,0.6641784,0.08231301,0.3759214,0.4508651,-0.14643842,-0.06716859,0.2531766,1.3346683,0.48866603,-0.061139487,-0.16761762,0.32274202,-0.11980332,0.6276185,0.05993213,0.47931546,0.5948152,-0.32000992,0.17307654,0.23126501,-2.615049,0.6251516,0.117987305,-0.29172713,0.288306,0.05197497,0.46809566,-0.11495952,0.4572926,0.06893354,0.2133517,-0.36474058,0.5461737,0.07711687,0.21766737,-0.5772716,-0.16719145,-0.78613746,0.36451972,-0.0011133582,0.10578244,0.4992087,1.3006214,0.35593355,1.0460768,-0.038627576,-0.08303952,-0.21724093,-0.0059153596,-0.01686142,0.07117612,0.20119487,0.39414436,0
-0.29871964,-0.2819493,-0.031178063,0.34295535,-0.32618397,-0.18350211,-0.1053454,-0.08720162,-0.07234395,-0.5896402,-0.015492707,0.14196536,-0.08606776,-0.09375395,-0.12903625,-0.1525013,-0.44173828,-0.1983823,-0.1489025,-0.065035336,0.12640727,-0.2492285,-0.16320957,0.14306092,-0.010312691,-0.4132217,-0.19733639,-0.6181502,-0.11531721,-0.30292547,0.093613155,-0.0679732,-0.14661795,-0.05998392,0.09448052,-0.13250025,-0.30908328,-0.3460234,0.10143314,-0.11066106,-0.13369994,-0.05385646,-0.3240726,0.019590158,-0.0022669388,-0.45649415,-0.15924661,-0.38367605,-0.18848123,-0.056822583,-0.46410996,-0.14643842,2.3623137,0.23503034,0.002228383,-0.37884003,-0.29686168,-0.06710235,0.06247911,0.09072862,0.053999446,0.13715178,-0.23389144,-0.64413536,-0.13689834,0.007443731,0.019703066,0.35713896,-0.003992073,-0.27206525,0.09056287,-0.15581948,0.045109227,0.09607844,0.22868049,-0.33225587,-0.093084276,-0.26027414,-0.43929476,-0.3338707,0.07094414,0.048516035,-0.25076777,0.005214513,-1.073184,-0.40842593,-0.29202035,-0.24017154,14.019243,-0.19105025,-0.16131653,0.60145533,-0.3244797,-0.08303952,-0.06797549,-0.22827534,-0.8259635,0.10856831,-0.1995029,-0.66376024,0
-0.1769642,-0.5453047,-0.15205143,-0.51944876,-0.3899457,-0.29906464,-0.1053454,-0.08720162,-0.07234395,-0.6697718,-0.13558911,-0.4666912,-0.08606776,-0.09375395,-0.34600082,-0.43030068,-0.5501584,-0.2957689,-0.1489025,-0.49325433,-0.6764929,-0.4201937,-0.16429602,-0.57804257,-0.21235238,-1.0877949,-0.08315403,-0.903075,-0.2887193,-0.49862137,-0.36363637,-0.0679732,-0.206775,-0.05998392,-0.7254762,-0.13250025,-0.186122,-0.32715115,-0.35483977,-0.11066106,-0.13369994,-0.28743303,-0.6139798,0.04168036,-0.7709318,-0.10326405,-0.15924661,-0.3277719,-0.060706947,-0.5349966,-0.79704,-0.14643842,-0.66691834,-0.5359646,-0.33982432,-0.1748944,-0.22500001,-0.49856094,-0.38135278,-0.25933462,-0.56246346,-0.09516788,-0.8228745,-0.34274256,-0.010406141,-0.5461532,-0.75217575,0.19469982,-0.74872184,-0.5900939,-0.7866981,-0.7277887,0.062803894,-0.38462898,-0.4451424,-0.75422835,0.05478344,-0.37888497,-0.40705162,-0.6314574,-0.47843224,-0.72149104,-0.39618227,-0.5458468,-0.93900335,-0.24999927,-0.7787512,-0.26375532,-0.70543885,-0.2028142,-0.7616872,-0.65037376,0.037817024,-0.08303952,-0.04370341,-0.1941921,-0.79462844,-0.1785504,-0.32439083,-0.5314625,0
-0.6014492,-0.4062858,0.05508806,-0.27653405,0.33316392,-0.12225317,-0.1053454,-0.08720162,-0.07234395,-0.4965998,-0.22995704,-0.33724922,-0.08606776,-0.09375395,0.28992623,-0.34459332,-1.2048032,0.23902906,-0.1489025,-0.044048857,-0.26628277,-0.057804774,-0.17300457,-0.1538012,-0.112781644,-0.45911855,-0.30510747,-0.68136793,-0.08801301,-0.04141815,0.38779214,29.66682,-0.2746765,-0.05998392,-0.28729084,-0.13250025,-0.73003966,-0.34808388,-0.36832228,-0.11066106,-0.13369994,-0.30156872,0.26173994,0.24955367,-0.2819992,0.46075478,0.49590597,-0.03525912,-0.4764964,-0.29019144,0.46088958,9.544038,-0.4317082,-0.1371974,-0.032206632,-0.34239316,-0.35928154,-0.17019877,-0.39243972,-0.6882903,-0.80404365,0.57703894,0.011228537,-0.77379674,-0.62134945,-0.11395588,-0.5697412,-0.41459867,-0.022145534,-0.48395562,0.65924454,-1.2709498,-0.16473432,-0.12508641,0.363912,-0.74922925,0.019823505,-0.09563378,-0.27312708,-0.5374824,-0.14505199,-0.3136486,-0.4292553,-0.2686259,0.5846303,-0.47632927,-0.39234617,0.66419744,-0.32542565,0.045534313,-0.5215164,-0.6582416,-0.528301,-0.08303952,1.3596497,-0.31557566,-0.3171656,0.38003618,-0.31691542,-0.18614367,1
-0.45525414,-0.35960487,-0.34292507,-0.12978114,-0.333519,0.003033822,-0.1053454,-0.08720162,-0.07234395,-0.5766177,-0.10175016,0.06308561,2.6635144,-0.09375395,0.31734,-0.20620267,-0.06709708,-0.32123244,-0.1489025,-0.490606,-0.6263775,-0.48128733,-0.09145954,-0.49046534,-0.17969838,-0.684413,-0.06679495,-0.08708398,-0.24351577,-0.20128061,-0.24428685,-0.0679732,-0.20859727,-0.05998392,-0.39766628,-0.13250025,0.20921935,-0.3404203,-0.2625849,-0.11066106,-0.13369994,-0.04621807,-0.54905784,-0.092538364,-0.39233685,-0.62156886,-0.15924661,-0.29028603,-0.3582448,0.09380079,-0.69353133,-0.14643842,-0.9290122,-0.055339508,-0.2028569,-0.3138599,-0.23917393,1.7214378,-0.50739527,-0.25639367,-0.4566637,-0.31975952,-0.3579447,0.15187392,0.10035344,-0.52815247,-0.29191408,0.5641141,-0.38343957,-0.21139573,-1.1260055,-0.70712364,-0.09997062,-0.8880222,-0.22488628,-0.6712443,-0.10919622,-0.27919388,-0.439631,-0.36250314,-0.2885675,0.027107984,0.45729366,-0.357805,-0.706087,-0.23952873,-0.5669245,-0.32901183,-0.13011555,-0.01068702,0.06706272,-0.6862801,-0.17882805,-0.08303952,0.6124953,-0.26860374,-0.72980547,-0.26055998,-0.32771197,0.3393736,0
0.61090565,0.12011606,-0.15852861,0.14428157,-0.18519668,0.10678903,-0.1053454,-0.08720162,-0.07234395,0.23524143,0.03866025,-0.09127277,-0.08606776,-0.09375395,0.27632806,-0.08773452,-0.43197715,-0.30572116,-0.1489025,0.27620164,-0.19754519,0.051245335,-0.25307095,-0.21289678,-0.113159,-0.050377708,-0.29192448,0.21478201,-0.05565704,-0.1266541,-0.17719148,-0.0679732,0.001589194,-0.05998392,-0.15905763,-0.13250025,-0.42889237,0.035264805,-0.3793243,-0.11066106,-0.13369994,-0.04891446,0.0830313,-0.5443985,-0.6319759,0.34665728,-0.15924661,-0.42756784,0.34656963,0.27608088,0.21971548,-0.14643842,-0.009009403,-0.5786295,-0.016315434,0.05303038,-0.40057236,-0.45080444,-0.39563727,0.35366178,-0.20232221,0.90823084,-1.0878012,-0.09583037,-0.05709003,-0.044638727,-0.060981262,0.92469716,0.021994716,0.09579897,-0.30841112,0.6314603,0.16912529,0.2407127,-0.8841017,0.20994353,-0.105848946,-0.08973185,-0.13132527,-0.33585742,-0.05391676,-0.18398409,0.106993,-0.007731057,0.22783658,0.05669328,-0.32455632,0.10124547,-0.46342397,-0.5605847,-0.34922203,-0.58107066,-0.6506744,-0.08303952,-0.39339554,-0.1840922,-0.14421345,0.02344955,-0.20841007,-0.21149805,1
0.58261806,0.17854363,-0.15706192,0.21447335,-0.016791865,0.2558799,-0.1053454,-0.08720162,-0.07234395,0.33831567,0.28250474,0.061546113,-0.08606776,-0.09375395,-0.14955032,-0.03270296,-0.20655742,-0.06961542,-0.1489025,0.07596221,-0.07216374,-0.02134801,-0.104458526,0.25102252,0.29585013,-0.29469705,-0.119938105,0.287815,0.32661274,-0.07377817,-0.11403511,-0.0679732,0.120217554,-0.05998392,-0.018064536,-0.13250025,0.49208274,0.06314855,-0.272925,-0.11066106,-0.13369994,0.0036797028,0.5107447,-0.27538082,-0.7430864,0.102243006,-0.15924661,-0.35519537,0.12034551,-0.039538544,0.15121952,-0.14643842,-0.26625383,-0.34989053,-0.26756728,-0.25928205,-0.21019047,-0.48579293,-0.24454752,-0.2708802,-0.20814203,-0.42991775,-0.7406043,-0.013413562,0.1880384,-0.02612935,-0.022669125,0.8766881,-0.06880312,-0.1548404,-0.2571436,0.30141035,0.7348931,-0.044819664,-0.3715321,0.3202993,-0.08128225,-0.17319362,-0.39984363,-0.011934135,-0.22710592,-0.008716016,0.033070438,1.0666525,0.1302066,-0.003098298,0.3418682,-0.4016427,-0.1582136,-0.44764322,-0.24928397,-0.60869116,-0.2295623,-0.08303952,-0.11037331,0.19493385,0.20386401,-0.09255901,-0.08217289,-0.15528233,0
-0.21392961,-0.667513,-0.33125073,-0.22647238,-0.45584184,-0.5345155,-0.1053454,-0.08720162,-0.07234395,-0.4531222,-0.28989932,-0.48682207,-0.08606776,-0.09375395,-0.39222795,-0.013435239,-0.43979135,-0.3447013,-0.1489025,-0.22683752,0.6439304,0.46519563,-0.10816834,-0.89587355,-0.12508807,-0.11912536,-0.19320671,-0.6129695,-0.476781,-0.12523481,-0.12802352,-0.0679732,-0.38270107,-0.05998392,-0.6036509,-0.13250025,0.71836984,-0.44886,-0.11712981,-0.11066106,-0.13369994,-0.1752615,-0.65297306,0.04094773,-0.046127107,-0.072894886,-0.15924661,0.120307595,-0.3614905,-0.48663443,-0.63133156,-0.14643842,0.48803866,0.10327002,-0.114545524,-0.1813049,-0.19420971,0.9902757,-0.17031978,-0.41722843,0.43817562,-0.22315498,0.2103327,-0.49685115,-0.35040656,-0.27481735,-0.3458404,-0.710076,-0.18353674,-0.70115924,-0.24517123,-1.2891569,-0.14146052,0.67831725,0.7063027,-0.63837236,-0.10888363,-0.2592857,-0.28127107,-0.5281125,0.40990865,-0.37691867,-0.53062505,-0.54194856,-1.6939074,-0.2841756,2.2933555,-0.042180724,0.37719074,-0.3477572,0.17891201,3.0972922,-0.30609664,-0.08303952,-0.34894451,-0.5060736,-1.0200998,-0.23829255,-0.17959459,-0.28397837,0
