rnaseq_gene__GENE_SUN5,rnaseq_gene__GENE_DUX4L2,rnaseq_gene__GENE_SNORA19,rnaseq_gene__GENE_TTTY11,rnaseq_gene__GENE_DEFB136,rnaseq_gene__GENE_CSN1S2A,rnaseq_gene__GENE_SPINT4,rnaseq_gene__GENE_KRTAP19-7,methylation_gene__GENE_ZNHIT2,methylation_gene__GENE_DECR1,methylation_gene__GENE_IL10RB,methylation_gene__GENE_SNORD84;BAT1,methylation_gene__GENE_SLC25A38,rnaseq_gene__GENE_SNORA54,methylation_gene__GENE_MIB1,methylation_gene__GENE_COMMD5,methylation_gene__GENE_TYMP;SCO2,methylation_gene__GENE_RAB3GAP1,methylation_gene__GENE_TM7SF2,methylation_gene__GENE_NEK4,methylation_gene__GENE_SPATA13,methylation_gene__GENE_NAA50,methylation_gene__GENE_ZNF672,methylation_gene__GENE_TIGD3,methylation_gene__GENE_MYH10,methylation_gene__GENE_TUBA1C,rnaseq_gene__GENE_SCARNA18,methylation_gene__GENE_ZKSCAN4,methylation_gene__GENE_PRKAG1;MLL2,methylation_gene__GENE_ZNF639,methylation_gene__GENE_DLEU2;TRIM13,methylation_gene__GENE_AK2,methylation_gene__GENE_CFAP418,rnaseq_gene__GENE_SNORA38,methylation_gene__GENE_NF2,methylation_gene__GENE_SCRIB,methylation_gene__GENE_FSIP1,methylation_gene__GENE_ZMAT2,methylation_gene__GENE_UBR1,methylation_gene__GENE_C5ORF25,methylation_gene__GENE_POLD3,methylation_gene__GENE_C19ORF36;MOBKL2A,rnaseq_gene__GENE_SNORA37,rnaseq_gene__GENE_SNORA26,rnaseq_gene__GENE_TTTY23,methylation_gene__GENE_STIP1,rnaseq_gene__GENE_SNORA71D,methylation_gene__GENE_TPCN2,rnaseq_gene__GENE_DEFB123,methylation_gene__GENE_BLMH,rnaseq_gene__GENE_SNORA16A,methylation_gene__GENE_VPS28,rnaseq_gene__GENE_DEFB132,methylation_gene__GENE_SHCBP1,rnaseq_gene__GENE_SNORA64,methylation_gene__GENE_TINF2,methylation_gene__GENE_STK10,methylation_gene__GENE_COPZ1,methylation_gene__GENE_RSAD2,rnaseq_gene__GENE_SCARNA21,rnaseq_gene__GENE_SCARNA22,methylation_gene__GENE_RBMS2,methylation_gene__GENE_NIPSNAP1,methylation_gene__GENE_CRELD1;IL17RC,rnaseq_gene__GENE_ADAD1,methylation_gene__GENE_CTSC,methylation_gene__GENE_LAP3,methylation_gene__GENE_PDXK,methylation_gene__GENE_CAMK2D,rnaseq_gene__GENE_SNORA38B,methylation_gene__GENE_TUBD1;RPS6KB1,methylation_gene__GENE_IQCC,methylation_gene__GENE_ARPC2,rnaseq_gene__GENE_SNORA22,methylation_gene__GENE_RPL10A,methylation_gene__GENE_PIGL,methylation_gene__GENE_SART3,rnaseq_gene__GENE_PRG3,methylation_gene__GENE_SKAP2,methylation_gene__GENE_LOC283314;C1RL,methylation_gene__GENE_GRPEL2,methylation_gene__GENE_PACS1,methylation_gene__GENE_C14ORF143;TDP1,methylation_gene__GENE_HIST1H1T,methylation_gene__GENE_DTD1,methylation_gene__GENE_EML2,rnaseq_gene__GENE_SNORA49,rnaseq_gene__GENE_HSD3B1,methylation_gene__GENE_ACYP1,methylation_gene__GENE_PCMTD2,rnaseq_gene__GENE_TEX13A,methylation_gene__GENE_BANP,methylation_gene__GENE_SDCBP,rnaseq_gene__GENE_TREML2P1,rnaseq_gene__GENE_SNORA50,methylation_gene__GENE_VWA2,rnaseq_gene__GENE_GYPB,methylation_gene__GENE_PSEN1,methylation_gene__GENE_TMEM85,methylation_gene__GENE_CLSTN3,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.045454547,-0.045454543,-0.04545455,-0.045454547,-0.045454543,-0.06147661,-0.063021496,-0.06425547,0.11366087,-0.07097836,0.05496861,0.42945364,-0.08854886,-0.062202632,0.24387312,0.20930603,0.27867046,-0.13026728,-0.0014703001,0.77115136,0.34405574,0.19318482,0.0075206487,0.22313906,0.058328282,0.019325279,-0.08420343,-0.0040302267,0.3459178,-0.17810331,-0.24416125,0.18717764,0.58181924,-0.06538503,0.17975505,0.4177621,0.8357188,-0.10575867,0.15306064,0.10902377,0.109834366,0.008156449,-0.12478135,-0.098405525,-0.06604976,-0.12560855,2.1097538,-0.017548116,-0.09053003,0.06376371,-0.16123992,1.0879319,-0.09292495,0.38041523,-0.16189265,0.35929692,3.461759,-0.031772554,0.35076898,-0.16946821,-0.08098747,0.55475944,0.19609515,-0.23293154,-0.11734243,0.12509142,2.3254156,0.029781174,0.11325546,-0.096605115,-0.14536843,0.5766908,0.22928321,-0.20551696,-0.1201566,-0.03608988,17.972397,-0.091068126,-0.107129686,-0.01896023,0.9112744,0.059824392,-0.0572387,-0.27842215,0.49122867,1.4669945,-0.1975971,-0.29211408,0.33550772,-0.1570442,-0.13164584,0.49667037,0.8940539,-0.13920209,-0.120721675,0.53272,-0.12686665,0.2610131,-0.041290276,-0.038588207,1
-0.045454547,-0.045454543,-0.04545455,-0.045454547,-0.045454543,-0.06147661,-0.063021496,-0.06425547,0.13559557,-0.062286187,0.13687806,0.8207895,-0.086659566,-0.062202632,0.18989217,-0.36470613,0.5786487,-0.07947404,0.037963275,1.7009914,0.5503442,0.72362304,0.3220437,0.16013235,0.5645557,0.17299761,-0.08420343,-0.03134677,-0.08869567,0.1782962,0.14572643,0.8185419,1.4132686,-0.06538503,0.7627627,0.053263925,-0.24995013,0.15982834,-0.27076194,-0.07909417,-0.42517877,-0.14802487,-0.12478135,-0.098405525,-0.06604976,-0.15158814,-0.1580065,0.121402785,-0.09053003,0.080558166,-0.16123992,1.5126345,-0.09292495,6.584307,-0.16189265,0.8339191,0.6454124,0.012491868,0.75956094,-0.16946821,-0.08098747,0.93925047,-0.038713276,0.2751643,-0.11734243,-0.054314177,0.29578573,0.04973634,-0.25008965,-0.096605115,-0.48554486,0.73733413,18.11165,-0.20551696,-0.012407996,2.7095642,0.39928702,-0.091068126,18.189785,0.05763734,2.9706793,-1.840358,0.38290974,-2.1542914,2.3008494,-0.09245336,-0.1975971,-0.29211408,1.0534782,3.6069574,-0.13164584,0.5112645,1.2703476,-0.13920209,-0.120721675,0.0876425,-0.12686665,0.7848803,1.7007216,0.06308619,1
-0.045454547,-0.045454543,-0.04545455,-0.045454547,-0.045454543,-0.06147661,-0.063021496,-0.06425547,-0.12917063,-0.04369675,0.10857834,0.18604071,-0.10644303,-0.062202632,-0.027311742,-0.11052783,0.19001928,-0.20457222,-0.12371717,0.21373604,0.41996992,-0.04646463,-0.36157265,0.024295857,0.101112574,-0.108695276,-0.08420343,0.09808578,0.28177342,-0.38549632,-0.29082996,0.74099326,-0.023889586,-0.06538503,-0.10431009,0.09420176,0.76980704,0.15108275,-0.39435655,-0.11124334,-0.10272075,-0.28808537,-0.12478135,-0.098405525,-0.06604976,-0.1931535,-0.1580065,-0.15860812,-0.09053003,-0.76336193,-0.16123992,0.20078841,-0.09292495,0.2495399,-0.16189265,-0.34887475,0.005263341,-0.42262802,0.2659317,-0.16946821,-0.08098747,0.3153794,-0.18526225,-0.10649427,-0.11734243,-0.1069755,0.23647249,0.14124183,-0.08260892,-0.096605115,-0.053284615,0.26259986,2.3070347,-0.20551696,-0.22554438,0.63568044,-0.027870137,-0.091068126,1.1719373,-0.02635317,0.55956036,0.6135157,-0.4428249,-0.05200178,0.624464,0.267448,-0.1975971,-0.29211408,-0.23020007,0.891688,-0.13164584,-0.25864524,-0.021122599,-0.13920209,-0.120721675,0.42935467,-0.12686665,-0.20496812,0.13613091,-0.092399746,0
-0.045454547,-0.045454543,-0.04545455,-0.045454547,-0.045454543,-0.06147661,-0.063021496,-0.06425547,-0.122994564,-0.14956093,0.0662344,0.32678154,-0.024055734,-0.062202632,0.1814237,-0.0015903354,0.05776881,-0.13497671,0.03365878,0.43009806,0.32865962,0.631228,-0.058846302,0.22933331,-0.013046109,0.035162985,-0.08420343,0.13203658,0.26361775,-0.47697106,-0.08885168,0.7809011,-0.07874506,-0.06538503,0.028933018,0.23965448,0.09725301,-0.004928933,0.06482622,-0.14663891,-1.08576,-0.23737662,-0.12478135,-0.098405525,-0.06604976,0.09236943,-0.1580065,0.006305497,-0.09053003,0.22569966,-0.16123992,0.08192202,-0.09292495,-0.12257877,-0.16189265,0.4583473,18.26316,-0.03154424,0.10270285,-0.16946821,-0.08098747,0.16965275,-0.5268522,-0.56941813,-0.11734243,-0.13269816,0.977309,0.7183501,0.11361497,-0.096605115,0.047794316,0.01875313,0.058819678,-0.20551696,-0.094551824,1.2940052,0.41080758,-0.091068126,0.34321555,11.24932,0.6631787,0.37665507,-0.1656516,0.21973632,1.097282,1.1409756,-0.1975971,-0.29211408,0.61198467,0.88277674,-0.13164584,-0.63281465,0.5217667,-0.13920209,-0.120721675,0.46383378,-0.12686665,0.07985535,0.5245256,-0.042498123,1
-0.045454547,-0.045454543,-0.04545455,-0.045454547,-0.045454543,-0.06147661,-0.063021496,-0.06425547,0.053487014,-0.08740707,0.25374874,0.65709823,-0.09658525,-0.062202632,0.18851575,-0.08571555,0.10033932,-0.039669715,-0.019521814,16.62765,0.5402723,-0.13251951,0.24154562,0.1923492,0.31393233,0.082860716,-0.08420343,0.04440457,0.28520945,-0.14207378,20.086838,-0.08719313,0.71096694,-0.06538503,0.5551408,-0.0104248375,-0.021996118,5.8739643,0.02656628,-0.029306402,-0.0024882632,-0.005881576,-0.12478135,-0.098405525,-0.06604976,-0.18173605,-0.1580065,0.078458354,-0.09053003,0.19867557,-0.16123992,1.42631,-0.09292495,0.908637,-0.16189265,0.63308114,0.4264123,0.011976436,-0.28118375,-0.16946821,-0.08098747,-0.052292623,-0.038159743,0.7790332,-0.11734243,0.034533173,1.4756366,0.0313175,1.1760465,-0.096605115,-0.37884673,0.51452565,-0.005475821,-0.20551696,0.0013942263,1.2014711,0.4736735,-0.091068126,0.17539129,0.3259138,1.4853156,1.2946596,0.22945431,-0.08746511,1.9486474,0.2051133,-0.1975971,-0.29211408,0.522896,17.74466,-0.13164584,0.9135061,2.5303645,-0.13920209,-0.120721675,-0.17736569,-0.12686665,0.4200408,1.1372777,-0.0433113,0
-0.045454547,-0.045454543,-0.04545455,-0.045454547,-0.045454543,-0.06147661,-0.063021496,-0.06425547,0.066743255,-0.16853513,0.15540007,0.0029505189,-0.082064085,-0.062202632,0.10806374,-0.30784377,0.4566397,-0.11832585,-0.096599326,0.21560349,-0.003324773,0.09288953,-0.26411343,0.057744913,0.20401385,-0.06850041,-0.08420343,0.013883447,0.22577436,-0.064404644,0.24605928,0.3087004,-0.043662205,-0.06538503,-0.20364346,0.2623861,0.0130242165,-0.316023,-0.25270286,-0.051681112,0.25866687,0.10324978,-0.12478135,-0.098405525,-0.06604976,-0.41824737,-0.1580065,-0.10464403,-0.09053003,0.09177901,-0.16123992,0.12515736,-0.09292495,-0.059440613,-0.16189265,0.03945884,0.02472181,0.038224,1.3006067,-0.16946821,-0.08098747,0.29358992,-0.011247987,-0.23405688,-0.11734243,0.24994503,0.25032428,0.4733929,0.02398397,-0.096605115,-0.7816559,17.724586,0.73633987,-0.20551696,-0.2352123,0.035765518,0.39452362,-0.091068126,0.25143638,-0.19191629,0.36645946,0.266198,-0.13013352,-0.07664297,0.7987156,1.0713247,-0.1975971,-0.29211408,0.5092443,-0.06844459,-0.13164584,0.16979939,0.24761727,-0.13920209,-0.120721675,-0.29811215,-0.12686665,-0.323411,-0.034777306,8.875727,0
-0.045454547,-0.045454543,-0.04545455,-0.045454547,-0.045454543,-0.06147661,-0.063021496,-0.06425547,0.16205356,-0.20739904,0.014689917,-0.3147769,-0.133666,-0.062202632,-0.00071785843,-0.25077528,0.057833895,0.034408025,-0.15822075,-0.17538872,0.5249141,-0.29218262,-0.49858043,-0.02651372,-0.5187829,0.0021444163,-0.08420343,-0.23257156,-0.15239102,-0.21421503,0.07734514,-0.509517,-0.27299696,-0.06538503,-0.84237033,0.29032528,-0.13361834,-0.29296565,-0.36850947,0.17339885,-0.071227364,-0.18463905,-0.12478135,-0.098405525,-0.06604976,-0.14048769,-0.1580065,-0.036171798,-0.09053003,-0.25627792,-0.16123992,-0.56893086,-0.09292495,-0.6567284,-0.16189265,-0.42912552,-0.079887465,-0.07721394,-0.5442213,-0.16946821,-0.08098747,-0.021616137,-0.19372441,-0.47703978,-0.11734243,-0.034578286,0.074340284,-0.3003769,-0.0735961,-0.096605115,-0.74827313,-0.2637369,0.048147082,-0.20551696,-0.15716588,-0.73669803,-0.025596527,-0.091068126,0.3659446,-0.32472986,-0.05325979,-0.19058983,-0.4902797,-0.12787645,-0.5291579,-0.09618825,-0.1975971,-0.29211408,-0.12728386,-0.4458927,-0.13164584,-0.23777711,-0.06965031,-0.13920209,-0.120721675,-0.21046485,-0.12686665,-0.42760214,-0.49974012,-0.010963177,1
