buying,maint,doors,persons,lug_boot,safety,target
vhigh,vhigh,2,more,small,high,unacc
vhigh,vhigh,3,more,med,med,unacc
vhigh,high,5more,4,med,high,unacc
vhigh,high,5more,4,big,med,unacc
vhigh,med,5more,more,med,high,acc
vhigh,low,4,2,med,med,unacc
vhigh,low,4,4,big,high,acc
high,high,2,4,big,low,unacc
high,high,2,more,small,low,unacc
high,high,4,4,big,low,unacc
high,med,2,more,big,high,acc
med,vhigh,2,2,small,med,unacc
med,high,4,more,med,med,acc
med,high,5more,more,big,med,acc
med,med,3,more,big,med,acc
med,med,4,4,big,high,vgood
med,med,5more,4,med,high,vgood
med,low,3,more,big,med,good
med,low,4,4,big,med,good
med,low,5more,2,small,low,unacc
med,low,5more,4,big,med,good
low,high,2,4,small,high,acc
low,high,3,more,med,high,vgood
low,high,4,more,big,med,acc
low,high,5more,4,med,high,vgood
low,med,2,4,small,high,good
low,med,2,4,med,high,good
low,med,3,more,med,high,vgood
low,med,4,more,small,high,good
low,med,5more,4,small,med,acc
low,med,5more,more,big,high,vgood
low,low,2,4,med,med,acc
low,low,2,more,med,high,good
low,low,2,more,big,med,good
low,low,3,4,big,high,vgood
low,low,3,more,big,med,good
low,low,3,more,big,high,vgood
low,low,4,more,med,high,vgood
low,low,4,more,big,high,vgood
low,low,5more,4,big,med,good
