partition_value,linear_molecular,structural_zero_pattern
BRCA,0.4937382395066365,0.5046957967310127
ESCA,0.4624183006535948,0.4652777777777778
HNSCC,0.5312711472839455,0.5491657284880747
LSCC,0.49877600972826025,0.5203664954322473
LUAD,0.48708168798091184,0.5213968202593195
