model_name,version,task_type,status,accuracy,f1,roc_auc,log_loss
tabpfn_v1,v1,binary,success,0.631578947368421,0.3137254901960784,0.6181902123730378,0.6498728457937456
tabpfn_v2,v2,binary,success,0.6526315789473685,0.47619047619047616,0.6472760849492151,0.6352041555099384
tabpfn_v2_5,v2_5,binary,success,0.6421052631578947,0.5,0.6509695290858725,0.6527542916905777
tabpfn_v2_6,v2_6,binary,success,0.6421052631578947,0.46875,0.6375807940904893,0.6386046393551388
tabpfn_v3,v3,binary,success,0.6526315789473685,0.42105263157894735,0.623730378578024,0.6469273911732545
