rank,feature_id,modality
1,rnaseq_gene::GENE:SNORA11B,rnaseq_gene
2,rnaseq_gene::GENE:TEX36-AS1,rnaseq_gene
3,rnaseq_gene::GENE:OR1S1,rnaseq_gene
4,rnaseq_gene::GENE:SCARNA23,rnaseq_gene
5,rnaseq_gene::GENE:CT47A10,rnaseq_gene
6,rnaseq_gene::GENE:OR51G1,rnaseq_gene
7,rnaseq_gene::GENE:OR5AS1,rnaseq_gene
8,rnaseq_gene::GENE:OR8H1,rnaseq_gene
9,rnaseq_gene::GENE:OR4D9,rnaseq_gene
10,rnaseq_gene::GENE:OR1S2,rnaseq_gene
11,rnaseq_gene::GENE:GPHB5,rnaseq_gene
12,rnaseq_gene::GENE:OR10Z1,rnaseq_gene
13,rnaseq_gene::GENE:HSFX1,rnaseq_gene
14,rnaseq_gene::GENE:CDX4,rnaseq_gene
15,rnaseq_gene::GENE:OR8I2,rnaseq_gene
16,rnaseq_gene::GENE:FLJ44082,rnaseq_gene
17,rnaseq_gene::GENE:SNAR-F,rnaseq_gene
18,rnaseq_gene::GENE:PRR21,rnaseq_gene
19,rnaseq_gene::GENE:OR5W2,rnaseq_gene
20,rnaseq_gene::GENE:LINC01020,rnaseq_gene
21,rnaseq_gene::GENE:OR5K4,rnaseq_gene
22,rnaseq_gene::GENE:SNAR-C4,rnaseq_gene
23,rnaseq_gene::GENE:OR51L1,rnaseq_gene
24,rnaseq_gene::GENE:OR2M7,rnaseq_gene
25,rnaseq_gene::GENE:RBMY3AP,rnaseq_gene
26,rnaseq_gene::GENE:CT47A11,rnaseq_gene
27,rnaseq_gene::GENE:TTTY6,rnaseq_gene
28,methylation_gene::GENE:C18ORF19;RNMT,methylation_gene
29,rnaseq_gene::GENE:TTTY6B,rnaseq_gene
30,rnaseq_gene::GENE:OR51A4,rnaseq_gene
31,rnaseq_gene::GENE:DEFB123,rnaseq_gene
32,methylation_gene::GENE:ZMYND19,methylation_gene
33,methylation_gene::GENE:SLC38A2,methylation_gene
34,methylation_gene::GENE:PPP6C,methylation_gene
35,rnaseq_gene::GENE:GUCA1C,rnaseq_gene
36,rnaseq_gene::GENE:OR14J1,rnaseq_gene
37,rnaseq_gene::GENE:CETN1,rnaseq_gene
38,methylation_gene::GENE:C1ORF89,methylation_gene
39,methylation_gene::GENE:ZNF764,methylation_gene
40,methylation_gene::GENE:ATP5E,methylation_gene
41,rnaseq_gene::GENE:PSG11,rnaseq_gene
42,rnaseq_gene::GENE:TEX13A,rnaseq_gene
43,methylation_gene::GENE:SLC2A12,methylation_gene
44,methylation_gene::GENE:KIAA0100,methylation_gene
45,rnaseq_gene::GENE:RBMY1B,rnaseq_gene
46,rnaseq_gene::GENE:MT4,rnaseq_gene
47,methylation_gene::GENE:LDB1,methylation_gene
48,rnaseq_gene::GENE:OR5AC2,rnaseq_gene
49,methylation_gene::GENE:ADC,methylation_gene
50,rnaseq_gene::GENE:VN1R4,rnaseq_gene
51,methylation_gene::GENE:CNOT10,methylation_gene
52,rnaseq_gene::GENE:OR11G2,rnaseq_gene
53,methylation_gene::GENE:U2AF1,methylation_gene
54,methylation_gene::GENE:DDX11,methylation_gene
55,methylation_gene::GENE:SHBG;SAT2,methylation_gene
56,rnaseq_gene::GENE:C22ORF42,rnaseq_gene
57,rnaseq_gene::GENE:MAGEB3,rnaseq_gene
58,methylation_gene::GENE:FADS1;MIR1908,methylation_gene
59,methylation_gene::GENE:POMP,methylation_gene
60,methylation_gene::GENE:DND1,methylation_gene
61,methylation_gene::GENE:UBE2T,methylation_gene
62,methylation_gene::GENE:NFXL1,methylation_gene
63,methylation_gene::GENE:USP14,methylation_gene
64,methylation_gene::GENE:PCMT1,methylation_gene
65,rnaseq_gene::GENE:OR7G3,rnaseq_gene
66,rnaseq_gene::GENE:IL3,rnaseq_gene
67,rnaseq_gene::GENE:CCDC105,rnaseq_gene
68,methylation_gene::GENE:TM7SF2,methylation_gene
69,methylation_gene::GENE:CCNB1,methylation_gene
70,methylation_gene::GENE:ZNF136,methylation_gene
71,rnaseq_gene::GENE:OR14C36,rnaseq_gene
72,rnaseq_gene::GENE:OR4C13,rnaseq_gene
73,methylation_gene::GENE:POLR2J2,methylation_gene
74,rnaseq_gene::GENE:USP29,rnaseq_gene
75,methylation_gene::GENE:PDHX;APIP,methylation_gene
76,rnaseq_gene::GENE:OR51G2,rnaseq_gene
77,methylation_gene::GENE:ZNF354A,methylation_gene
78,rnaseq_gene::GENE:IQCF5,rnaseq_gene
79,methylation_gene::GENE:PRCP,methylation_gene
80,rnaseq_gene::GENE:RNASE11,rnaseq_gene
81,rnaseq_gene::GENE:KRTAP10-12,rnaseq_gene
82,methylation_gene::GENE:ZNF747,methylation_gene
83,methylation_gene::GENE:LIN37,methylation_gene
84,rnaseq_gene::GENE:VCY,rnaseq_gene
85,rnaseq_gene::GENE:WFDC9,rnaseq_gene
86,methylation_gene::GENE:MIR219-1;RING1,methylation_gene
87,rnaseq_gene::GENE:PSG7,rnaseq_gene
88,methylation_gene::GENE:ZC3H13,methylation_gene
89,rnaseq_gene::GENE:BPY2,rnaseq_gene
90,cnv_log2::GENE:CXORF49,cnv_log2
91,cnv_log2::GENE:LINC00891,cnv_log2
92,rnaseq_gene::GENE:PSG2,rnaseq_gene
93,cnv_log2::GENE:TEX11,cnv_log2
94,methylation_gene::GENE:C12ORF76,methylation_gene
95,rnaseq_gene::GENE:OR2Z1,rnaseq_gene
96,cnv_log2::GENE:NLGN3,cnv_log2
97,cnv_log2::GENE:FOXO4,cnv_log2
98,cnv_log2::GENE:IL2RG,cnv_log2
99,cnv_log2::GENE:MED12,cnv_log2
100,cnv_log2::GENE:CXORF65,cnv_log2
