methylation_gene__GENE_TRIM25,methylation_gene__GENE_C18ORF10;KIAA1328,methylation_gene__GENE_DGUOK,methylation_gene__GENE_C14ORF80,methylation_gene__GENE_ZNF33B,methylation_gene__GENE_ADH5,methylation_gene__GENE_GATA6,methylation_gene__GENE_BCL7A,methylation_gene__GENE_ETS1,methylation_gene__GENE_MAN2A1,methylation_gene__GENE_TUBGCP3,methylation_gene__GENE_SIN3A,methylation_gene__GENE_LLPH,methylation_gene__GENE_TM9SF1,methylation_gene__GENE_HSPBP1,methylation_gene__GENE_CRIP2,methylation_gene__GENE_USPL1,methylation_gene__GENE_BRI3,methylation_gene__GENE_CDK11A;CDK11B,methylation_gene__GENE_CYP2R1,methylation_gene__GENE_MRPS34;EME2,rnaseq_gene__GENE_ACTL6B,methylation_gene__GENE_TSPAN12,methylation_gene__GENE_HERC5,methylation_gene__GENE_ACP2;NR1H3,methylation_gene__GENE_SMARCA4,methylation_gene__GENE_APLP2,methylation_gene__GENE_ZNF273,methylation_gene__GENE_FUCA1,methylation_gene__GENE_FIBCD1,methylation_gene__GENE_PTGES3,methylation_gene__GENE_KIAA1328;C18ORF10,methylation_gene__GENE_ATP6V1C1,methylation_gene__GENE_RNF17,methylation_gene__GENE_POM121,methylation_gene__GENE_H3F3B,methylation_gene__GENE_CEP350,methylation_gene__GENE_CYP39A1;SLC25A27,methylation_gene__GENE_E2F5,methylation_gene__GENE_LOC100329108;GCSH,methylation_gene__GENE_MSRB2,methylation_gene__GENE_USF1,methylation_gene__GENE_CAMK2D,rnaseq_gene__GENE_KCNK16,methylation_gene__GENE_XKR8,methylation_gene__GENE_NEK11;ASTE1,methylation_gene__GENE_GAS2L1,methylation_gene__GENE_TMEM8A;LOC100134368,methylation_gene__GENE_SLC35F2,methylation_gene__GENE_ACPL2,rnaseq_gene__GENE_FAM9C,methylation_gene__GENE_POLR1B,methylation_gene__GENE_MDK,methylation_gene__GENE_NMD3,rnaseq_gene__GENE_RHAG,methylation_gene__GENE_NAA20,methylation_gene__GENE_FKBPL,methylation_gene__GENE_TMEM20,methylation_gene__GENE_MXD3,methylation_gene__GENE_RAB28,rnaseq_gene__GENE_C21ORF54,methylation_gene__GENE_EPR1;BIRC5,rnaseq_gene__GENE_INSL6,methylation_gene__GENE_GADD45B,methylation_gene__GENE_INPP5K;LOC100306951,rnaseq_gene__GENE_LGALS14,methylation_gene__GENE_FAM103A1,methylation_gene__GENE_ALOXE3,rnaseq_gene__GENE_SCRT2,methylation_gene__GENE_STAMBP,methylation_gene__GENE_NOC3L,methylation_gene__GENE_MYLIP,methylation_gene__GENE_SC5DL,rnaseq_gene__GENE_SEL1L2,methylation_gene__GENE_OSBP,methylation_gene__GENE_IER3,methylation_gene__GENE_TFDP3,methylation_gene__GENE_TC2N,methylation_gene__GENE_GMFB,methylation_gene__GENE_FAM160A2,methylation_gene__GENE_RNF139,methylation_gene__GENE_SH3RF2,methylation_gene__GENE_SNRPC,rnaseq_gene__GENE_ESRP1,methylation_gene__GENE_PTPN12,methylation_gene__GENE_ERBB2,rnaseq_gene__GENE_HSD3B1,methylation_gene__GENE_PRIM1,methylation_gene__GENE_GLT25D1,methylation_gene__GENE_PHC2,methylation_gene__GENE_SPPL3,methylation_gene__GENE_CUL3,methylation_gene__GENE_PBX4,methylation_gene__GENE_SGSM3,methylation_gene__GENE_PANK1,methylation_gene__GENE_XRCC5,methylation_gene__GENE_TXNL1,rnaseq_gene__GENE_UGT2B10,rnaseq_gene__GENE_XAGE2,rnaseq_gene__GENE_NCRNA00200,target
-0.10189479,-0.12042356,-0.13007602,-0.19512706,-0.09972884,-0.27582815,-0.10181659,-0.27916497,-0.14018331,-0.40885615,-0.4378821,-0.25140756,-0.2336075,-0.37846366,-0.14430168,-0.39611983,-0.15754049,-0.28196302,-0.20291467,-0.3401808,-0.077964045,-0.16482092,-0.48787996,0.20958243,0.035978954,-0.25306448,-0.2174001,0.13214898,-0.21462262,-0.21117869,-0.42453286,-0.42525506,-0.028367246,0.26188102,-0.15632284,-0.48487633,-0.4362095,-0.657494,-0.40829554,-0.553942,-0.16501203,-0.016671997,2.8271365,-0.21404667,-0.051690888,-0.8892181,-0.26169896,-0.14075182,-0.36570096,-0.22090907,0.28141597,-0.33951688,-0.74594975,0.5794942,-0.30877718,-0.4239661,-0.026828105,-0.072787024,-0.5685845,1.786925,-0.12790692,-0.13278142,-0.39434704,-0.3920389,0.40392038,-0.29149142,0.15357982,0.025174027,-0.2252397,-0.84843445,0.92739695,-0.40228924,-0.58056086,-0.21608903,-0.06859118,-0.44643414,0.5367785,-0.72814727,-0.5599618,-0.2590468,-0.3688866,0.00061801134,-0.52096796,-0.8494072,-0.11972395,-0.3399425,0.34857312,-0.20925547,0.15413873,-0.17166115,-0.6583797,-0.47395393,-0.38554668,0.017601565,-0.16963486,-0.51687306,-0.75363,-0.3506713,-0.31089383,-0.2808206,1
-0.1399508,-0.15827413,-0.19057682,-0.25605118,0.022383025,0.18156189,-0.1764202,-0.2403434,-0.17057674,-0.2767135,-0.37596342,-0.29718542,-0.04454681,-0.2011076,-0.04637125,-0.3513212,0.22336783,-0.17894247,-0.022628788,-0.08123497,-0.4445929,-0.16482092,-0.35153,0.037042063,-0.041121714,-0.20452805,-0.39245757,-0.08641388,-0.1244237,-0.4197621,-0.35423854,0.4719186,0.006986288,0.28193697,0.24186167,-0.22748196,11.121735,0.15520678,-0.26687983,0.7776212,-0.6237908,0.52057236,0.3056828,1.8054682,-0.2996407,-0.096695915,-0.30383012,0.1365469,-0.30470735,-0.49090603,-0.09226942,-0.05481036,-0.47440267,-0.14307897,0.08192348,0.16506663,0.20972079,-0.11803964,-0.25538749,0.51584476,-0.12790692,0.23310369,6.413746,0.43832648,-0.6326667,-0.29149142,-0.31987497,0.7752662,-0.2252397,0.59248716,-0.09094664,-0.11086361,0.3871394,-0.21608903,0.20510529,-0.55689496,0.28165817,-0.51757675,-0.40116775,0.4796694,0.7261195,-0.23513901,-0.05585942,0.2899568,-0.24216363,-0.4350542,-0.34746942,-0.19826771,-0.6841248,-0.59536296,-0.39463675,-0.48860827,0.32389495,0.3448115,-0.20925915,-0.21372469,0.9429031,1.4895555,0.13606386,-0.2808206,0
-0.25801846,-0.3133753,-0.042632814,-0.11621391,-0.2040161,-0.26851514,0.09015068,-0.269621,-0.26829007,-0.37058023,-0.29014283,-0.30005628,-0.13818367,-0.24720623,-0.35473064,0.28754038,0.13351685,-0.17248102,-0.43781227,-0.03643893,-0.5355556,-0.16482092,0.04125371,-0.25524947,0.6746336,-0.16133733,0.44427246,-0.47973046,-0.16922677,-0.29222408,-0.05338346,-0.5433646,-0.48078033,0.064432494,0.685925,-0.28370342,0.46395847,-0.03389227,-0.20133051,0.8057906,-0.5845804,-0.3166527,0.3117761,-0.21404667,-0.44922775,-0.6562533,-0.5646023,-0.2892459,-0.60484755,-0.4087229,0.0160855,-0.60081804,-0.7084215,-0.5485702,-0.30877718,-0.37774712,-0.12679401,-0.23812401,-0.5623242,-0.38415116,-0.12790692,-0.52591,0.06879752,-0.74870205,-0.6923525,-0.29149142,0.1841632,-0.32303658,-0.2252397,-0.3388503,-0.42601594,-0.38632253,-0.25786105,-0.21608903,-0.45341325,-0.4470441,0.016231379,0.087760076,-0.56707466,-0.097807616,0.22437881,0.13653287,-0.21726117,-0.11757784,-0.33432665,1.4185685,-0.34746942,-0.4672028,-1.1635813,-0.8353413,-0.70230055,-0.37161994,0.30291146,-0.37937889,-0.35239565,1.8109933,-0.11734475,-0.3506713,-0.31089383,0.13662983,1
-0.17678337,-0.010509118,-0.12611383,-0.0979659,-0.09009483,13.194387,-0.15842189,-0.11044404,0.13591978,-0.100017436,-0.3058857,0.35731247,12.904035,-0.24643792,-0.13390587,0.08788194,-0.012702421,0.10456552,-0.065416716,0.13626534,-0.2318156,-0.16482092,0.011855438,12.847178,-0.013916197,0.3781045,-0.04239003,0.25950947,-0.24268933,-0.3391247,-0.1032105,-0.11411928,0.15154855,0.27219123,0.6070808,0.75316364,-0.11675022,-0.31915474,-0.008855096,-0.43800908,0.08351358,-0.112030074,0.25900388,11.201384,-0.5229464,-0.3738944,-0.11690556,-0.27692196,12.072283,-0.23383027,1.242374,-0.062234756,-0.3748921,0.4205297,-0.30877718,-0.6704215,0.42077842,-0.10892952,-0.07140592,-0.025741411,-0.12790692,-0.55000514,2.537571,11.092847,6.040608,-0.29149142,0.7597779,0.2340973,-0.2252397,1.2351168,-0.029330943,-0.18458894,0.8426125,0.69548076,0.21374089,-0.27113074,-0.60373354,-0.46271548,-0.13038732,0.3232928,-0.32576844,11.390017,0.24685754,-0.12293021,-0.07294426,10.425401,-0.34746942,-0.6527976,-0.23959179,-0.23421772,-0.6216147,-0.4242454,-0.17576948,0.22455406,0.32530555,-0.41182294,0.83351225,1.0664035,-0.31089383,-0.2808206,1
-0.22656669,-0.34737036,-0.23053193,-0.1569292,13.190743,-0.17044866,-0.22971325,-0.12849638,-0.27327314,-0.32008344,-0.39645877,-0.1547106,-0.19620104,-0.27354714,-0.36139128,-0.30644175,0.022066489,-0.07214784,-0.3793476,-0.033494767,-0.2105808,0.95229316,-0.36157194,0.0034632222,-0.73651403,-0.23291832,-0.25311825,0.11145857,-0.5856675,-0.44161722,-0.5102772,-0.3876447,0.26486492,0.16256295,-0.20862456,-0.09264583,-0.5290258,-0.3284145,-0.066670254,0.03999283,-0.22918516,-0.44070458,-0.18771888,-0.21404667,-0.43890437,-0.7953367,-0.24314675,-0.19562101,-0.20993401,-0.3762978,-0.33781904,-0.17922921,-0.84978414,-0.46870142,-0.30877718,-0.4475429,-1.1341858,-0.14434557,-0.40866166,0.32000905,-0.12790692,-0.39865676,-0.39434704,-0.47010657,-0.5783948,0.86075187,0.308414,-0.32131597,-0.2252397,-0.625402,-0.8285776,-0.37007523,-0.13392505,-0.21608903,-1.1996332,-0.42402124,0.37758756,-0.5335438,0.044232152,-0.36856133,-0.7550373,-0.13471405,-0.59505737,-0.35626435,-0.4688699,-0.7332827,-0.037765753,-0.10304139,-0.47069094,0.3856224,0.0016434367,-0.85587555,-0.27436644,0.4013595,-0.47158325,-0.72390693,-0.34862676,0.75152075,-0.31089383,-0.2808206,1
-0.11056121,-0.049506936,-0.15512584,-0.34544042,-0.07239632,-0.1272466,-0.15115662,-0.27631932,-0.072364986,-0.30778143,-0.38215363,-0.26557085,-0.14292705,-0.23308076,-0.13434929,-0.58231074,0.019741075,-0.2882291,-0.2515313,-0.58870983,-0.048429336,-0.16482092,-0.3586451,-0.25151125,0.17696093,12.341857,-0.06332681,0.5915443,-0.2668664,0.029429475,-0.3903833,-0.4961975,-0.19358946,0.2538162,0.28011078,-0.2563652,-0.6165426,-0.3708393,0.051656827,-0.5558545,-0.2010781,-0.124135174,-0.13538946,-0.21404667,-0.17787986,-0.3742556,0.12583984,-0.3460912,-0.41398153,0.0356237,-0.33781904,-0.29177344,-0.5620957,0.07516287,1.9459524,-0.50488037,-0.059663415,-0.23568141,-0.20651688,-0.74006015,-0.12790692,0.07703586,-0.39434704,-0.59180003,-0.1883214,-0.29149142,-0.13086243,-0.3945711,-0.2252397,0.56569225,1.3944869,-0.31639555,0.20886889,-0.21608903,0.37574607,-0.50299215,0.11563928,-0.42921928,-0.62222,0.6069351,0.20015682,-0.27710226,-0.402994,0.64077634,-0.29742748,-0.33558628,-0.34746942,0.13260531,-0.2637663,-0.4670615,-0.52610624,-0.13106479,0.91520923,-0.21992208,-0.1870371,-0.1514156,-0.08188566,-0.3506713,2.5941978,0.56531775,1
-0.11018006,-0.0072624236,-0.09092217,-0.022657534,-0.028818285,0.09546122,0.3479157,-0.004858531,-0.14007694,0.46198994,-0.11347735,-0.039776877,0.07714144,-0.16927032,-0.16682507,-0.2748777,-0.18129402,-0.008693896,-0.09166617,0.12654595,0.2921489,-0.16482092,7.389685,-0.13232537,0.12810759,-0.29382825,-0.13729641,-0.17106348,-0.19624321,-0.20407428,-0.07277114,0.03397437,12.181546,0.20771627,0.21651338,-0.18200354,0.21817844,-0.5544259,-0.025995135,-0.014617581,-0.45968264,0.107394695,0.518304,-0.21404667,-0.18585919,-0.5203101,-0.097286284,0.30245435,0.1313436,-0.034435175,-0.02273752,0.031088235,-0.3325965,-0.18397063,5.177072,0.7377656,-0.34603596,0.019391857,-0.15937479,-0.3016251,-0.12790692,0.70919776,6.7314196,-0.59681094,-0.39903867,-0.29149142,0.061363995,0.09228115,-0.2252397,-0.00013084493,-0.0993074,-0.049539756,11.251473,-0.21608903,0.14274138,0.0358647,0.28157216,0.49837258,-0.26489422,1.4399457,-0.57506806,0.13275537,4.232627,-0.74758124,-0.28263897,1.6847175,-0.34746942,0.5367209,-0.54905635,-0.110885434,0.01477304,0.76952124,0.20126195,1.7021872,-0.2186098,-0.3267632,0.23671618,-0.3506713,-0.31089383,-0.2808206,1
-0.19480488,-0.095324434,-0.15316182,-0.31770703,-0.30031186,-0.20685264,-0.06507239,-0.32173628,-0.18137515,-0.20202482,0.0497472,-0.20050606,-0.2625747,-0.18634976,-0.20353393,-0.20407325,-0.37703004,-0.1441283,-0.36087805,-0.487677,-0.6007533,-0.16482092,-0.4940048,-0.3028021,-0.2687882,-0.59414,-0.2701879,-0.09770713,-0.16819476,-0.021701181,-0.19583263,0.21076159,-0.20794867,0.27349374,-0.46562642,-0.08202837,-0.41288826,0.09183531,-0.51387006,-0.39977652,-0.6193497,-0.5127107,-0.68426126,-0.21404667,-0.33189955,-0.5929688,-0.13487652,-0.35927436,-0.6040681,-0.4405564,-0.33781904,-0.3682012,0.14451967,-1.0382706,0.20312506,-0.4432434,-0.41270506,-0.20177993,-0.8026677,-0.5272827,-0.12790692,0.13916895,0.043339927,-0.68752307,-0.3953987,-0.29149142,-0.43916586,-0.22375435,-0.2252397,-0.27864957,-0.3100048,-0.31943953,-0.45378074,-0.21608903,-0.19521196,-0.28665656,-0.19579877,-0.40518206,-0.21660154,-0.19755507,0.2587107,-0.32416067,-0.895651,0.36001423,-0.50172836,0.47098216,-0.34746942,-1.0451059,0.27410668,-0.41058633,-0.79154533,-0.70385724,-0.60974777,-0.8440988,-0.4424272,-0.78504527,-1.0063894,0.49507827,-0.31089383,0.45676535,1
0.031586252,-0.016895387,-0.09908734,-0.29519665,-0.18821892,-0.04627304,0.64030874,0.09559412,-0.14965713,0.19169793,0.28773695,-0.08409968,-0.10238546,-0.089353085,0.1199309,-0.23106626,-0.32157308,-0.29930308,0.05606704,-0.16303326,-0.21245508,-0.16482092,-0.05820333,0.185951,-0.3425258,0.1437951,-0.19465226,0.13561313,0.07467358,-0.0023328604,-0.10861521,-0.065277845,-0.4666425,0.24842632,-0.33448294,-0.02933889,-0.20941122,0.8577442,-0.40575218,0.39210075,-0.4075283,-0.024222218,-0.4051037,-0.21404667,-0.086524665,0.23435944,-0.1765733,-0.087172136,-0.14302804,-0.15572943,-0.33781904,-0.20746155,0.12813407,-0.6710019,-0.30877718,-0.25058427,0.092103295,-0.16231172,-0.41671017,-0.7012541,-0.12790692,0.42229363,0.62203676,0.112810895,-0.4295316,1.7557031,-0.3706699,0.30330056,-0.2252397,-0.27721167,0.16803479,-0.44542652,0.21149546,0.85851854,0.089040056,1.5168313,-0.29916486,-0.18732288,0.12891895,1.1314985,3.6701975,0.15174438,0.038006194,-7.3419538,-0.41110155,2.0758862,-0.34746942,0.01893533,0.27868316,-0.7423091,-0.21449433,-0.23077711,-0.37678742,-0.2968832,-0.07437646,-0.40518153,-0.8243358,-0.3506713,-0.31089383,-0.2808206,1
-0.3017068,-0.18243662,-0.02879226,-0.12293833,-0.052787606,-0.01720053,-0.15521447,-0.06592238,-0.17175561,-0.27869058,-0.126254,-0.26547843,0.10726592,0.08509043,-0.3963385,0.0034763548,6.7637315,0.026650878,-0.3778821,0.065140456,-0.10369891,-0.16482092,-0.1932865,-0.04902227,-0.36836237,-0.52643824,-0.15809728,-0.45661718,-0.33605233,-0.18907048,-0.27075493,-0.46825743,-0.6239479,0.29620838,-0.12758736,-0.34924832,-0.07327166,-0.7148396,0.0070614517,-0.28120947,-0.025400717,-0.26906514,-0.020381238,-0.21404667,-0.16254492,-0.2913015,-0.30418417,-0.0812887,0.60950226,0.33996645,-0.33781904,-0.47224715,-0.59667856,-0.22384195,-0.30877718,-0.0008412564,-0.5844573,-0.23905188,-0.20804416,0.084298186,-0.12790692,-0.76417667,-0.39434704,-0.7302935,-0.4397328,-0.29149142,-0.048902206,-0.3933313,2.5124056,-0.22096068,-0.09498472,0.107165344,-0.40042853,-0.21608903,0.07449351,-0.19571392,0.41479254,-0.18138647,11.302935,-0.0030591125,-0.6585486,-0.6310984,-0.48945704,0.48562422,-0.24084288,-0.4852479,-0.34746942,-1.1551578,-0.972704,0.41449112,-0.8677269,-0.23957475,-0.4917878,0.13767613,-0.19848892,7.351994,9.107284,-0.3506713,-0.31089383,-0.2808206,1
