dataset,task_family,cancer,model_name,model_label,split,accuracy,f1,roc_auc,mean_confidence,mean_true_label_probability,n
ALL_core_cancer_type_top95,cancer_type,ALL,tabpfn_v1,TabPFN v1,train,0.8578993821712269,0.8643101625267037,0.9822739393394208,0.7955035921756399,0.7747081586323918,2266
ALL_core_cancer_type_top95,cancer_type,ALL,tabpfn_v1,TabPFN v1,val,0.8209876543209876,0.8255252926428325,0.9733772442519775,0.7531942925514403,0.7208424030679013,486
ALL_core_cancer_type_top95,cancer_type,ALL,tabpfn_v1,TabPFN v1,test,0.8353909465020576,0.8369933987113419,0.9776563502982641,0.7612768834979424,0.7321496724382717,486
ALL_core_cancer_type_top95,cancer_type,ALL,tabpfn_v2,TabPFN v2,train,0.8936451897616946,0.9005614054994037,0.9899223548571028,0.9013556909179171,0.8926667493468666,2266
ALL_core_cancer_type_top95,cancer_type,ALL,tabpfn_v2,TabPFN v2,val,0.8786008230452675,0.8854036180732631,0.9877724733081186,0.8906146176543209,0.8789952356790123,486
ALL_core_cancer_type_top95,cancer_type,ALL,tabpfn_v2,TabPFN v2,test,0.8950617283950617,0.9007437532333358,0.9908140658256478,0.9082987311728393,0.8982568368930042,486
ALL_core_cancer_type_top95,cancer_type,ALL,tabpfn_v2_5,TabPFN v2.5,train,0.8936451897616946,0.9005614054994037,0.9899885543665489,0.9051539668181818,0.8938158773883494,2266
ALL_core_cancer_type_top95,cancer_type,ALL,tabpfn_v2_5,TabPFN v2.5,val,0.8786008230452675,0.8854036180732631,0.9877724733081186,0.8940222644444444,0.8784430635288066,486
ALL_core_cancer_type_top95,cancer_type,ALL,tabpfn_v2_5,TabPFN v2.5,test,0.8950617283950617,0.9007437532333358,0.9908125819907351,0.9121918194032922,0.898399968127572,486
ALL_core_cancer_type_top95,cancer_type,ALL,tabpfn_v2_6,TabPFN v2.6,train,0.8936451897616946,0.900561371963713,0.9899213876104913,0.9010507582700794,0.8929124930875111,2266
ALL_core_cancer_type_top95,cancer_type,ALL,tabpfn_v2_6,TabPFN v2.6,val,0.8786008230452675,0.8854036180732631,0.9877724733081186,0.8900600186419754,0.8794915720781893,486
ALL_core_cancer_type_top95,cancer_type,ALL,tabpfn_v2_6,TabPFN v2.6,test,0.8950617283950617,0.900749092699294,0.9908140658256478,0.9084481181687243,0.898962501255144,486
