task_family,model_name,bin_center,observed_positive_rate,n
os_event,tabpfn_v1,0.08119949510169491,0.12994350282485875,177
os_event,tabpfn_v1,0.148519805,0.0,2
os_event,tabpfn_v1,0.269563215,0.25757575757575757,66
os_event,tabpfn_v1,0.3498010739873417,0.3924050632911392,158
os_event,tabpfn_v1,0.4254128764179104,0.43283582089552236,67
os_event,tabpfn_v1,0.5359891281818181,0.5454545454545454,11
os_event,tabpfn_v1,0.618259735,1.0,2
os_event,tabpfn_v2,0.06119771270833333,0.0,24
os_event,tabpfn_v2,0.13181725856770835,0.16145833333333334,192
os_event,tabpfn_v2,0.259137983015873,0.2857142857142857,63
os_event,tabpfn_v2,0.3517204477777777,0.5238095238095238,63
os_event,tabpfn_v2,0.44869633524390246,0.34146341463414637,82
os_event,tabpfn_v2,0.5394494707317075,0.4146341463414634,41
os_event,tabpfn_v2,0.6446689553846153,0.6153846153846154,13
os_event,tabpfn_v2,0.7371041250000001,0.75,4
os_event,tabpfn_v2,0.80849504,1.0,1
os_event,tabpfn_v2_5,0.06898268013513512,0.08108108108108109,37
os_event,tabpfn_v2_5,0.12423776609146339,0.15853658536585366,164
os_event,tabpfn_v2_5,0.26239282460526314,0.23684210526315788,76
os_event,tabpfn_v2_5,0.35705867399999996,0.47692307692307695,65
os_event,tabpfn_v2_5,0.4444326527710844,0.3855421686746988,83
os_event,tabpfn_v2_5,0.5366513578378378,0.5405405405405406,37
os_event,tabpfn_v2_5,0.6534384163636364,0.18181818181818182,11
os_event,tabpfn_v2_5,0.7538810228571429,0.7142857142857143,7
os_event,tabpfn_v2_5,0.8391568466666666,0.6666666666666666,3
os_event,tabpfn_v2_6,0.023054583999999996,0.0,20
os_event,tabpfn_v2_6,0.13154274690697673,0.1569767441860465,172
os_event,tabpfn_v2_6,0.26265521033898304,0.2542372881355932,59
os_event,tabpfn_v2_6,0.3579243288421053,0.4105263157894737,95
os_event,tabpfn_v2_6,0.43570501282828283,0.37373737373737376,99
os_event,tabpfn_v2_6,0.545828895652174,0.4782608695652174,23
os_event,tabpfn_v2_6,0.6352404076923077,0.6153846153846154,13
os_event,tabpfn_v2_6,0.71826154,1.0,2
os_event,tabpfn_v3,0.06747942725714284,0.05714285714285714,35
os_event,tabpfn_v3,0.12962228304651166,0.16279069767441862,172
os_event,tabpfn_v3,0.27439270789473685,0.21052631578947367,19
os_event,tabpfn_v3,0.35272873649253733,0.41044776119402987,134
os_event,tabpfn_v3,0.4279701425252525,0.35353535353535354,99
os_event,tabpfn_v3,0.539917296,0.6,20
os_event,tabpfn_v3,0.6148006175,0.75,4
source,tabpfn_v1,0.016777201705882358,0.014705882352941176,68
source,tabpfn_v1,0.7438505,1.0,1
source,tabpfn_v1,0.82842594,1.0,1
source,tabpfn_v1,0.9974430602820511,1.0,390
source,tabpfn_v2,0.03538248450980392,0.0196078431372549,51
source,tabpfn_v2,0.47558594,0.0,17
source,tabpfn_v2,0.9941197969132654,1.0,392
source,tabpfn_v2_5,0.01987111249705883,0.014705882352941176,68
source,tabpfn_v2_5,0.9991767948469388,1.0,392
source,tabpfn_v2_6,0.01367979865870588,0.014705882352941176,68
source,tabpfn_v2_6,0.85498047,1.0,1
source,tabpfn_v2_6,0.9936065723785166,1.0,391
source,tabpfn_v3,0.010472562826705882,0.014705882352941176,68
source,tabpfn_v3,0.9996403647193878,1.0,392
