methylation_gene__GENE_CDCA4,methylation_gene__GENE_TRIM25,methylation_gene__GENE_C18ORF10;KIAA1328,methylation_gene__GENE_C14ORF80,methylation_gene__GENE_LPCAT1,methylation_gene__GENE_ADH5,methylation_gene__GENE_HEXB,methylation_gene__GENE_BCL7A,methylation_gene__GENE_THUMPD3,methylation_gene__GENE_KIF15;KIAA1143,methylation_gene__GENE_MRPS17,methylation_gene__GENE_MAN2A1,methylation_gene__GENE_MTMR4,methylation_gene__GENE_ZNF747,methylation_gene__GENE_TM9SF1,methylation_gene__GENE_KIAA0101,methylation_gene__GENE_USPL1,methylation_gene__GENE_HSPBP1,methylation_gene__GENE_LLPH,methylation_gene__GENE_HERC5,methylation_gene__GENE_BRI3,rnaseq_gene__GENE_ACTL6B,methylation_gene__GENE_UBE2L6,methylation_gene__GENE_ZNF273,methylation_gene__GENE_CNPY3,methylation_gene__GENE_NCK1,methylation_gene__GENE_UQCRB,methylation_gene__GENE_FIBCD1,methylation_gene__GENE_SH3RF2,methylation_gene__GENE_PTGES3,methylation_gene__GENE_KIAA1328;C18ORF10,methylation_gene__GENE_ATP6V1C1,methylation_gene__GENE_PAPD4,methylation_gene__GENE_CRIP2,methylation_gene__GENE_RNF17,methylation_gene__GENE_CYP39A1;SLC25A27,methylation_gene__GENE_GAS2L1,methylation_gene__GENE_CDK11A;CDK11B,methylation_gene__GENE_LOC100329108;GCSH,methylation_gene__GENE_NEK11;ASTE1,methylation_gene__GENE_MSRB2,methylation_gene__GENE_FUCA1,methylation_gene__GENE_CEP350,methylation_gene__GENE_SLC35F2,methylation_gene__GENE_RCBTB2,methylation_gene__GENE_CAMK2D,methylation_gene__GENE_TAPBPL;LOC678655,methylation_gene__GENE_LIF,rnaseq_gene__GENE_FAM9C,methylation_gene__GENE_CLDN7,rnaseq_gene__GENE_KLHL1,methylation_gene__GENE_CD27;TAPBPL;LOC678655,methylation_gene__GENE_NAA20,methylation_gene__GENE_RAB28,methylation_gene__GENE_MXD3,methylation_gene__GENE_FKBPL,rnaseq_gene__GENE_C21ORF54,rnaseq_gene__GENE_RHAG,rnaseq_gene__GENE_INSL6,methylation_gene__GENE_POLR1B,methylation_gene__GENE_FAM103A1,methylation_gene__GENE_GSTK1,methylation_gene__GENE_GADD45B,rnaseq_gene__GENE_KCNK16,methylation_gene__GENE_ZCCHC9;RNU5E;RNU5D,methylation_gene__GENE_ALOXE3,methylation_gene__GENE_AASS,methylation_gene__GENE_CIDECP;FANCD2,rnaseq_gene__GENE_LGALS14,methylation_gene__GENE_TFDP3,methylation_gene__GENE_SC5DL,rnaseq_gene__GENE_SEL1L2,methylation_gene__GENE_GMFB,methylation_gene__GENE_EMP1,methylation_gene__GENE_RNF135,methylation_gene__GENE_NOC3L,methylation_gene__GENE_OSBP,methylation_gene__GENE_FAM160A2,methylation_gene__GENE_FABP7,rnaseq_gene__GENE_DPEP3,methylation_gene__GENE_GBAS,methylation_gene__GENE_STAMBP,methylation_gene__GENE_TRIM60,rnaseq_gene__GENE_GUSBP19,methylation_gene__GENE_ERBB2,methylation_gene__GENE_XRCC5,methylation_gene__GENE_SNORA21;RPL23,rnaseq_gene__GENE_NCRNA00200,methylation_gene__GENE_SPPL3,methylation_gene__GENE_TXNL1,rnaseq_gene__GENE_C19ORF41,rnaseq_gene__GENE_TCF23,methylation_gene__GENE_ASPSCR1,cnv_log2__GENE_EFNB1,cnv_log2__GENE_FAM155B,cnv_log2__GENE_PJA1,cnv_log2__GENE_LINC00269,methylation_gene__GENE_PUS3;DDX25,methylation_gene__GENE_NAAA,rnaseq_gene__GENE_UGT2B10,target
-0.15309937,-0.10189479,-0.12042356,-0.19512706,-0.24764444,-0.27582815,-0.043722235,-0.27916497,-0.19026418,-0.28597042,-0.25178477,-0.40885615,-0.08092904,-0.3060914,-0.37846366,-0.49593568,-0.15754049,-0.14430168,-0.2336075,0.20958243,-0.28196302,-0.16482092,-0.12952122,0.13214898,0.20942542,-0.49672914,-0.17979158,-0.21117869,0.00061801134,-0.42453286,-0.42525506,-0.028367246,-0.082640216,-0.39611983,0.26188102,-0.657494,-0.26169896,-0.20291467,-0.553942,-0.8892181,-0.16501203,-0.21462262,-0.4362095,-0.36570096,-0.3494394,2.8271365,0.07173982,0.034403235,0.28141597,-0.34317967,-0.22644344,0.19853982,-0.4239661,1.786925,-0.5685845,-0.026828105,-0.12790692,-0.30877718,-0.39434704,-0.33951688,0.15357982,-0.42679265,-0.3920389,-0.21404667,-0.24126025,0.025174027,-0.05009091,0.88032216,-0.29149142,0.5367785,-0.58056086,-0.21608903,-0.5599618,-0.53784364,-0.2895771,0.92739695,-0.06859118,-0.2590468,0.13884334,-0.1621327,-1.31631,-0.84843445,0.21375899,-0.30220073,-0.3399425,-0.51687306,-0.5096932,-0.2808206,-0.6583797,-0.75363,-0.31097722,-0.21341658,-0.41890767,0.29090217,0.2914751,0.2832234,0.2832234,-0.06637163,-0.31757328,-0.3506713,1
-0.13626535,-0.1399508,-0.15827413,-0.25605118,0.23530866,0.18156189,0.012546526,-0.2403434,0.107280195,-0.18966815,-0.20746854,-0.2767135,-0.06322965,-0.1523737,-0.2011076,-0.1583147,0.22336783,-0.04637125,-0.04454681,0.037042063,-0.17894247,-0.16482092,-0.2848581,-0.08641388,-0.11489365,1.0234138,0.08881786,-0.4197621,-0.23513901,-0.35423854,0.4719186,0.006986288,0.11510134,-0.3513212,0.28193697,0.15520678,-0.30383012,-0.022628788,0.7776212,-0.096695915,-0.6237908,-0.1244237,11.121735,-0.30470735,-0.6449782,0.3056828,-0.8056214,-0.59644866,-0.09226942,-0.02921373,-0.22644344,0.35607556,0.16506663,0.51584476,-0.25538749,0.20972079,-0.12790692,0.08192348,6.413746,-0.05481036,-0.31987497,0.21307404,0.43832648,1.8054682,-0.22913748,0.7752662,0.42507944,-0.21020164,-0.29149142,0.28165817,0.3871394,-0.21608903,-0.40116775,-0.16774277,0.37260544,-0.09094664,0.20510529,0.4796694,1.1316627,1.3868243,0.124062866,0.59248716,0.33695793,-0.30220073,-0.4350542,-0.21372469,-1.0042236,-0.2808206,-0.39463675,0.9429031,1.7629076,-0.21341658,-0.54165,-0.20294403,-0.20248955,-0.21049727,-0.21049727,-0.17436495,-0.21911067,1.4895555,0
-0.18061188,-0.25801846,-0.3133753,-0.11621391,-0.2527949,-0.26851514,-0.1393659,-0.269621,-0.037230212,-0.36469877,-0.4750711,-0.37058023,-0.2548977,-0.41892996,-0.24720623,-0.31759986,0.13351685,-0.35473064,-0.13818367,-0.25524947,-0.17248102,-0.16482092,-0.4771529,-0.47973046,-0.12638642,-0.34952003,-0.5214161,-0.29222408,0.13653287,-0.05338346,-0.5433646,-0.48078033,0.06157824,0.28754038,0.064432494,-0.03389227,-0.5646023,-0.43781227,0.8057906,-0.6562533,-0.5845804,-0.16922677,0.46395847,-0.60484755,-0.38482407,0.3117761,-0.4125777,0.022085713,0.0160855,0.020908361,-0.22644344,0.26371938,-0.37774712,-0.38415116,-0.5623242,-0.12679401,-0.12790692,-0.30877718,0.06879752,-0.60081804,0.1841632,-0.69695234,-0.74870205,-0.21404667,0.6566044,-0.32303658,-0.11681464,0.19353266,-0.29149142,0.016231379,-0.25786105,-0.21608903,-0.56707466,-0.43622693,0.34724662,-0.42601594,-0.45341325,-0.097807616,-0.08989394,1.048547,-1.1651995,-0.3388503,0.3813703,-0.30220073,1.4185685,1.8109933,-0.025772167,0.13662983,-0.70230055,-0.11734475,0.34356675,-0.21341658,-0.38614145,-0.13913244,-0.13866265,-0.1467019,-0.1467019,-0.12347463,-0.31893006,-0.3506713,1
-0.07940217,-0.17678337,-0.010509118,-0.0979659,-0.40123516,13.194387,0.34198052,-0.11044404,0.030815868,0.04000164,0.029739426,-0.100017436,-0.10484859,0.006717662,-0.24643792,-0.16198395,-0.012702421,-0.13390587,12.904035,12.847178,0.10456552,-0.16482092,-0.29931942,0.25950947,0.14193642,0.060611855,-0.21482411,-0.3391247,11.390017,-0.1032105,-0.11411928,0.15154855,-0.18717127,0.08788194,0.27219123,-0.31915474,-0.11690556,-0.065416716,-0.43800908,-0.3738944,0.08351358,-0.24268933,-0.11675022,12.072283,-0.020525983,0.25900388,0.43278965,0.08118388,1.242374,-0.34984604,-0.22644344,0.15432148,-0.6704215,-0.025741411,-0.07140592,0.42077842,-0.12790692,-0.30877718,2.537571,-0.062234756,0.7597779,-0.077229895,11.092847,11.201384,0.06135684,0.2340973,0.1146222,0.13148347,-0.29149142,-0.60373354,0.8426125,0.69548076,-0.13038732,0.43138623,4.180819,-0.029330943,0.21374089,0.3232928,0.55092025,0.5456514,-0.31879783,1.2351168,0.31508398,7.0998063,10.425401,-0.41182294,-0.072698064,-0.2808206,-0.6216147,0.83351225,-0.31097722,0.69837725,-0.64536774,-0.39715323,-0.3967453,-0.4046571,-0.4046571,9.290487,0.094773926,1.0664035,1
13.370496,-0.15234661,-0.2692028,-0.09264344,-0.121952444,-0.23168354,-0.37184733,-0.22594784,0.20983106,-0.3287966,-0.13606463,0.0024000707,11.998044,-0.30758676,-0.24771543,-0.28086093,0.26702738,-0.049827434,-0.006369258,-0.17671151,0.14211307,0.5143135,-0.1663142,0.60690975,0.822772,0.09113888,-0.03758072,-0.15976326,0.24589019,0.2119474,0.54149485,-0.5363796,12.092065,-0.5264976,0.008929011,0.6043019,-0.1736755,-0.43375322,0.06669565,-0.71497303,0.3626195,-0.29507363,-0.3956729,-0.2641773,-0.107914545,-0.19013484,-0.19871767,-0.2248359,-0.0686784,-0.23947355,-0.22644344,0.77393925,0.083853856,0.014423673,-0.43944016,-0.061928503,-0.12790692,-0.30877718,-0.0898101,-0.22579788,0.007951804,0.5712479,-0.8118948,-0.21404667,11.258243,-0.3392487,0.3640389,-0.10126763,-0.29149142,0.14123268,0.082769446,-0.21608903,-0.56358224,-0.36024702,-0.32932773,-0.024045367,-0.6092262,-0.59663844,-0.23282985,-0.21682951,-0.74021757,0.010019864,0.14289969,-0.30220073,-0.35320202,0.08883972,-1.0443826,0.04058668,-0.0070276954,0.6419746,0.20948379,-0.21341658,-0.39814702,-0.050351102,-0.04986002,-0.057943128,-0.057943128,-0.26670042,-0.1041229,0.048955936,1
-0.0019791485,-0.118353195,-0.076776564,-0.34956115,-0.17623495,-0.10603004,-0.09715795,-0.13029934,-0.2763603,-0.20228823,-0.40200272,-0.18172434,0.45538974,-0.19451293,-0.050992697,-0.30464637,-0.2731376,0.13068776,-0.09072618,-0.2707783,-0.30365443,-0.16482092,-0.22730783,-0.19225714,-0.025150318,-0.16250642,-0.33265427,-0.25836387,-0.12156587,0.023367235,-0.22380064,-0.33654228,0.06659615,-0.649702,-0.6049786,0.12938309,-0.3015228,-0.29959944,-0.04840492,-0.5577921,-0.45102304,-0.30870333,-0.152696,-0.45882443,-0.05815118,0.25880632,9.344927,0.0081204055,-0.02199272,-0.45456892,9.779633,10.442121,0.10252699,0.34840685,-0.57123303,-0.45841068,-0.12790692,-0.30877718,-0.39434704,-0.048498943,-0.38924482,0.8951402,-0.10251159,-0.21404667,-0.14874448,-0.31927383,-9.582314,-0.11880703,-0.29149142,-0.1724979,-0.4464366,-0.21608903,-0.21034513,10.085696,4.548632,-0.48722395,-0.5920318,0.34747496,-0.5557105,8.057336,-0.56929946,-0.37987396,-0.32316858,2.6026375,-0.80073124,0.14770739,-0.41535437,-0.2808206,-0.20933877,-1.0528412,0.28333306,-0.21341658,2.7978692,-0.5192275,-0.5188489,-0.5267004,-0.5267004,-0.06758571,-0.39163223,-0.3506713,1
-0.062336408,-0.11018006,-0.0072624236,-0.022657534,-0.18204257,0.09546122,-0.030928224,-0.004858531,-0.02067721,0.1313303,-0.22466454,0.46198994,-0.03465343,0.3266533,-0.16927032,-0.11757119,-0.18129402,-0.16682507,0.07714144,-0.13232537,-0.008693896,-0.16482092,0.043317657,-0.17106348,-0.19597968,0.5634633,0.3592236,-0.20407428,0.13275537,-0.07277114,0.03397437,12.181546,-0.30756566,-0.2748777,0.20771627,-0.5544259,-0.097286284,-0.09166617,-0.014617581,-0.5203101,-0.45968264,-0.19624321,0.21817844,0.1313436,0.42396984,0.518304,0.4153124,-0.15142925,-0.02273752,-0.23202808,-0.22644344,0.2874828,0.7377656,-0.3016251,-0.15937479,-0.34603596,-0.12790692,5.177072,6.7314196,0.031088235,0.061363995,0.21551187,-0.59681094,-0.21404667,-0.117014505,0.09228115,0.5210142,0.09502214,-0.29149142,0.28157216,11.251473,-0.21608903,-0.26489422,0.09321744,-0.18474072,-0.0993074,0.14274138,1.4399457,-0.40848067,1.1362059,0.81563896,-0.00013084493,0.026569007,-0.30220073,1.6847175,-0.3267632,0.30825585,-0.2808206,0.01477304,0.23671618,-0.31097722,-0.21341658,0.38291362,0.11333948,0.11386982,0.10570584,0.10570584,2.5171018,0.24490747,-0.3506713,1
0.007656226,0.07756482,-0.13365273,0.28865352,0.11354168,0.03392084,0.14861274,0.4050877,-0.121057734,0.19692032,0.24224794,-0.19583035,-0.062428676,-0.08993947,0.18973851,0.35316592,-0.17149349,-0.31855386,-0.20009455,-0.012431122,0.01719522,-0.16482092,0.29560724,-0.23135632,0.2721751,0.009610579,-0.3338328,0.14180818,-0.26885673,-0.08235893,0.034979817,0.036136057,0.018538749,0.33241582,0.3074352,-0.21695581,0.07803201,0.0083420575,-0.16829638,0.36729807,0.43052825,-0.38807204,0.47178146,0.34156257,0.052764814,-0.07692099,-0.10577337,-0.41767544,0.5800207,1.136506,0.67392147,-0.09949208,0.33131212,-0.1890781,0.9914192,-0.76878077,-0.12790692,0.5594453,-0.39434704,0.13590455,-0.16261281,-0.22294821,0.2947924,-0.21404667,-0.013359669,-0.18501507,0.3996424,0.20225455,-0.29149142,0.61732006,0.016488414,-0.21608903,0.09997812,0.9844425,-0.33251762,0.2661065,-0.29890054,0.14513123,0.3027631,-0.5163124,0.3863882,-0.46559644,-0.14055862,-0.30220073,0.06688127,-0.8675557,1.1599686,-0.2808206,0.1523539,-0.15280275,-0.31097722,-0.21341658,1.129995,-0.064223185,-0.06373543,-0.07181169,-0.07181169,-0.104839765,-0.23709519,-0.3506713,1
-0.044088945,-0.19480488,-0.095324434,-0.31770703,-0.0075776274,-0.20685264,-0.26271242,-0.32173628,-0.35743833,-0.28027946,-0.16544594,-0.20202482,-0.2866069,-0.20269929,-0.18634976,-0.21336734,-0.37703004,-0.20353393,-0.2625747,-0.3028021,-0.1441283,-0.16482092,-0.07457926,-0.09770713,-0.3071365,-0.1938402,-0.43506333,-0.021701181,-0.32416067,-0.19583263,0.21076159,-0.20794867,-0.35647452,-0.20407325,0.27349374,0.09183531,-0.13487652,-0.36087805,-0.39977652,-0.5929688,-0.6193497,-0.16819476,-0.41288826,-0.6040681,0.323846,-0.68426126,-0.40260282,-0.2004812,-0.33781904,0.00024067835,4.0853515,-0.62144744,-0.4432434,-0.5272827,-0.8026677,-0.41270506,-0.12790692,0.20312506,0.043339927,-0.3682012,-0.43916586,-0.42015505,-0.68752307,-0.21404667,-0.5221321,-0.22375435,0.24828899,-0.7673484,-0.29149142,-0.19579877,-0.45378074,-0.21608903,-0.21660154,-0.35480335,-0.29148382,-0.3100048,-0.19521196,-0.19755507,-0.13855419,0.6609161,0.056425918,-0.27864957,-0.36448732,-0.30220073,0.47098216,-0.78504527,-0.7770843,0.45676535,-0.79154533,-1.0063894,0.3220455,1.44415,-0.76370895,-0.09196735,-0.09148625,-0.0995488,-0.0995488,-0.22558618,-0.055249553,0.49507827,1
0.07176587,-0.07793327,0.027631283,0.20973156,0.06618141,-0.26946762,-0.1156053,-0.21957824,0.11153104,0.07445879,0.16021661,0.15689392,-0.23304667,0.23224305,-0.06459906,0.9993149,-0.35856295,-0.29327902,-0.1849668,0.0376391,-0.14336632,-0.16482092,0.03278749,0.040171422,0.24947663,-0.11070143,-0.16041508,0.16542009,-0.36052233,-0.030131696,-0.18301669,-0.13387425,-0.0899785,0.4635438,0.016901432,0.3875612,-0.20293963,0.04328777,-0.20556441,0.123483546,-0.348745,0.31125292,0.17617925,-0.16680625,0.9347195,0.46958926,-0.085151844,0.10900333,-0.33781904,0.90165544,-0.22644344,-0.4582277,0.2532168,-0.26775038,0.7792744,-1.0946999,-0.12790692,-0.30877718,0.019876106,0.09403156,-0.26677644,-0.80283356,1.3385031,-0.21404667,0.6039955,0.36795017,0.31678584,-0.033047296,-0.29149142,-0.54636544,-0.4520752,-0.21608903,0.38186085,0.009605185,-0.33879763,-0.11874914,0.30030853,1.2521994,0.25896806,0.634486,0.95974326,0.71478933,0.06492676,1.3642465,-0.089518234,0.0012133275,0.67331314,-0.2808206,-0.49179643,-0.073535964,-0.31097722,-0.21341658,0.57209563,-0.17519987,-0.17473873,-0.18276015,-0.18276015,-0.1635792,0.09103842,-0.3506713,1
