dataset,model_name,version,task_type,status,accuracy,f1,roc_auc,log_loss
ALL_core_cancer_type_top95,tabpfn_v1,v1,multiclass,success,0.8353909465020576,0.8134565791243483,0.9791199894239007,0.4419343674096525
ALL_core_cancer_type_top95,tabpfn_v2,v2,multiclass,success,0.8950617283950617,0.9051090944717777,0.991807659007901,0.19305946794008785
ALL_core_cancer_type_top95,tabpfn_v2_5,v2_5,multiclass,success,0.8950617283950617,0.9051090944717777,0.9918094204524044,0.20148419734345024
ALL_core_cancer_type_top95,tabpfn_v2_6,v2_6,multiclass,success,0.8950617283950617,0.9050566969007983,0.991807659007901,0.1927936105304527
ALL_core_cancer_type_top95,tabpfn_v3,v3,multiclass,success,0.8950617283950617,0.9050297117878061,0.9918094204524044,0.19070569377905286
BRCA_core_os_event_top100,tabpfn_v1,v1,binary,success,0.8707865168539326,0.0,0.5514726507713885,0.3944163035412263
BRCA_core_os_event_top100,tabpfn_v2,v2,binary,success,0.8707865168539326,0.0,0.5997194950911642,0.3764511692959552
BRCA_core_os_event_top100,tabpfn_v2_5,v2_5,binary,success,0.8707865168539326,0.0,0.5688639551192145,0.3801186859475801
BRCA_core_os_event_top100,tabpfn_v2_6,v2_6,binary,success,0.8707865168539326,0.0,0.5866760168302945,0.3742835329641203
BRCA_core_os_event_top100,tabpfn_v3,v3,binary,success,0.8707865168539326,0.0,0.532117812061711,0.3818500309283459
BRCA_core_source_top100,tabpfn_v1,v1,binary,success,0.994475138121547,0.9969230769230769,0.9969325153374233,0.027388504436006496
BRCA_core_source_top100,tabpfn_v2,v2,binary,success,0.994475138121547,0.9969230769230769,0.9969325153374233,0.023836691126507634
BRCA_core_source_top100,tabpfn_v2_5,v2_5,binary,success,0.994475138121547,0.9969230769230769,0.9969325153374233,0.02388342718795572
BRCA_core_source_top100,tabpfn_v2_6,v2_6,binary,success,0.994475138121547,0.9969230769230769,0.9969325153374233,0.026717744811939104
BRCA_core_source_top100,tabpfn_v3,v3,binary,success,0.994475138121547,0.9969230769230769,0.9969325153374233,0.024159376758501192
ESCA_core_os_event_top100,tabpfn_v1,v1,binary,success,0.5714285714285714,0.0,0.43229166666666663,0.6913584794003115
ESCA_core_os_event_top100,tabpfn_v2,v2,binary,success,0.6071428571428571,0.26666666666666666,0.5026041666666667,0.6945179306792116
ESCA_core_os_event_top100,tabpfn_v2_5,v2_5,binary,success,0.5714285714285714,0.3333333333333333,0.5208333333333334,0.6854325798041081
ESCA_core_os_event_top100,tabpfn_v2_6,v2_6,binary,success,0.5357142857142857,0.43478260869565216,0.5364583333333334,0.705978422282665
ESCA_core_os_event_top100,tabpfn_v3,v3,binary,success,0.6071428571428571,0.35294117647058826,0.578125,0.6816552710379546
HNSCC_core_os_event_top100,tabpfn_v1,v1,binary,success,0.631578947368421,0.3137254901960784,0.6181902123730378,0.6498728457937456
HNSCC_core_os_event_top100,tabpfn_v2,v2,binary,success,0.6526315789473685,0.47619047619047616,0.6472760849492151,0.6352041555099384
HNSCC_core_os_event_top100,tabpfn_v2_5,v2_5,binary,success,0.6421052631578947,0.5,0.6509695290858725,0.6527542916905777
HNSCC_core_os_event_top100,tabpfn_v2_6,v2_6,binary,success,0.6421052631578947,0.46875,0.6375807940904893,0.6386046393551388
HNSCC_core_os_event_top100,tabpfn_v3,v3,binary,success,0.6526315789473685,0.42105263157894735,0.623730378578024,0.6469273911732545
HNSCC_core_source_top100,tabpfn_v1,v1,binary,success,1.0,1.0,1.0,0.006216193729191173
HNSCC_core_source_top100,tabpfn_v2,v2,binary,success,1.0,1.0,1.0,0.02139620991120507
HNSCC_core_source_top100,tabpfn_v2_5,v2_5,binary,success,1.0,1.0,1.0,0.0012643220480039036
HNSCC_core_source_top100,tabpfn_v2_6,v2_6,binary,success,1.0,1.0,1.0,0.009922806243470004
HNSCC_core_source_top100,tabpfn_v3,v3,binary,success,1.0,1.0,1.0,1.4953988396851263e-05
LSCC_core_os_event_top100,tabpfn_v1,v1,binary,success,0.6067415730337079,0.0,0.555026455026455,0.6588547587043636
LSCC_core_os_event_top100,tabpfn_v2,v2,binary,success,0.6067415730337079,0.3137254901960784,0.5698412698412698,0.6621887159624916
LSCC_core_os_event_top100,tabpfn_v2_5,v2_5,binary,success,0.6629213483146067,0.3181818181818182,0.5783068783068783,0.6536572158836075
LSCC_core_os_event_top100,tabpfn_v2_6,v2_6,binary,success,0.6179775280898876,0.05555555555555555,0.53994708994709,0.6555837300664691
LSCC_core_os_event_top100,tabpfn_v3,v3,binary,success,0.6067415730337079,0.0,0.5455026455026455,0.6539498393824705
LSCC_core_source_top100,tabpfn_v1,v1,binary,success,1.0,1.0,1.0,0.010978344131684218
LSCC_core_source_top100,tabpfn_v2,v2,binary,success,1.0,1.0,1.0,0.00651491516300202
LSCC_core_source_top100,tabpfn_v2_5,v2_5,binary,success,1.0,1.0,1.0,0.0008700939304908405
LSCC_core_source_top100,tabpfn_v2_6,v2_6,binary,success,1.0,1.0,1.0,0.006803956899265831
