cancer_a,cancer_b,intersection,union,jaccard
BRCA,BRCA,100,100,1.0
BRCA,ESCA,3,197,0.015228426395939087
BRCA,HNSCC,14,186,0.07526881720430108
BRCA,LSCC,7,193,0.03626943005181347
BRCA,LUAD,7,193,0.03626943005181347
ESCA,BRCA,3,197,0.015228426395939087
ESCA,ESCA,100,100,1.0
ESCA,HNSCC,2,198,0.010101010101010102
ESCA,LSCC,0,200,0.0
ESCA,LUAD,0,200,0.0
HNSCC,BRCA,14,186,0.07526881720430108
HNSCC,ESCA,2,198,0.010101010101010102
HNSCC,HNSCC,100,100,1.0
HNSCC,LSCC,5,195,0.02564102564102564
HNSCC,LUAD,12,188,0.06382978723404255
LSCC,BRCA,7,193,0.03626943005181347
LSCC,ESCA,0,200,0.0
LSCC,HNSCC,5,195,0.02564102564102564
LSCC,LSCC,100,100,1.0
LSCC,LUAD,31,169,0.1834319526627219
LUAD,BRCA,7,193,0.03626943005181347
LUAD,ESCA,0,200,0.0
LUAD,HNSCC,12,188,0.06382978723404255
LUAD,LSCC,31,169,0.1834319526627219
LUAD,LUAD,100,100,1.0
