cancer,endpoint,class,count,n_total
BRCA,os_3yr,0,430,501
BRCA,os_3yr,1,71,501
BRCA,os_5yr,0,249,350
BRCA,os_5yr,1,101,350
ESCA,os_3yr,1,68,86
ESCA,os_3yr,0,18,86
HNSCC,os_3yr,1,210,385
HNSCC,os_3yr,0,175,385
HNSCC,os_5yr,1,232,286
HNSCC,os_5yr,0,54,286
LSCC,os_3yr,0,185,355
LSCC,os_3yr,1,170,355
LSCC,os_5yr,1,199,281
LSCC,os_5yr,0,82,281
LUAD,os_3yr,0,161,318
LUAD,os_3yr,1,157,318
LUAD,os_5yr,1,194,251
LUAD,os_5yr,0,57,251
