task,model,task_type,status,fit_time_s,predict_time_s,tcga_accuracy,tcga_f1,tcga_roc_auc,tcga_log_loss,cptac_accuracy,cptac_f1,cptac_roc_auc,cptac_log_loss
brca_pik3ca_biological,logistic_regression,binary,success,0.8972600660017633,0.03146394499708549,0.6752730883813307,0.5226277372262774,0.7108281586121006,0.7411554991074445,0.6611570247933884,0.0,0.8170731707317074,0.5806447478445605
brca_pik3ca_biological,random_forest,binary,success,2.245987681002589,0.09318725499542779,0.70506454816286,0.4406779661016949,0.7327035124236856,0.5669977004834279,0.6942148760330579,0.4307692307692308,0.7103658536585366,0.5842590039476684
brca_pik3ca_biological,xgboost,binary,success,2.238859163997404,0.20015559699822916,0.692154915590864,0.4934640522875817,0.7260257270011583,0.7810349629076495,0.71900826446281,0.6222222222222222,0.7439024390243902,0.6100207378343938
brca_pik3ca_biological,lightgbm,binary,success,0.715741619002074,0.02541102699979092,0.6991062562065541,0.4941569282136895,0.7416152097612806,0.7237277105380368,0.5619834710743802,0.5391304347826087,0.7350609756097561,0.7209026756786143
brca_pik3ca_biological,catboost,binary,success,5.213081529000192,0.057217804995161714,0.7000993048659384,0.4828767123287671,0.7423032372127051,0.5577310873911032,0.7520661157024794,0.6428571428571429,0.7329268292682928,0.6099140041918291
brca_pik3ca_biological,autogluon,binary,success,53.2649187149982,0.30331024700353737,0.6961271102284012,0.4631578947368421,0.7201644298516823,0.5910771651144083,0.628099173553719,0.5714285714285714,0.7189024390243903,0.6296336449771333
brca_pik3ca_biological,tabpfn_v3,binary,success,3.578558355995483,27.11175246199855,0.7130089374379345,0.5505443234836703,0.7684831171998153,0.538852108794851,0.6694214876033058,0.6,0.7832317073170733,0.6161253728873367
brca_pik3ca_protein_biological,logistic_regression,binary,success,0.9504828909957723,0.02547184199647745,0.676266137040715,0.5219941348973607,0.7122434049520558,0.7083696887223153,0.6557377049180327,0.0,0.6970791930141523,0.6065606875156622
brca_pik3ca_protein_biological,random_forest,binary,success,2.507667493999179,0.10885007600154495,0.7030784508440914,0.43263757115749524,0.7219128034070422,0.5728205151418937,0.6639344262295082,0.0,0.7383318277627221,0.6134230689386169
brca_pik3ca_protein_biological,xgboost,binary,success,1.5560228920039663,0.07775581600071746,0.6861966236345581,0.4935897435897436,0.7285383335800943,0.7663662269665532,0.5,0.5343511450381679,0.695874736525143,0.7372961569482137
brca_pik3ca_protein_biological,lightgbm,binary,success,0.5167875150036707,0.025616737995733274,0.7030784508440914,0.5138211382113821,0.7282596389162261,0.7522543780989103,0.4672131147540984,0.5255474452554745,0.7172538392050588,0.7982778681077027
brca_pik3ca_protein_biological,catboost,binary,success,4.120658979998552,0.05390140200324822,0.7000993048659384,0.4793103448275862,0.7414932808458384,0.5632487814817725,0.7049180327868853,0.5135135135135135,0.7326106594399278,0.6417355177107261
brca_pik3ca_protein_biological,autogluon,binary,success,52.75988735999999,0.5344561349993455,0.6931479642502483,0.49261083743842365,0.7258602520444867,0.6125614299940174,0.5901639344262295,0.576271186440678,0.7154471544715447,0.661654276260678
brca_pik3ca_protein_biological,tabpfn_v3,binary,success,2.465599340001063,23.799389486994187,0.7110228401191658,0.5388272583201268,0.7645334912603095,0.5416005303453447,0.5573770491803278,0.5970149253731343,0.7609153869316471,0.6780392826031594
brca_pik3ca_protein_top500,logistic_regression,binary,success,0.5193165950040566,0.04430042900276021,0.6742800397219464,0.5494505494505495,0.7144468346382631,2.0662730136393526,0.6639344262295082,0.0,0.6555254441433304,1.4542642954604788
brca_pik3ca_protein_top500,random_forest,binary,success,3.5367705579992617,0.10914748399954988,0.7368421052631579,0.537521815008726,0.7862956253646981,0.53366309650644,0.6639344262295082,0.0,0.6350496838301716,0.6325314958882439
brca_pik3ca_protein_top500,xgboost,binary,success,5.2711253549969115,0.2271477340036654,0.7159880834160874,0.5488958990536278,0.7683219968472667,0.7151545044026362,0.6639344262295082,0.0,0.5709123757904245,0.7064361094294355
brca_pik3ca_protein_top500,lightgbm,binary,success,1.9698246320040198,0.029951837994303787,0.7378351539225422,0.5822784810126582,0.7820956096881233,0.6855718814258058,0.6639344262295082,0.0,0.5796446853357423,0.6407577418613437
brca_pik3ca_protein_top500,catboost,binary,success,13.764234598995245,0.34430054500626284,0.7249255213505462,0.5421487603305785,0.7770573327178825,0.5287166695854449,0.6639344262295082,0.0,0.6853357422463113,0.6370433262240651
brca_pik3ca_protein_top500,autogluon,binary,success,52.56191905000378,0.44531457699486054,0.7110228401191658,0.5008576329331046,0.7621776504297992,0.5456207251358909,0.6639344262295082,0.0,0.6130683529057512,0.64777352909203
brca_pik3ca_protein_top500,tabpfn_v3,binary,success,3.1263626989966724,35.49087088399756,0.7507447864945382,0.608424336973479,0.8096950906193118,0.5018094401018125,0.6639344262295082,0.0,0.7729599518217404,0.643929712155932
brca_pik3ca_top500,logistic_regression,binary,success,0.42135231800057227,0.043323522000719095,0.660377358490566,0.5263157894736842,0.7055939244563276,2.177839694766419,0.6942148760330579,0.2127659574468085,0.7945121951219513,0.748886230709571
brca_pik3ca_top500,random_forest,binary,success,3.4847530920014833,0.11778409500402631,0.730883813306852,0.5220458553791887,0.7780175229269907,0.5378391596388065,0.743801652892562,0.5079365079365079,0.7248475609756098,0.5760867827259829
brca_pik3ca_top500,xgboost,binary,success,5.098085738005466,0.21863349500563345,0.702085402184707,0.5384615384615384,0.7654740857508644,0.7162296123649988,0.743801652892562,0.6075949367088608,0.7554878048780488,0.5880403536480993
brca_pik3ca_top500,lightgbm,binary,success,1.8697722670003714,0.03087529999902472,0.7259185700099305,0.5646687697160884,0.7755288666707308,0.7020881242084214,0.7355371900826446,0.6363636363636364,0.7634146341463415,0.5721879080441499
brca_pik3ca_top500,catboost,binary,success,13.824477973994362,0.14327975499691092,0.7149950347567031,0.5143824027072758,0.7610019073166059,0.5457724881713079,0.71900826446281,0.37037037037037035,0.7435975609756098,0.5757120147016487
brca_pik3ca_top500,autogluon,binary,success,52.69617068200387,0.18414790200040443,0.7189672293942403,0.525963149078727,0.7574833871852711,0.6522276495056984,0.7603305785123967,0.6133333333333333,0.7792682926829267,0.5250776735165734
brca_pik3ca_top500,tabpfn_v3,binary,success,3.0264203299993824,34.9721263989959,0.7437934458788481,0.5956112852664577,0.8003849470044679,0.5126040777775109,0.7355371900826446,0.5675675675675675,0.7725609756097561,0.5802523290874905
brca_tp53_biological,logistic_regression,binary,success,0.47579207299713744,0.023611181000887882,0.8679245283018868,0.8058394160583942,0.9179399298833133,0.4497357810077463,0.6694214876033058,0.3939393939393939,0.9456159822419534,0.5744498237351527
brca_tp53_biological,random_forest,binary,success,2.384830567003519,0.09124534300281084,0.8669314796425025,0.7925696594427245,0.9235562416060559,0.35739657016338305,0.5702479338842975,0.037037037037037035,0.9033018867924528,0.8148594653688039
brca_tp53_biological,xgboost,binary,success,1.2336115180005436,0.07883998300530948,0.8818272095332671,0.8221225710014948,0.9364458514293689,0.38499538658499155,0.6528925619834711,0.36363636363636365,0.921198668146504,1.0782374300460544
