endpoint,model_name,accuracy,f1,roc_auc,pr_auc,sensitivity,specificity,balanced_accuracy,log_loss
os_3yr,tabfm_default,0.6307711051132104,0.5400747891068098,0.509603903041403,0.5506535396450569,0.5939831002331002,0.41538461538461535,0.5046838578088578,0.6601076686633982
os_3yr,tabpfn_v2,0.6100839706102864,0.4040812326697575,0.47443868631368635,0.5102725877491389,0.46794871794871795,0.48507326007326,0.47651098901098904,0.610457677769011
os_3yr,tabpfn_v2_5,0.6209396538797628,0.4344790812141099,0.4538243006993007,0.5183460970006531,0.4798076923076923,0.49862637362637363,0.48921703296703295,0.6148044694212992
os_3yr,tabpfn_v2_6,0.6265565457262372,0.532508967708443,0.5006630522255522,0.562207126852868,0.5800407925407925,0.42417582417582417,0.5021083083583082,0.6104357495547026
os_3yr,tabpfn_v3,0.6181753196725974,0.4629367855051921,0.5000129037629037,0.5286713958386812,0.5013548951048951,0.4819597069597069,0.49165730103230104,0.6058848679843668
os_5yr,tabfm_default,0.7515617422230434,0.699212717688277,0.5727802665926531,0.7196881983880049,0.7592364532019704,0.297008547008547,0.5281225001052587,0.544878289743351
os_5yr,tabpfn_v2,0.7479417334472644,0.6462563368615301,0.5792649450771048,0.7558148130363451,0.75,0.25,0.5,0.5465910724604259
os_5yr,tabpfn_v2_5,0.7479417334472644,0.6462563368615301,0.5691596641914246,0.7482352776802896,0.75,0.25,0.5,0.5482581780514701
os_5yr,tabpfn_v2_6,0.7352168541142237,0.6648840276638784,0.553145795523291,0.7257064691986813,0.7416666666666667,0.25,0.49583333333333335,0.5560741357794949
os_5yr,tabpfn_v3,0.75265871457934,0.6775063368615301,0.5944113848945972,0.7562363780686833,0.7666666666666666,0.25,0.5083333333333333,0.544664247457267
