iter	Passed	Remaining
0	118	11696
1	229	11266
2	336	10884
3	442	10631
4	550	10460
5	663	10387
6	772	10263
7	881	10139
8	988	9991
9	1095	9855
10	1208	9779
11	1314	9636
12	1418	9495
13	1532	9413
14	1644	9317
15	1750	9190
16	1860	9083
17	1966	8960
18	2073	8841
19	2188	8754
20	2294	8631
21	2402	8516
22	2511	8407
23	2628	8324
24	2745	8235
25	2859	8139
26	2980	8058
27	3099	7969
28	3213	7868
29	3332	7776
30	3450	7680
31	3564	7574
32	3679	7470
33	3788	7355
34	3901	7245
35	4017	7142
36	4129	7030
37	4241	6920
38	4352	6807
39	4459	6689
40	4570	6577
41	4685	6470
42	4796	6357
43	4908	6246
44	5018	6133
45	5124	6015
46	5235	5903
47	5349	5795
48	5459	5682
49	5569	5569
50	5682	5459
51	5797	5351
52	5910	5241
53	6019	5127
54	6126	5012
55	6236	4899
56	6346	4787
57	6457	4675
58	6569	4565
59	6676	4451
60	6784	4337
61	6891	4223
62	6999	4110
63	7111	4000
64	7218	3886
65	7334	3778
66	7447	3668
67	7559	3557
68	7668	3445
69	7778	3333
70	7890	3222
71	7999	3110
72	8107	2998
73	8219	2887
74	8333	2777
75	8459	2671
76	8582	2563
77	8699	2453
78	8813	2342
79	8921	2230
80	9035	2119
81	9144	2007
82	9253	1895
83	9367	1784
84	9483	1673
85	9591	1561
86	9697	1449
87	9808	1337
88	9917	1225
89	10024	1113
90	10129	1001
91	10237	890
92	10347	778
93	10456	667
94	10568	556
95	10679	444
96	10786	333
97	10891	222
98	11001	111
99	11113	0
