iter	MultiClass
0	0.897348027
1	0.6622310358
2	0.5324271483
3	0.428810329
4	0.3593185526
5	0.3017580908
6	0.2611429049
7	0.225430355
8	0.1998336812
9	0.1786934025
10	0.1629863807
11	0.1464777468
12	0.1326612872
13	0.1238356571
14	0.1125814045
15	0.10430804
16	0.09800282384
17	0.09228415275
18	0.08842707922
19	0.08396574493
20	0.07922749359
21	0.0773231239
22	0.07494013246
23	0.0728480536
24	0.07129962953
25	0.06857055818
26	0.0664835262
27	0.06430153714
28	0.06257668017
29	0.06079240286
30	0.05913802791
31	0.05796006492
32	0.05546524479
33	0.05488764966
34	0.05249769621
35	0.05142830363
36	0.05002959465
37	0.04932374132
38	0.04868155933
39	0.04782658326
40	0.04694026449
41	0.04615767626
42	0.04419873416
43	0.04247468079
44	0.04133487696
45	0.04078592362
46	0.03960000968
47	0.03916046614
48	0.03842754067
49	0.03744431582
50	0.03707199557
51	0.03669169182
52	0.03588812098
53	0.03497659618
54	0.03463628741
55	0.03393522102
56	0.0336120315
57	0.03268907632
58	0.03214080413
59	0.03176689761
60	0.03160389711
61	0.03108690626
62	0.03058112276
63	0.02972730666
64	0.02911731175
65	0.02891094909
66	0.02836934542
67	0.02772692552
68	0.02748924359
69	0.02693106939
70	0.02658120696
71	0.02644120685
72	0.02635596458
73	0.02594773056
74	0.02537993185
75	0.02520912795
76	0.02508941855
77	0.02476990749
78	0.02428740202
79	0.02415198506
80	0.02402416106
81	0.02363145119
82	0.02312793505
83	0.02281876274
84	0.02268830583
85	0.0225002998
86	0.02229432928
87	0.02173844768
88	0.02145638117
89	0.02139380634
90	0.0210620189
91	0.02071611182
92	0.02039228481
93	0.02029520418
94	0.02005579561
95	0.01977824354
96	0.01960647386
97	0.01937177737
98	0.01907718493
99	0.01900968662
