model_name,os_3yr,os_5yr,extreme_os
logistic_regression,0.5063222354126564,0.5271540918739155,0.5377175886383794
random_forest,0.5432496572218571,0.5555273951530624,0.583028785652883
catboost,0.5362498009332969,0.5510348041853742,0.5884357365545828
xgboost,0.5439659877184312,0.5526294321885343,0.5709300254737899
lightgbm,0.5340893874712263,0.5557028145109196,0.5719729427812248
autogluon,0.5222488703504313,0.5505022494237735,0.5764444034872145
tabfm_default,0.5369774764538059,0.559668125596884,0.5983471067559113
tabpfn_v2,0.5522002660166733,0.5520402723665294,0.5969195861337101
tabpfn_v2_5,0.5425034417459793,0.5587183789501682,0.6017481226472406
tabpfn_v2_6,0.5413988409548474,0.550966441865434,0.6046011663741873
tabpfn_v3,0.5286681742683166,0.5607392368786133,0.6005946830679835
