model_name,endpoint,per_cancer,pooled,pooling_delta
autogluon,extreme_os,0.5764444034872145,0.7570003212577899,0.18055591777057545
autogluon,os_3yr,0.5222488703504313,0.7018101210127534,0.1795612506623221
autogluon,os_5yr,0.5505022494237735,0.7438238415600951,0.1933215921363216
catboost,extreme_os,0.5884357365545828,0.7818914053267046,0.19345566877212184
catboost,os_3yr,0.5362498009332969,0.712939471382666,0.17668967044936912
catboost,os_5yr,0.5510348041853742,0.748541691990633,0.19750688780525882
lightgbm,extreme_os,0.5719729427812248,0.7618629155058563,0.18988997272463148
lightgbm,os_3yr,0.5340893874712263,0.6980637476418091,0.16397436017058287
lightgbm,os_5yr,0.5557028145109196,0.7191816715071734,0.16347885699625375
logistic_regression,extreme_os,0.5377175886383794,0.5223343995245217,-0.01538318911385772
logistic_regression,os_3yr,0.5063222354126564,0.5359160489113018,0.029593813498645427
logistic_regression,os_5yr,0.5271540918739155,0.5418876330518702,0.014733541177954668
random_forest,extreme_os,0.583028785652883,0.7807536384474087,0.19772485279452578
random_forest,os_3yr,0.5432496572218571,0.7159593466887146,0.1727096894668575
random_forest,os_5yr,0.5555273951530624,0.7471242337658225,0.1915968386127601
tabfm_default,extreme_os,0.5983471067559113,0.7802843792370762,0.18193727248116487
tabfm_default,os_3yr,0.5369774764538059,0.7205063393466774,0.1835288628928715
tabfm_default,os_5yr,0.559668125596884,0.7528415853952757,0.19317345979839173
tabpfn_v2,extreme_os,0.5969195861337101,0.7839217959717396,0.1870022098380295
tabpfn_v2,os_3yr,0.5522002660166733,NA,NA
tabpfn_v2,os_5yr,0.5520402723665294,0.7505668762645772,0.19852660389804777
tabpfn_v2_5,extreme_os,0.6017481226472406,0.784668256905292,0.18292013425805131
tabpfn_v2_5,os_3yr,0.5425034417459793,NA,NA
tabpfn_v2_5,os_5yr,0.5587183789501682,0.7530081418851347,0.19428976293496647
tabpfn_v2_6,extreme_os,0.6046011663741873,0.7780659155423885,0.1734647491682012
tabpfn_v2_6,os_3yr,0.5413988409548474,NA,NA
tabpfn_v2_6,os_5yr,0.550966441865434,0.7523603288318909,0.20139388696645688
tabpfn_v3,extreme_os,0.6005946830679835,0.7861943445707738,0.18559966150279028
tabpfn_v3,os_3yr,0.5286681742683166,0.7140010647420999,0.18533289047378332
tabpfn_v3,os_5yr,0.5607392368786133,0.7542922092489522,0.19355297237033897
xgboost,extreme_os,0.5709300254737899,0.7679974430846654,0.19706741761087554
xgboost,os_3yr,0.5439659877184312,0.7007256972408206,0.15675970952238938
xgboost,os_5yr,0.5526294321885343,0.7336567498641152,0.1810273176755809
