endpoint,fold,modality,count
os_5yr,repeat_04_fold_04,rnaseq_gene,63
os_5yr,repeat_04_fold_04,methylation_gene,37
os_5yr,repeat_01_fold_04,rnaseq_gene,73
os_5yr,repeat_01_fold_04,methylation_gene,27
os_5yr,repeat_01_fold_00,methylation_gene,60
os_5yr,repeat_01_fold_00,rnaseq_gene,38
os_5yr,repeat_01_fold_00,cnv_log2,2
os_5yr,repeat_00_fold_03,rnaseq_gene,67
os_5yr,repeat_00_fold_03,methylation_gene,33
os_5yr,repeat_04_fold_03,rnaseq_gene,75
os_5yr,repeat_04_fold_03,methylation_gene,25
os_5yr,repeat_02_fold_02,rnaseq_gene,63
os_5yr,repeat_02_fold_02,methylation_gene,37
os_5yr,repeat_02_fold_03,rnaseq_gene,65
os_5yr,repeat_02_fold_03,methylation_gene,35
os_5yr,repeat_03_fold_04,rnaseq_gene,53
os_5yr,repeat_03_fold_04,methylation_gene,47
os_5yr,repeat_01_fold_01,rnaseq_gene,77
os_5yr,repeat_01_fold_01,methylation_gene,23
os_5yr,repeat_01_fold_03,rnaseq_gene,62
os_5yr,repeat_01_fold_03,methylation_gene,38
os_5yr,repeat_02_fold_04,rnaseq_gene,72
os_5yr,repeat_02_fold_04,methylation_gene,28
os_5yr,repeat_00_fold_02,rnaseq_gene,64
os_5yr,repeat_00_fold_02,methylation_gene,36
os_5yr,repeat_03_fold_00,rnaseq_gene,66
os_5yr,repeat_03_fold_00,methylation_gene,34
os_5yr,repeat_04_fold_02,rnaseq_gene,59
os_5yr,repeat_04_fold_02,methylation_gene,41
os_5yr,repeat_00_fold_01,rnaseq_gene,70
os_5yr,repeat_00_fold_01,methylation_gene,30
os_5yr,repeat_03_fold_03,rnaseq_gene,55
os_5yr,repeat_03_fold_03,methylation_gene,45
os_5yr,repeat_02_fold_00,rnaseq_gene,50
os_5yr,repeat_02_fold_00,methylation_gene,46
os_5yr,repeat_02_fold_00,cnv_log2,4
os_5yr,repeat_00_fold_00,methylation_gene,59
os_5yr,repeat_00_fold_00,rnaseq_gene,39
os_5yr,repeat_00_fold_00,cnv_log2,2
os_5yr,repeat_03_fold_02,rnaseq_gene,51
os_5yr,repeat_03_fold_02,methylation_gene,49
os_5yr,repeat_04_fold_00,methylation_gene,51
os_5yr,repeat_04_fold_00,rnaseq_gene,47
os_5yr,repeat_04_fold_00,cnv_log2,2
