experiment,dataset,endpoint,permutation,iteration,n_train,n_test,roc_auc,pr_auc
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,22,1151,247,0.6595672751859365,0.5342877859064349
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,23,1151,247,0.4368492224475997,0.3717222517456877
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,23,1151,247,0.6626098715348208,0.5238067274703474
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,24,1151,247,0.4620689655172413,0.3905255796000826
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,24,1151,247,0.659601081812035,0.5128630293269971
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,25,1151,247,0.6202163624070317,0.5058662685013818
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,25,1151,247,0.6474306964164976,0.4988688645989616
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,26,1151,247,0.4935091277890466,0.4370629985114975
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,26,1151,247,0.6517241379310345,0.5110846779995928
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,27,1151,247,0.4145368492224476,0.371304029512619
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,27,1151,247,0.6685598377281947,0.5212386839826066
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,28,1151,247,0.5323867478025693,0.4447103050630836
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,28,1151,247,0.6724814063556458,0.5478202348850643
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,29,1151,247,0.5536173089925626,0.4366253973595893
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,29,1151,247,0.6842461122379987,0.5590506002727136
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,30,1151,247,0.4817444219066937,0.3960909495321456
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,30,1151,247,0.6851250845165652,0.5806607094200655
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,31,1151,247,0.5225152129817444,0.4447935367594914
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,31,1151,247,0.6941514536849221,0.5738219098150823
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,32,1151,247,0.5332657200811358,0.4360138030756088
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,32,1151,247,0.6539553752535497,0.4988128356140572
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,33,1151,247,0.5279918864097364,0.4468752099981459
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,33,1151,247,0.6492224475997296,0.5055366719690839
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,34,1151,247,0.5118999323867478,0.4263283601864472
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,34,1151,247,0.682657200811359,0.5377035348084652
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,35,1151,247,0.5411088573360379,0.4604538785391366
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,35,1151,247,0.6987829614604463,0.6032423587979839
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,36,1151,247,0.4768762677484787,0.4100061270584125
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,36,1151,247,0.6596348884381339,0.5253541284780072
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,37,1151,247,0.4792427315753888,0.4197882550646242
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,37,1151,247,0.6668695064232588,0.5530720748292137
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,38,1151,247,0.4983772819472616,0.4333777409364931
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,38,1151,247,0.6930696416497633,0.5445743117122468
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,39,1151,247,0.4626774847870182,0.3981940638523118
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,39,1151,247,0.6563894523326572,0.5080292835905842
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,40,1151,247,0.466734279918864,0.407978384732261
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,40,1151,247,0.6293779580797836,0.4757419334275304
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,41,1151,247,0.4980392156862745,0.4181031904137676
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,41,1151,247,0.6523326572008113,0.5376055478929105
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,42,1151,247,0.5602434077079108,0.4580376082059877
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,42,1151,247,0.6765720081135902,0.5161175996353928
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,43,1151,247,0.5392832995267072,0.4577584346213548
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,43,1151,247,0.7054090601757945,0.5799833084201533
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,44,1151,247,0.5963488843813387,0.5205547939045068
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,44,1151,247,0.7018255578093306,0.5665258273892129
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,45,1151,247,0.5132521974306965,0.4457265318943647
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,45,1151,247,0.7076402974983096,0.5861800725189856
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,46,1151,247,0.4281947261663286,0.3771862148185731
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,46,1151,247,0.6751183231913456,0.5349289881926562
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,47,1151,247,0.4778904665314401,0.4059110097906108
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,47,1151,247,0.6451994590939824,0.5020899111749713
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,48,1151,247,0.5915483434753213,0.500707237708063
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,48,1151,247,0.6530764029749832,0.5263404210015171
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,49,1151,247,0.500946585530764,0.4392816926788253
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,49,1151,247,0.6687626774847869,0.5420231684936969
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,50,1151,247,0.533603786342123,0.4525020373888644
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,50,1151,247,0.619945909398242,0.4682329707671645
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,51,1151,247,0.4899256254225828,0.411810413348717
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,51,1151,247,0.6668018931710614,0.5329541815537193
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,52,1151,247,0.3992562542258283,0.3776249602909923
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,52,1151,247,0.6610209601081812,0.5098852044178745
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,53,1151,247,0.5753887762001353,0.4585868950376804
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,53,1151,247,0.6512170385395537,0.5203592370580766
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,54,1151,247,0.5572008113590264,0.4476509484221392
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,54,1151,247,0.6577755240027046,0.5242040918535927
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,55,1151,247,0.5764029749830967,0.4771061428010139
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,55,1151,247,0.6652129817444219,0.517594032547876
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,56,1151,247,0.4889790398918188,0.4272342067404576
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,56,1151,247,0.6762001352265044,0.55244474526757
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,57,1151,247,0.4862745098039215,0.4193839055843025
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,57,1151,247,0.6622041920216363,0.5268578783967831
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,58,1151,247,0.487762001352265,0.4190857949001111
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,58,1151,247,0.7012846517917511,0.5893644767039119
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,59,1151,247,0.4908722109533468,0.4194539777333162
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,59,1151,247,0.6261663286004057,0.4811396558774654
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,60,1151,247,0.4714672075726843,0.4080274251063521
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,60,1151,247,0.67079107505071,0.5571157333795325
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,61,1151,247,0.5292765382014876,0.4568659673319493
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,61,1151,247,0.6113590263691684,0.4799554682914787
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,62,1151,247,0.5567951318458418,0.4698182165927338
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,62,1151,247,0.667342799188641,0.5424633342938154
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,63,1151,247,0.5908722109533469,0.5091802238674997
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,63,1151,247,0.6910412440838405,0.5751500213065854
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,64,1151,247,0.4870858688302907,0.4223463182798714
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,64,1151,247,0.668762677484787,0.5353355917183549
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,65,1151,247,0.3934415145368491,0.3715808179837552
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,65,1151,247,0.7024678837052063,0.5867591884238093
