experiment,dataset,endpoint,partition_type,partition_value,control,n_train,n_test,class_0_test,class_1_test,accuracy,balanced_accuracy,f1,sensitivity,specificity,roc_auc,pr_auc,log_loss,brier,feature_space_warning
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,leave_one_cancer_out,BRCA,linear_molecular,1144,501,430,71,0.3453093812375249,0.4598591549295774,0.2115384615384615,0.6197183098591549,0.3,0.4715034392400917,0.1542827684437134,0.9407406102406266,0.3059273395174742,Features were preselected before this stress test; use the repeated-validation utility for fold-internal selection.
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,leave_one_cancer_out,BRCA,structural_zero_pattern,1144,501,430,71,0.1576846307385229,0.4975433999344907,0.2464285714285714,0.971830985915493,0.0232558139534883,0.4978709466098919,0.1412028453755783,0.7760282203095059,0.291299898390719,Features were preselected before this stress test; use the repeated-validation utility for fold-internal selection.
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,leave_one_cancer_out,ESCA,linear_molecular,1559,86,18,68,0.2558139534883721,0.5089869281045751,0.1351351351351351,0.0735294117647058,0.9444444444444444,0.4624183006535948,0.7915947814221974,0.9482662356068908,0.3619304475447393,Features were preselected before this stress test; use the repeated-validation utility for fold-internal selection.
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,leave_one_cancer_out,ESCA,structural_zero_pattern,1559,86,18,68,0.7906976744186046,0.5,0.8831168831168831,1.0,0.0,0.4652777777777778,0.788271505592661,0.5250593685424231,0.170011661213374,Features were preselected before this stress test; use the repeated-validation utility for fold-internal selection.
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,leave_one_cancer_out,HNSCC,linear_molecular,1260,385,175,210,0.4701298701298701,0.508095238095238,0.1570247933884297,0.0904761904761904,0.9257142857142856,0.5020680272108844,0.5477545548747255,1.075997765983571,0.3218259013622703,Features were preselected before this stress test; use the repeated-validation utility for fold-internal selection.
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,leave_one_cancer_out,HNSCC,structural_zero_pattern,1260,385,175,210,0.5532467532467532,0.5214285714285715,0.6802973977695167,0.8714285714285714,0.1714285714285714,0.5248571428571429,0.5593865051382045,0.6919830054596497,0.2493256026442231,Features were preselected before this stress test; use the repeated-validation utility for fold-internal selection.
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,leave_one_cancer_out,LSCC,linear_molecular,1290,355,185,170,0.476056338028169,0.4629570747217806,0.2184873949579832,0.1529411764705882,0.772972972972973,0.475214626391097,0.4859283341944365,0.7448825695748896,0.2715189244670491,Features were preselected before this stress test; use the repeated-validation utility for fold-internal selection.
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,leave_one_cancer_out,LSCC,structural_zero_pattern,1290,355,185,170,0.4676056338028169,0.4529411764705882,0.16,0.1058823529411764,0.8,0.4485214626391097,0.4580141975007379,0.7841129084075912,0.2928602556104353,Features were preselected before this stress test; use the repeated-validation utility for fold-internal selection.
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,leave_one_cancer_out,LUAD,linear_molecular,1327,318,161,157,0.5125786163522013,0.5086640028484393,0.2857142857142857,0.197452229299363,0.8198757763975155,0.4830478300431222,0.5057343300670669,0.805741364796123,0.2818048047841046,Features were preselected before this stress test; use the repeated-validation utility for fold-internal selection.
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,leave_one_cancer_out,LUAD,structural_zero_pattern,1327,318,161,157,0.4874213836477987,0.4934723266210389,0.652452025586354,0.9745222929936306,0.0124223602484472,0.510286030778969,0.5019855221363803,0.7036469971658176,0.254838526404186,Features were preselected before this stress test; use the repeated-validation utility for fold-internal selection.
