scope,endpoint,cancer,repeat,fold,model_name,n_train,n_validation,n_test,threshold,fit_time_s,predict_time_s,accuracy,balanced_accuracy,f1,sensitivity,specificity,roc_auc,pr_auc,log_loss,brier,artifact_source,model,family,endpoint_label
per_cancer,os_3yr,BRCA,0,0,logistic_regression,320,80,101,0.1556855274201443,0.0322704919999523,0.0045353090026765,0.6732673267326733,0.4575757575757575,0.1081081081081081,0.1818181818181818,0.7333333333333333,0.3727272727272727,0.0954179277495704,0.5366709420754285,0.1086673346435282,local,Logistic regression,Linear,3-year OS
per_cancer,os_3yr,BRCA,0,0,random_forest,320,80,101,0.12,0.3537754190001578,0.0761514029982208,0.5148514851485149,0.5681818181818181,0.2222222222222222,0.6363636363636364,0.5,0.6404040404040404,0.3588714716655893,0.3382171062461071,0.0910144114411441,local,Random forest,Tree ensemble,3-year OS
per_cancer,os_3yr,BRCA,0,0,catboost,320,80,101,0.1306450624329004,2.175368330998026,0.0060666619974654,0.8118811881188119,0.6151515151515152,0.2962962962962963,0.3636363636363636,0.8666666666666667,0.5151515151515152,0.2764340617474581,0.3415036517717076,0.0912065690395288,local,CatBoost,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,0,0,xgboost,320,80,101,0.0198729056864976,0.4955637690000003,0.0070404920006694,0.4554455445544554,0.5348484848484849,0.2028985507246377,0.6363636363636364,0.4333333333333333,0.6515151515151515,0.4056156451188222,0.372023612148761,0.0904213577876223,local,XGBoost,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,0,0,lightgbm,320,80,101,0.0042150802864688,0.1281624350012862,0.0078168139989429,0.6633663366336634,0.6116161616161616,0.2608695652173913,0.5454545454545454,0.6777777777777778,0.6060606060606061,0.2901797031566825,0.6181151110038623,0.0969330051486264,local,LightGBM,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,0,1,logistic_regression,320,81,100,0.09774671148728,0.0112990629968408,0.0039749499992467,0.37,0.48421926910299,0.2222222222222222,0.6428571428571429,0.3255813953488372,0.4593023255813953,0.1378563503567426,0.4758708187646391,0.1417199987216527,local,Logistic regression,Linear,3-year OS
per_cancer,os_3yr,BRCA,0,1,random_forest,320,81,100,0.2366666666666666,0.3535526740015484,0.0779493850022845,0.75,0.4958471760797341,0.1379310344827586,0.1428571428571428,0.8488372093023255,0.5527408637873754,0.1713090381541517,0.5497435266008749,0.1266176646666671,local,Random forest,Tree ensemble,3-year OS
per_cancer,os_3yr,BRCA,0,1,catboost,320,81,100,0.0427598465422753,1.9902417460034485,0.0058648679987527,0.24,0.5581395348837209,0.2692307692307692,1.0,0.1162790697674418,0.4800664451827242,0.1382914687481088,0.446754049158824,0.1287045586383627,local,CatBoost,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,0,1,xgboost,320,81,100,0.1349104046821594,0.2018650220015843,0.0055403580008714,0.76,0.4418604651162791,0.0,0.0,0.8837209302325582,0.4808970099667774,0.1352307346663629,0.6208841730835575,0.143034560397132,local,XGBoost,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,0,1,lightgbm,320,81,100,0.1008802547287151,0.1033699200015689,0.0065180850033357,0.82,0.4767441860465116,0.0,0.0,0.9534883720930232,0.5058139534883721,0.1522670995419538,1.0130291922249512,0.1476112475713156,local,LightGBM,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,0,2,logistic_regression,320,81,100,0.0695630331543955,0.0115434590006771,0.0041228709997085,0.31,0.5,0.2068965517241379,0.75,0.25,0.6761363636363636,0.2389262137824818,0.3497457302989591,0.1037330757297025,local,Logistic regression,Linear,3-year OS
per_cancer,os_3yr,BRCA,0,2,random_forest,320,81,100,0.0833333333333333,0.3493320150009822,0.0735402680002152,0.39,0.4734848484848485,0.1866666666666666,0.5833333333333334,0.3636363636363636,0.5643939393939394,0.164190093241932,0.3747688674955569,0.1074757777777779,local,Random forest,Tree ensemble,3-year OS
per_cancer,os_3yr,BRCA,0,2,catboost,320,81,100,0.0716671874581184,2.0676689139982045,0.0057720709992281,0.53,0.553030303030303,0.2295081967213114,0.5833333333333334,0.5227272727272727,0.5729166666666666,0.2121580428216584,0.370008466156827,0.1054370361590033,local,CatBoost,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,0,2,xgboost,320,81,100,0.0080703618004918,0.2127191559993662,0.0066084270001738,0.35,0.5946969696969697,0.2528735632183908,0.9166666666666666,0.2727272727272727,0.5634469696969696,0.2212071917808218,0.4690284104620253,0.1094545228401115,local,XGBoost,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,0,2,lightgbm,320,81,100,0.0006899962003032,0.0980251260007207,0.0069218149983498,0.46,0.5492424242424242,0.2285714285714285,0.6666666666666666,0.4318181818181818,0.5274621212121211,0.1555635406843223,0.7987654333833178,0.116808632493401,local,LightGBM,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,0,3,logistic_regression,320,81,100,0.2166611944335881,0.0108189359998505,0.0041753110017452,0.8,0.5267857142857143,0.1666666666666666,0.125,0.9285714285714286,0.4657738095238096,0.1726081060917167,0.5122063847284803,0.1531499024862535,local,Logistic regression,Linear,3-year OS
per_cancer,os_3yr,BRCA,0,3,random_forest,320,81,100,0.09,0.3459946229995694,0.0768736409991106,0.45,0.5714285714285714,0.3037974683544304,0.75,0.3928571428571428,0.5900297619047619,0.2070830638337411,0.4519310086974383,0.1383902222222222,local,Random forest,Tree ensemble,3-year OS
per_cancer,os_3yr,BRCA,0,3,catboost,320,81,100,0.0780328631594097,1.8386396770001736,0.0059128899993083,0.47,0.5074404761904762,0.2535211267605634,0.5625,0.4523809523809524,0.5505952380952381,0.204952459581845,0.4690031168129011,0.1399222218226135,local,CatBoost,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,0,3,xgboost,320,81,100,0.0118660237640142,0.2004288310017727,0.0066140880007878,0.53,0.6190476190476191,0.3380281690140845,0.75,0.4880952380952381,0.6116071428571429,0.2365308385613097,0.6314042163562152,0.1510499923777897,local,XGBoost,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,0,3,lightgbm,320,81,100,5.304921609037406e-05,0.0934576649997325,0.0067807859995809,0.23,0.5416666666666666,0.2935779816513761,1.0,0.0833333333333333,0.6116071428571428,0.2610625168494332,0.9247039983257817,0.1499044172135661,local,LightGBM,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,0,4,logistic_regression,320,81,100,0.0933558426219873,0.0109799640013079,0.0039557130003231,0.54,0.5460704607046071,0.303030303030303,0.5555555555555556,0.5365853658536586,0.5575880758807588,0.2426719535884044,0.5738542320782086,0.1541591782624807,local,Logistic regression,Linear,3-year OS
per_cancer,os_3yr,BRCA,0,4,random_forest,320,81,100,0.1333333333333333,0.3544928590017662,0.0751548299995192,0.55,0.5521680216802168,0.3076923076923077,0.5555555555555556,0.5487804878048781,0.6124661246612466,0.3122807377079291,0.4695255316387527,0.1445865555555556,local,Random forest,Tree ensemble,3-year OS
per_cancer,os_3yr,BRCA,0,4,catboost,320,81,100,0.0460143441408811,2.5867795510021097,0.005809913000121,0.42,0.6029810298102981,0.3555555555555555,0.8888888888888888,0.3170731707317073,0.5962059620596206,0.2846557094089618,0.5183273054854675,0.1548752002955939,local,CatBoost,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,0,4,xgboost,320,81,100,0.084815114736557,0.2193111720007436,0.0065587120006966,0.71,0.5846883468834688,0.3255813953488372,0.3888888888888889,0.7804878048780488,0.6598915989159893,0.3383557043019422,0.5888946293303908,0.15651029860496,local,XGBoost,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,0,4,lightgbm,320,81,100,0.0240388978522231,0.0903540400031488,0.006673331001366,0.73,0.5101626016260162,0.1818181818181818,0.1666666666666666,0.8536585365853658,0.6327913279132791,0.3350770163379868,1.0256616264189948,0.1654624357794743,local,LightGBM,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,1,0,logistic_regression,320,80,101,0.1910467809834514,0.0117646220023743,0.0048596389970043,0.6633663366336634,0.4749589490968801,0.15,0.2142857142857142,0.735632183908046,0.5369458128078818,0.2240263258964172,0.4293960648973446,0.1211175949684575,local,Logistic regression,Linear,3-year OS
per_cancer,os_3yr,BRCA,1,0,random_forest,320,80,101,0.1633333333333333,0.3496424869990733,0.0742633379995822,0.6039603960396039,0.4404761904761904,0.1304347826086956,0.2142857142857142,0.6666666666666666,0.4380131362889983,0.1263499197343787,0.5810965043058707,0.1321808561056108,local,Random forest,Tree ensemble,3-year OS
per_cancer,os_3yr,BRCA,1,0,catboost,320,80,101,0.1097938240686207,2.2492260740000347,0.0058314030029578,0.7128712871287128,0.5336617405582923,0.2162162162162162,0.2857142857142857,0.7816091954022989,0.5184729064039408,0.1605049568123954,0.4377780606470473,0.1250262442214885,local,CatBoost,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,1,0,xgboost,320,80,101,0.052567820996046,0.2141132469987496,0.0065015129985113,0.6534653465346535,0.4692118226600985,0.1463414634146341,0.2142857142857142,0.7241379310344828,0.4909688013136289,0.1523531966193218,0.5856908887090203,0.1376607097570366,local,XGBoost,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,1,0,lightgbm,320,80,101,3.387228499138859e-05,0.0908952530007809,0.0058703279973997,0.1683168316831683,0.4872742200328407,0.2363636363636363,0.9285714285714286,0.0459770114942528,0.4425287356321839,0.1416516217323834,0.9454813537336068,0.137644924326614,local,LightGBM,Boosted tree,3-year OS
per_cancer,os_3yr,BRCA,1,1,logistic_regression,321,80,100,0.087143213458443,0.0116759019983874,0.0049057569995056,0.4,0.5372549019607843,0.2682926829268293,0.7333333333333333,0.3411764705882353,0.5905882352941177,0.252775317471072,0.5014696798091618,0.1308689243330389,local,Logistic regression,Linear,3-year OS
per_cancer,os_3yr,BRCA,1,1,random_forest,321,80,100,0.1,0.3541168609990563,0.0743455949996132,0.39,0.503921568627451,0.2469135802469135,0.6666666666666666,0.3411764705882353,0.5301960784313725,0.3044289414982819,0.566398344548144,0.1278862202222224,local,Random forest,Tree ensemble,3-year OS
