cancer,endpoint,class,count
BRCA,os_3yr,0,430
BRCA,os_3yr,1,71
ESCA,os_3yr,0,18
ESCA,os_3yr,1,68
HNSCC,os_3yr,0,175
HNSCC,os_3yr,1,210
LSCC,os_3yr,0,185
LSCC,os_3yr,1,170
LUAD,os_3yr,0,161
LUAD,os_3yr,1,157
BRCA,os_5yr,0,249
BRCA,os_5yr,1,101
HNSCC,os_5yr,0,54
HNSCC,os_5yr,1,232
LSCC,os_5yr,0,82
LSCC,os_5yr,1,199
LUAD,os_5yr,0,57
LUAD,os_5yr,1,194
BRCA,extreme_os,0,197
BRCA,extreme_os,1,71
HNSCC,extreme_os,0,34
HNSCC,extreme_os,1,210
LSCC,extreme_os,0,52
LSCC,extreme_os,1,170
LUAD,extreme_os,0,46
LUAD,extreme_os,1,157
