endpoint,model_name,cancer,roc_auc
extreme_os,autogluon,BRCA,0.5669550296704082
extreme_os,autogluon,HNSCC,0.5851540616246498
extreme_os,autogluon,LSCC,0.5496606334841628
extreme_os,autogluon,LUAD,0.5456937136527278
extreme_os,catboost,BRCA,0.5926217201687282
extreme_os,catboost,HNSCC,0.5876750700280112
extreme_os,catboost,LSCC,0.6114253393665159
extreme_os,catboost,LUAD,0.5198006092495154
extreme_os,random_forest,BRCA,0.6011296203617645
extreme_os,random_forest,HNSCC,0.6329131652661064
extreme_os,random_forest,LSCC,0.5893099547511312
extreme_os,random_forest,LUAD,0.4990999723068403
extreme_os,tabfm_default,BRCA,0.5338528633731322
extreme_os,tabfm_default,HNSCC,0.5253501400560224
extreme_os,tabfm_default,LSCC,0.5287330316742082
extreme_os,tabfm_default,LUAD,0.42301301578510103
extreme_os,tabpfn_v3,BRCA,0.5316365196253664
extreme_os,tabpfn_v3,HNSCC,0.5879551820728292
extreme_os,tabpfn_v3,LSCC,0.571945701357466
extreme_os,tabpfn_v3,LUAD,0.46912212683467186
os_3yr,autogluon,BRCA,0.5368162463150998
os_3yr,autogluon,ESCA,0.6299019607843137
os_3yr,autogluon,HNSCC,0.5728843537414966
os_3yr,autogluon,LSCC,0.6011605723370429
os_3yr,autogluon,LUAD,0.5299086125726946
os_3yr,catboost,BRCA,0.4913855224369472
os_3yr,catboost,ESCA,0.5580065359477124
os_3yr,catboost,HNSCC,0.5964761904761905
os_3yr,catboost,LSCC,0.5876470588235294
os_3yr,catboost,LUAD,0.5041539739684298
os_3yr,random_forest,BRCA,0.5648706190632165
os_3yr,random_forest,ESCA,0.46772875816993464
os_3yr,random_forest,HNSCC,0.5806666666666667
os_3yr,random_forest,LSCC,0.5800158982511923
os_3yr,random_forest,LUAD,0.5187720061716186
os_3yr,tabfm_default,BRCA,0.4939731411726171
os_3yr,tabfm_default,ESCA,0.38235294117647056
os_3yr,tabfm_default,HNSCC,0.572625850340136
os_3yr,tabfm_default,LSCC,0.5729252782193959
os_3yr,tabfm_default,LUAD,0.49845709538315464
os_3yr,tabpfn_v3,BRCA,0.4585653455617425
os_3yr,tabpfn_v3,ESCA,0.3709150326797386
os_3yr,tabpfn_v3,HNSCC,0.5435510204081633
os_3yr,tabpfn_v3,LSCC,0.5595071542130367
os_3yr,tabpfn_v3,LUAD,0.4767377457767931
os_5yr,autogluon,BRCA,0.5443954033957612
os_5yr,autogluon,HNSCC,0.5995370370370371
os_5yr,autogluon,LSCC,0.5685132981983085
os_5yr,autogluon,LUAD,0.5250497377464279
os_5yr,catboost,BRCA,0.5659469561413972
os_5yr,catboost,HNSCC,0.5494891443167305
os_5yr,catboost,LSCC,0.5753156024022552
os_5yr,catboost,LUAD,0.5330982094411285
os_5yr,random_forest,BRCA,0.5789494612111814
os_5yr,random_forest,HNSCC,0.5443406768837803
os_5yr,random_forest,LSCC,0.5740899620051476
os_5yr,random_forest,LUAD,0.5051546391752577
os_5yr,tabfm_default,BRCA,0.42916219332776656
os_5yr,tabfm_default,HNSCC,0.4761334610472542
os_5yr,tabfm_default,LSCC,0.4677043755362177
os_5yr,tabfm_default,LUAD,0.451709169831796
os_5yr,tabpfn_v3,BRCA,0.4365581136426895
os_5yr,tabpfn_v3,HNSCC,0.48140166028097064
os_5yr,tabpfn_v3,LSCC,0.48210565020223073
os_5yr,tabpfn_v3,LUAD,0.4774823657080846
