model_name,model,family,mean,std
autogluon,AutoGluon,AutoML,0.05218085734250369,0.05945033156265121
catboost,CatBoost,Boosted tree,0.06457450490687006,0.06389927035966558
lightgbm,LightGBM,Boosted tree,0.05834298926684737,0.06243673657341528
logistic_regression,Logistic regression,Linear,0.035003196472881686,0.0575614398331774
random_forest,Random forest,Tree ensemble,0.0627806347191416,0.06235779108787814
tabfm_default,TabFM,Foundation model,0.06168166454175629,0.06134199408365608
tabpfn_v2,TabPFN v2,Foundation model,0.06549743948116785,0.06626101651728392
tabpfn_v2_5,TabPFN v2.5,Foundation model,0.06666062398933134,0.06534425648912776
tabpfn_v2_6,TabPFN v2.6,Foundation model,0.0677414123192982,0.07153448769489333
tabpfn_v3,TabPFN v3,Foundation model,0.06501457376234328,0.06718843584639839
xgboost,XGBoost,Boosted tree,0.059360334573320905,0.06526522022708718
