endpoint,model_name,roc_auc_mean,shortcut_reference_auc,auc_above_shortcut
extreme_os,autogluon,0.7570003212577899,0.8241758241758241,-0.0671755029180342
extreme_os,catboost,0.7818914053267046,0.8241758241758241,-0.04228441884911949
extreme_os,lightgbm,0.7618629155058563,0.8241758241758241,-0.06231290866996786
extreme_os,logistic_regression,0.5223343995245217,0.8241758241758241,-0.3018414246513025
extreme_os,random_forest,0.7807536384474087,0.8241758241758241,-0.043422185728415386
extreme_os,tabfm_default,0.7802843792370762,0.8241758241758241,-0.04389144493874797
extreme_os,tabpfn_v2,0.7839217959717396,0.8241758241758241,-0.040254028204084524
extreme_os,tabpfn_v2_5,0.784668256905292,0.8241758241758241,-0.03950756727053217
extreme_os,tabpfn_v2_6,0.7780659155423885,0.8241758241758241,-0.04610990863343567
extreme_os,tabpfn_v3,0.7861943445707738,0.8241758241758241,-0.03798147960505038
extreme_os,xgboost,0.7679974430846654,0.8241758241758241,-0.05617838109115869
os_3yr,autogluon,0.7018101210127534,0.7449628127112913,-0.04315269169853786
os_3yr,catboost,0.712939471382666,0.7449628127112913,-0.03202334132862528
os_3yr,lightgbm,0.6980637476418091,0.7449628127112913,-0.04689906506948216
os_3yr,logistic_regression,0.5359160489113018,0.7449628127112913,-0.20904676379998943
os_3yr,random_forest,0.7159593466887146,0.7449628127112913,-0.02900346602257664
os_3yr,tabfm_default,0.7205063393466774,0.7449628127112913,-0.024456473364613873
os_3yr,tabpfn_v2,NA,0.7449628127112913,NA
os_3yr,tabpfn_v2_5,NA,0.7449628127112913,NA
os_3yr,tabpfn_v2_6,NA,0.7449628127112913,NA
os_3yr,tabpfn_v3,0.7140010647420999,0.7449628127112913,-0.030961747969191378
os_3yr,xgboost,0.7007256972408206,0.7449628127112913,-0.04423711547047071
os_5yr,autogluon,0.7438238415600951,0.7038888128166506,0.039935028743444456
os_5yr,catboost,0.748541691990633,0.7038888128166506,0.04465287917398242
os_5yr,lightgbm,0.7191816715071734,0.7038888128166506,0.01529285869052277
os_5yr,logistic_regression,0.5418876330518702,0.7038888128166506,-0.16200117976478046
os_5yr,random_forest,0.7471242337658225,0.7038888128166506,0.04323542094917188
os_5yr,tabfm_default,0.7528415853952757,0.7038888128166506,0.04895277257862507
os_5yr,tabpfn_v2,0.7505668762645772,0.7038888128166506,0.04667806344792658
os_5yr,tabpfn_v2_5,0.7530081418851347,0.7038888128166506,0.04911932906848404
os_5yr,tabpfn_v2_6,0.7523603288318909,0.7038888128166506,0.048471516015240246
os_5yr,tabpfn_v3,0.7542922092489522,0.7038888128166506,0.05040339643230163
os_5yr,xgboost,0.7336567498641152,0.7038888128166506,0.02976793704746461
