endpoint,model_name,recall,precision,pr_auc
extreme_os,autogluon,1.0,0.6488794023479189,0.8236102534609905
extreme_os,autogluon,1.0,0.6495726495726496,0.8236102534609905
extreme_os,autogluon,1.0,0.6502673796791444,0.8236102534609905
extreme_os,autogluon,1.0,0.6509635974304069,0.8236102534609905
extreme_os,autogluon,1.0,0.6516613076098606,0.8236102534609905
extreme_os,autogluon,0.9983552631578947,0.6512875536480687,0.8236102534609905
extreme_os,autogluon,0.9983552631578947,0.6519871106337272,0.8236102534609905
extreme_os,autogluon,0.9983552631578947,0.6526881720430108,0.8236102534609905
extreme_os,autogluon,0.9983552631578947,0.6533907427341227,0.8236102534609905
extreme_os,autogluon,0.9983552631578947,0.6540948275862069,0.8236102534609905
extreme_os,autogluon,0.9983552631578947,0.6548004314994607,0.8236102534609905
extreme_os,autogluon,0.9983552631578947,0.6555075593952484,0.8236102534609905
extreme_os,autogluon,0.9983552631578947,0.6562162162162162,0.8236102534609905
extreme_os,autogluon,0.9983552631578947,0.6569264069264069,0.8236102534609905
extreme_os,autogluon,0.9983552631578947,0.6576381365113759,0.8236102534609905
extreme_os,autogluon,0.9967105263157895,0.6572668112798264,0.8236102534609905
extreme_os,autogluon,0.9967105263157895,0.6579804560260586,0.8236102534609905
extreme_os,autogluon,0.9967105263157895,0.658695652173913,0.8236102534609905
extreme_os,autogluon,0.9967105263157895,0.6594124047878128,0.8236102534609905
extreme_os,autogluon,0.9967105263157895,0.6601307189542484,0.8236102534609905
extreme_os,autogluon,0.9967105263157895,0.6608505997818975,0.8236102534609905
extreme_os,autogluon,0.9950657894736842,0.6604803493449781,0.8236102534609905
extreme_os,autogluon,0.9950657894736842,0.6612021857923497,0.8236102534609905
extreme_os,autogluon,0.9950657894736842,0.661925601750547,0.8236102534609905
extreme_os,autogluon,0.9950657894736842,0.6626506024096386,0.8236102534609905
extreme_os,autogluon,0.9950657894736842,0.6633771929824561,0.8236102534609905
extreme_os,autogluon,0.993421052631579,0.6630076838638859,0.8236102534609905
extreme_os,autogluon,0.993421052631579,0.6637362637362637,0.8236102534609905
extreme_os,autogluon,0.993421052631579,0.6644664466446645,0.8236102534609905
extreme_os,autogluon,0.993421052631579,0.6651982378854625,0.8236102534609905
extreme_os,autogluon,0.993421052631579,0.6659316427783903,0.8236102534609905
extreme_os,autogluon,0.9917763157894737,0.6655629139072847,0.8236102534609905
extreme_os,autogluon,0.9917763157894737,0.6662983425414365,0.8236102534609905
extreme_os,autogluon,0.9917763157894737,0.6670353982300885,0.8236102534609905
extreme_os,autogluon,0.9917763157894737,0.6677740863787376,0.8236102534609905
extreme_os,autogluon,0.9917763157894737,0.6685144124168514,0.8236102534609905
extreme_os,autogluon,0.9917763157894737,0.6692563817980022,0.8236102534609905
extreme_os,autogluon,0.9917763157894737,0.67,0.8236102534609905
extreme_os,autogluon,0.9917763157894737,0.6707452725250278,0.8236102534609905
extreme_os,autogluon,0.9901315789473685,0.6703786191536748,0.8236102534609905
extreme_os,autogluon,0.9901315789473685,0.6711259754738016,0.8236102534609905
extreme_os,autogluon,0.9901315789473685,0.671875,0.8236102534609905
extreme_os,autogluon,0.9901315789473685,0.6726256983240223,0.8236102534609905
extreme_os,autogluon,0.9884868421052632,0.6722595078299777,0.8236102534609905
extreme_os,autogluon,0.9884868421052632,0.6730123180291153,0.8236102534609905
extreme_os,autogluon,0.9868421052631579,0.672645739910314,0.8236102534609905
extreme_os,autogluon,0.9868421052631579,0.6734006734006734,0.8236102534609905
extreme_os,autogluon,0.9868421052631579,0.6741573033707865,0.8236102534609905
extreme_os,autogluon,0.9868421052631579,0.6749156355455568,0.8236102534609905
extreme_os,autogluon,0.9851973684210527,0.6745495495495496,0.8236102534609905
extreme_os,autogluon,0.9851973684210527,0.6753100338218715,0.8236102534609905
extreme_os,autogluon,0.9851973684210527,0.6760722347629797,0.8236102534609905
extreme_os,autogluon,0.9851973684210527,0.6768361581920904,0.8236102534609905
extreme_os,autogluon,0.9835526315789473,0.6764705882352942,0.8236102534609905
extreme_os,autogluon,0.9835526315789473,0.6772366930917327,0.8236102534609905
extreme_os,autogluon,0.9819078947368421,0.6768707482993197,0.8236102534609905
extreme_os,autogluon,0.9819078947368421,0.677639046538025,0.8236102534609905
extreme_os,autogluon,0.9819078947368421,0.678409090909091,0.8236102534609905
extreme_os,autogluon,0.9819078947368421,0.6791808873720137,0.8236102534609905
extreme_os,autogluon,0.9819078947368421,0.6799544419134397,0.8236102534609905
extreme_os,autogluon,0.9819078947368421,0.6807297605473204,0.8236102534609905
extreme_os,autogluon,0.9819078947368421,0.6815068493150684,0.8236102534609905
extreme_os,autogluon,0.9802631578947368,0.6811428571428572,0.8236102534609905
extreme_os,autogluon,0.9802631578947368,0.6819221967963387,0.8236102534609905
extreme_os,autogluon,0.9802631578947368,0.6827033218785796,0.8236102534609905
extreme_os,autogluon,0.9802631578947368,0.6834862385321101,0.8236102534609905
extreme_os,autogluon,0.9802631578947368,0.6842709529276694,0.8236102534609905
extreme_os,autogluon,0.9802631578947368,0.6850574712643678,0.8236102534609905
extreme_os,autogluon,0.9802631578947368,0.6858457997698504,0.8236102534609905
extreme_os,autogluon,0.9802631578947368,0.6866359447004609,0.8236102534609905
extreme_os,autogluon,0.9786184210526315,0.6862745098039216,0.8236102534609905
extreme_os,autogluon,0.9769736842105263,0.6859122401847575,0.8236102534609905
extreme_os,autogluon,0.9769736842105263,0.6867052023121387,0.8236102534609905
extreme_os,autogluon,0.975328947368421,0.6863425925925926,0.8236102534609905
extreme_os,autogluon,0.975328947368421,0.6871378910776361,0.8236102534609905
extreme_os,autogluon,0.975328947368421,0.6879350348027842,0.8236102534609905
extreme_os,autogluon,0.975328947368421,0.6887340301974448,0.8236102534609905
extreme_os,autogluon,0.975328947368421,0.6895348837209302,0.8236102534609905
extreme_os,autogluon,0.975328947368421,0.6903376018626309,0.8236102534609905
extreme_os,autogluon,0.975328947368421,0.6911421911421911,0.8236102534609905
extreme_os,autogluon,0.9736842105263158,0.690781796966161,0.8236102534609905
extreme_os,autogluon,0.9736842105263158,0.6915887850467289,0.8236102534609905
extreme_os,autogluon,0.9736842105263158,0.6923976608187135,0.8236102534609905
extreme_os,autogluon,0.9736842105263158,0.6932084309133489,0.8236102534609905
extreme_os,autogluon,0.9736842105263158,0.694021101992966,0.8236102534609905
extreme_os,autogluon,0.9736842105263158,0.6948356807511737,0.8236102534609905
extreme_os,autogluon,0.9720394736842105,0.6944770857814336,0.8236102534609905
extreme_os,autogluon,0.9720394736842105,0.6952941176470588,0.8236102534609905
extreme_os,autogluon,0.9703947368421053,0.6949352179034158,0.8236102534609905
extreme_os,autogluon,0.9703947368421053,0.6957547169811321,0.8236102534609905
extreme_os,autogluon,0.9703947368421053,0.6965761511216056,0.8236102534609905
extreme_os,autogluon,0.9703947368421053,0.6973995271867612,0.8236102534609905
extreme_os,autogluon,0.96875,0.6970414201183432,0.8236102534609905
extreme_os,autogluon,0.96875,0.6978672985781991,0.8236102534609905
extreme_os,autogluon,0.9671052631578947,0.697508896797153,0.8236102534609905
extreme_os,autogluon,0.9671052631578947,0.6983372921615202,0.8236102534609905
extreme_os,autogluon,0.9654605263157895,0.6979785969084423,0.8236102534609905
extreme_os,autogluon,0.9654605263157895,0.6988095238095238,0.8236102534609905
extreme_os,autogluon,0.9638157894736842,0.698450536352801,0.8236102534609905
extreme_os,autogluon,0.9638157894736842,0.6992840095465394,0.8236102534609905
extreme_os,autogluon,0.9638157894736842,0.7001194743130227,0.8236102534609905
extreme_os,autogluon,0.9638157894736842,0.7009569377990431,0.8236102534609905
extreme_os,autogluon,0.9638157894736842,0.7017964071856287,0.8236102534609905
extreme_os,autogluon,0.9638157894736842,0.7026378896882494,0.8236102534609905
extreme_os,autogluon,0.9638157894736842,0.7034813925570228,0.8236102534609905
extreme_os,autogluon,0.9638157894736842,0.7043269230769231,0.8236102534609905
extreme_os,autogluon,0.962171052631579,0.703971119133574,0.8236102534609905
extreme_os,autogluon,0.962171052631579,0.7048192771084337,0.8236102534609905
extreme_os,autogluon,0.9605263157894737,0.7044632086851629,0.8236102534609905
extreme_os,autogluon,0.9588815789473685,0.7041062801932367,0.8236102534609905
extreme_os,autogluon,0.9588815789473685,0.7049576783555018,0.8236102534609905
extreme_os,autogluon,0.9588815789473685,0.7058111380145279,0.8236102534609905
extreme_os,autogluon,0.9572368421052632,0.7054545454545454,0.8236102534609905
extreme_os,autogluon,0.9572368421052632,0.7063106796116505,0.8236102534609905
extreme_os,autogluon,0.9555921052631579,0.7059538274605103,0.8236102534609905
extreme_os,autogluon,0.9555921052631579,0.7068126520681265,0.8236102534609905
extreme_os,autogluon,0.9555921052631579,0.707673568818514,0.8236102534609905
extreme_os,autogluon,0.9555921052631579,0.7085365853658536,0.8236102534609905
extreme_os,autogluon,0.9539473684210527,0.7081807081807082,0.8236102534609905
extreme_os,autogluon,0.9539473684210527,0.7090464547677262,0.8236102534609905
extreme_os,autogluon,0.9523026315789473,0.7086903304773562,0.8236102534609905
extreme_os,autogluon,0.9506578947368421,0.7083333333333334,0.8236102534609905
extreme_os,autogluon,0.9506578947368421,0.7092024539877301,0.8236102534609905
extreme_os,autogluon,0.9506578947368421,0.7100737100737101,0.8236102534609905
extreme_os,autogluon,0.9506578947368421,0.7109471094710947,0.8236102534609905
extreme_os,autogluon,0.9490131578947368,0.7105911330049262,0.8236102534609905
extreme_os,autogluon,0.9490131578947368,0.7114673242909988,0.8236102534609905
extreme_os,autogluon,0.9490131578947368,0.7123456790123457,0.8236102534609905
extreme_os,autogluon,0.9490131578947368,0.7132262051915945,0.8236102534609905
extreme_os,autogluon,0.9490131578947368,0.7141089108910891,0.8236102534609905
extreme_os,autogluon,0.9473684210526315,0.7137546468401487,0.8236102534609905
extreme_os,autogluon,0.9457236842105263,0.7133995037220844,0.8236102534609905
extreme_os,autogluon,0.9457236842105263,0.7142857142857143,0.8236102534609905
extreme_os,autogluon,0.9457236842105263,0.7151741293532339,0.8236102534609905
extreme_os,autogluon,0.944078947368421,0.7148194271481942,0.8236102534609905
extreme_os,autogluon,0.944078947368421,0.71571072319202,0.8236102534609905
extreme_os,autogluon,0.9424342105263158,0.7153558052434457,0.8236102534609905
extreme_os,autogluon,0.9424342105263158,0.71625,0.8236102534609905
extreme_os,autogluon,0.9407894736842105,0.7158948685857321,0.8236102534609905
extreme_os,autogluon,0.9407894736842105,0.7167919799498746,0.8236102534609905
extreme_os,autogluon,0.9407894736842105,0.7176913425345044,0.8236102534609905
extreme_os,autogluon,0.9407894736842105,0.7185929648241206,0.8236102534609905
extreme_os,autogluon,0.9407894736842105,0.7194968553459119,0.8236102534609905
extreme_os,autogluon,0.9407894736842105,0.7204030226700252,0.8236102534609905
extreme_os,autogluon,0.9391447368421053,0.7200504413619168,0.8236102534609905
extreme_os,autogluon,0.9391447368421053,0.7209595959595959,0.8236102534609905
extreme_os,autogluon,0.9391447368421053,0.7218710493046776,0.8236102534609905
extreme_os,autogluon,0.9391447368421053,0.7227848101265822,0.8236102534609905
extreme_os,autogluon,0.9391447368421053,0.7237008871989861,0.8236102534609905
extreme_os,autogluon,0.9375,0.7233502538071066,0.8236102534609905
extreme_os,autogluon,0.9375,0.7242693773824651,0.8236102534609905
extreme_os,autogluon,0.9375,0.7251908396946565,0.8236102534609905
extreme_os,autogluon,0.9375,0.7261146496815286,0.8236102534609905
extreme_os,autogluon,0.9375,0.7270408163265306,0.8236102534609905
extreme_os,autogluon,0.9375,0.7279693486590039,0.8236102534609905
extreme_os,autogluon,0.9375,0.7289002557544757,0.8236102534609905
extreme_os,autogluon,0.9375,0.7298335467349552,0.8236102534609905
extreme_os,autogluon,0.9375,0.7307692307692307,0.8236102534609905
extreme_os,autogluon,0.9375,0.7317073170731707,0.8236102534609905
extreme_os,autogluon,0.9375,0.7326478149100257,0.8236102534609905
extreme_os,autogluon,0.9358552631578947,0.7323037323037324,0.8236102534609905
extreme_os,autogluon,0.9358552631578947,0.7332474226804123,0.8236102534609905
extreme_os,autogluon,0.9358552631578947,0.7341935483870968,0.8236102534609905
extreme_os,autogluon,0.9358552631578947,0.7351421188630491,0.8236102534609905
extreme_os,autogluon,0.9358552631578947,0.7360931435963778,0.8236102534609905
extreme_os,autogluon,0.9358552631578947,0.7370466321243523,0.8236102534609905
extreme_os,autogluon,0.9342105263157895,0.7367055771725033,0.8236102534609905
extreme_os,autogluon,0.9342105263157895,0.7376623376623377,0.8236102534609905
extreme_os,autogluon,0.9342105263157895,0.7386215864759428,0.8236102534609905
extreme_os,autogluon,0.9325657894736842,0.73828125,0.8236102534609905
extreme_os,autogluon,0.9325657894736842,0.7392438070404173,0.8236102534609905
extreme_os,autogluon,0.930921052631579,0.7389033942558747,0.8236102534609905
extreme_os,autogluon,0.930921052631579,0.7398692810457517,0.8236102534609905
extreme_os,autogluon,0.930921052631579,0.7408376963350786,0.8236102534609905
extreme_os,autogluon,0.930921052631579,0.7418086500655308,0.8236102534609905
extreme_os,autogluon,0.930921052631579,0.7427821522309711,0.8236102534609905
extreme_os,autogluon,0.9292763157894737,0.7424441524310118,0.8236102534609905
extreme_os,autogluon,0.9292763157894737,0.743421052631579,0.8236102534609905
extreme_os,autogluon,0.9292763157894737,0.7444005270092227,0.8236102534609905
extreme_os,autogluon,0.9292763157894737,0.7453825857519789,0.8236102534609905
extreme_os,autogluon,0.9292763157894737,0.7463672391017173,0.8236102534609905
extreme_os,autogluon,0.9276315789473685,0.746031746031746,0.8236102534609905
extreme_os,autogluon,0.9276315789473685,0.7470198675496689,0.8236102534609905
extreme_os,autogluon,0.9276315789473685,0.7480106100795756,0.8236102534609905
extreme_os,autogluon,0.9259868421052632,0.747675962815405,0.8236102534609905
extreme_os,autogluon,0.9259868421052632,0.7486702127659575,0.8236102534609905
extreme_os,autogluon,0.9259868421052632,0.7496671105193076,0.8236102534609905
extreme_os,autogluon,0.9259868421052632,0.7506666666666667,0.8236102534609905
extreme_os,autogluon,0.9259868421052632,0.7516688918558078,0.8236102534609905
extreme_os,autogluon,0.9259868421052632,0.7526737967914439,0.8236102534609905
extreme_os,autogluon,0.9243421052631579,0.7523427041499331,0.8236102534609905
extreme_os,autogluon,0.9243421052631579,0.7533512064343163,0.8236102534609905
extreme_os,autogluon,0.9243421052631579,0.7543624161073825,0.8236102534609905
extreme_os,autogluon,0.9243421052631579,0.7553763440860215,0.8236102534609905
extreme_os,autogluon,0.9226973684210527,0.7550471063257066,0.8236102534609905
extreme_os,autogluon,0.9226973684210527,0.7560646900269542,0.8236102534609905
extreme_os,autogluon,0.9226973684210527,0.757085020242915,0.8236102534609905
extreme_os,autogluon,0.9226973684210527,0.7581081081081081,0.8236102534609905
extreme_os,autogluon,0.9226973684210527,0.7591339648173207,0.8236102534609905
extreme_os,autogluon,0.9226973684210527,0.7601626016260162,0.8236102534609905
extreme_os,autogluon,0.9210526315789473,0.7598371777476255,0.8236102534609905
extreme_os,autogluon,0.9210526315789473,0.7608695652173914,0.8236102534609905
extreme_os,autogluon,0.9210526315789473,0.7619047619047619,0.8236102534609905
extreme_os,autogluon,0.9210526315789473,0.7629427792915532,0.8236102534609905
extreme_os,autogluon,0.9210526315789473,0.7639836289222374,0.8236102534609905
extreme_os,autogluon,0.9210526315789473,0.7650273224043715,0.8236102534609905
extreme_os,autogluon,0.9210526315789473,0.7660738714090287,0.8236102534609905
extreme_os,autogluon,0.9210526315789473,0.7671232876712328,0.8236102534609905
extreme_os,autogluon,0.9194078947368421,0.766803840877915,0.8236102534609905
extreme_os,autogluon,0.9194078947368421,0.7678571428571429,0.8236102534609905
extreme_os,autogluon,0.9194078947368421,0.7689133425034388,0.8236102534609905
extreme_os,autogluon,0.9194078947368421,0.7699724517906336,0.8236102534609905
extreme_os,autogluon,0.9194078947368421,0.7710344827586207,0.8236102534609905
extreme_os,autogluon,0.9177631578947368,0.7707182320441989,0.8236102534609905
extreme_os,autogluon,0.9161184210526315,0.7704011065006916,0.8236102534609905
extreme_os,autogluon,0.9144736842105263,0.7700831024930748,0.8236102534609905
extreme_os,autogluon,0.912828947368421,0.7697642163661581,0.8236102534609905
extreme_os,autogluon,0.912828947368421,0.7708333333333334,0.8236102534609905
extreme_os,autogluon,0.912828947368421,0.7719054242002782,0.8236102534609905
extreme_os,autogluon,0.912828947368421,0.7729805013927576,0.8236102534609905
extreme_os,autogluon,0.912828947368421,0.7740585774058577,0.8236102534609905
extreme_os,autogluon,0.9111842105263158,0.7737430167597765,0.8236102534609905
extreme_os,autogluon,0.9095394736842105,0.7734265734265734,0.8236102534609905
extreme_os,autogluon,0.9078947368421053,0.773109243697479,0.8236102534609905
extreme_os,autogluon,0.90625,0.7727910238429172,0.8236102534609905
extreme_os,autogluon,0.9046052631578947,0.7724719101123596,0.8236102534609905
extreme_os,autogluon,0.9046052631578947,0.7735583684950773,0.8236102534609905
extreme_os,autogluon,0.9046052631578947,0.7746478873239436,0.8236102534609905
extreme_os,autogluon,0.9046052631578947,0.7757404795486601,0.8236102534609905
extreme_os,autogluon,0.9046052631578947,0.7768361581920904,0.8236102534609905
extreme_os,autogluon,0.9046052631578947,0.7779349363507779,0.8236102534609905
extreme_os,autogluon,0.9029605263157895,0.7776203966005666,0.8236102534609905
extreme_os,autogluon,0.9029605263157895,0.7787234042553192,0.8236102534609905
extreme_os,autogluon,0.9029605263157895,0.7798295454545454,0.8236102534609905
extreme_os,autogluon,0.9029605263157895,0.7809388335704125,0.8236102534609905
extreme_os,autogluon,0.9013157894736842,0.7806267806267806,0.8236102534609905
extreme_os,autogluon,0.9013157894736842,0.7817403708987162,0.8236102534609905
extreme_os,autogluon,0.899671052631579,0.7814285714285715,0.8236102534609905
extreme_os,autogluon,0.8980263157894737,0.7811158798283262,0.8236102534609905
extreme_os,autogluon,0.8980263157894737,0.7822349570200573,0.8236102534609905
extreme_os,autogluon,0.8963815789473685,0.7819225251076041,0.8236102534609905
extreme_os,autogluon,0.8963815789473685,0.7830459770114943,0.8236102534609905
extreme_os,autogluon,0.8963815789473685,0.7841726618705036,0.8236102534609905
extreme_os,autogluon,0.8947368421052632,0.7838616714697406,0.8236102534609905
extreme_os,autogluon,0.8947368421052632,0.784992784992785,0.8236102534609905
extreme_os,autogluon,0.8947368421052632,0.7861271676300579,0.8236102534609905
extreme_os,autogluon,0.8930921052631579,0.7858176555716353,0.8236102534609905
extreme_os,autogluon,0.8930921052631579,0.7869565217391304,0.8236102534609905
extreme_os,autogluon,0.8930921052631579,0.7880986937590712,0.8236102534609905
extreme_os,autogluon,0.8914473684210527,0.7877906976744186,0.8236102534609905
extreme_os,autogluon,0.8914473684210527,0.7889374090247453,0.8236102534609905
extreme_os,autogluon,0.8914473684210527,0.7900874635568513,0.8236102534609905
extreme_os,autogluon,0.8914473684210527,0.7912408759124088,0.8236102534609905
extreme_os,autogluon,0.8914473684210527,0.7923976608187134,0.8236102534609905
