endpoint,model_name,mean_predicted,observed
extreme_os,autogluon,0.23707016103073664,0.23728813559322035
extreme_os,autogluon,0.35553874106230465,0.27350427350427353
extreme_os,autogluon,0.6063009817276597,0.6239316239316239
extreme_os,autogluon,0.7405144804817998,0.7606837606837606
extreme_os,autogluon,0.7868192830656328,0.7692307692307693
extreme_os,autogluon,0.8210220292083217,0.8461538461538461
extreme_os,autogluon,0.8511551351628748,0.8205128205128205
extreme_os,autogluon,0.88859105313945,0.8632478632478633
extreme_os,catboost,0.19226483579216605,0.17796610169491525
extreme_os,catboost,0.2912769575146626,0.3333333333333333
extreme_os,catboost,0.6072787758107705,0.5897435897435898
extreme_os,catboost,0.7690202249937881,0.7863247863247863
extreme_os,catboost,0.8121960344813287,0.7692307692307693
extreme_os,catboost,0.8481586450909505,0.8034188034188035
extreme_os,catboost,0.8793799595342373,0.8461538461538461
extreme_os,catboost,0.9221722357233052,0.8888888888888888
extreme_os,random_forest,0.1909744942924076,0.17796610169491525
extreme_os,random_forest,0.29870565858331843,0.3247863247863248
extreme_os,random_forest,0.5832036196173582,0.6239316239316239
extreme_os,random_forest,0.7295235962827415,0.788135593220339
extreme_os,random_forest,0.7753783834402719,0.7413793103448276
extreme_os,random_forest,0.811327950352896,0.8135593220338984
extreme_os,random_forest,0.8546192093063198,0.8189655172413793
extreme_os,random_forest,0.9340875985699956,0.905982905982906
extreme_os,tabfm_default,0.2206200905775619,0.2457627118644068
extreme_os,tabfm_default,0.2471151942116582,0.2905982905982906
extreme_os,tabfm_default,0.6361066844982979,0.6068376068376068
extreme_os,tabfm_default,0.7824665905063988,0.7948717948717948
extreme_os,tabfm_default,0.7957871133445673,0.7521367521367521
extreme_os,tabfm_default,0.8245186615194013,0.7692307692307693
extreme_os,tabfm_default,0.8573963659441369,0.8290598290598291
extreme_os,tabfm_default,0.913567603347648,0.905982905982906
extreme_os,tabpfn_v3,0.22268440804239045,0.2711864406779661
extreme_os,tabpfn_v3,0.2502436789182516,0.23076923076923078
extreme_os,tabpfn_v3,0.6342241183814842,0.6324786324786325
extreme_os,tabpfn_v3,0.7826646802771807,0.7606837606837606
extreme_os,tabpfn_v3,0.7951003216270708,0.811965811965812
extreme_os,tabpfn_v3,0.8197680572159268,0.7094017094017094
extreme_os,tabpfn_v3,0.8559186091789838,0.8803418803418803
extreme_os,tabpfn_v3,0.9107266473973916,0.8974358974358975
os_3yr,autogluon,0.15285162757177953,0.1407766990291262
os_3yr,autogluon,0.22103933040323898,0.1407766990291262
os_3yr,autogluon,0.3222151415440643,0.2669902912621359
os_3yr,autogluon,0.4015117222579514,0.4585365853658537
os_3yr,autogluon,0.45850232128689933,0.47317073170731705
os_3yr,autogluon,0.5056544945512003,0.5825242718446602
os_3yr,autogluon,0.5556348226273934,0.551219512195122
os_3yr,autogluon,0.6429008210312979,0.6747572815533981
os_3yr,catboost,0.1040886149251724,0.14563106796116504
os_3yr,catboost,0.147892744351734,0.13106796116504854
os_3yr,catboost,0.28642435955461754,0.34146341463414637
os_3yr,catboost,0.39388430038385897,0.4368932038834951
os_3yr,catboost,0.4553514406517653,0.4634146341463415
os_3yr,catboost,0.5153280760726171,0.49514563106796117
os_3yr,catboost,0.577175684460546,0.5756097560975609
os_3yr,catboost,0.6783263184300246,0.6990291262135923
os_3yr,random_forest,0.0961281563216383,0.11650485436893204
os_3yr,random_forest,0.1651176565049093,0.15048543689320387
os_3yr,random_forest,0.323982230500703,0.3463414634146341
os_3yr,random_forest,0.4300403061830292,0.4077669902912621
os_3yr,random_forest,0.4915535033667376,0.4975609756097561
os_3yr,random_forest,0.5293873283926591,0.5048543689320388
os_3yr,random_forest,0.5665224361282399,0.5902439024390244
os_3yr,random_forest,0.6316764633095908,0.6747572815533981
os_3yr,tabfm_default,0.10857769238572684,0.15048543689320387
os_3yr,tabfm_default,0.12400889546402448,0.11650485436893204
os_3yr,tabfm_default,0.2832839401756844,0.34146341463414637
os_3yr,tabfm_default,0.4551902129812149,0.4563106796116505
os_3yr,tabfm_default,0.5004949551093869,0.4682926829268293
os_3yr,tabfm_default,0.5242505472261927,0.5097087378640777
os_3yr,tabfm_default,0.5516567295935093,0.5365853658536586
os_3yr,tabfm_default,0.6635874828377977,0.7087378640776699
os_3yr,tabpfn_v3,0.10861491786985142,0.1553398058252427
os_3yr,tabpfn_v3,0.12121209942744769,0.1407766990291262
os_3yr,tabpfn_v3,0.29016474988402385,0.3073170731707317
os_3yr,tabpfn_v3,0.4611557409311961,0.5194174757281553
os_3yr,tabpfn_v3,0.4975522883636197,0.44878048780487806
os_3yr,tabpfn_v3,0.5210107220318709,0.49514563106796117
os_3yr,tabpfn_v3,0.5474538581836514,0.5560975609756098
os_3yr,tabpfn_v3,0.6480536553176864,0.6650485436893204
os_5yr,autogluon,0.2661978637263791,0.2671232876712329
os_5yr,autogluon,0.3723795956102751,0.2602739726027397
os_5yr,autogluon,0.5369709655846637,0.541095890410959
os_5yr,autogluon,0.6538026251409153,0.773972602739726
os_5yr,autogluon,0.6985228222118667,0.726027397260274
os_5yr,autogluon,0.7425057634507137,0.773972602739726
os_5yr,autogluon,0.7860105405931601,0.7602739726027398
os_5yr,autogluon,0.8659095498797014,0.8698630136986302
os_5yr,catboost,0.21990214142371553,0.2534246575342466
os_5yr,catboost,0.30143218206101396,0.273972602739726
os_5yr,catboost,0.5297292526110233,0.541095890410959
os_5yr,catboost,0.7067434777005779,0.726027397260274
os_5yr,catboost,0.7609167230177859,0.7671232876712328
os_5yr,catboost,0.7979413626152,0.7534246575342466
os_5yr,catboost,0.8331959711568869,0.7945205479452054
os_5yr,catboost,0.9062493049680825,0.863013698630137
os_5yr,random_forest,0.22269051381412583,0.2328767123287671
os_5yr,random_forest,0.31809327517497293,0.3219178082191781
os_5yr,random_forest,0.5190461662176471,0.547945205479452
os_5yr,random_forest,0.6730280361684178,0.7465753424657534
os_5yr,random_forest,0.7248230549968913,0.7123287671232876
os_5yr,random_forest,0.7644700638844231,0.7876712328767124
os_5yr,random_forest,0.803101942739793,0.7602739726027398
os_5yr,random_forest,0.9106247311366319,0.863013698630137
os_5yr,tabfm_default,0.25871369997932475,0.3493150684931507
os_5yr,tabfm_default,0.2697943763577775,0.2534246575342466
os_5yr,tabfm_default,0.527199435091182,0.547945205479452
os_5yr,tabfm_default,0.6952262367287727,0.6506849315068494
os_5yr,tabfm_default,0.756716230797441,0.7602739726027398
os_5yr,tabfm_default,0.7836546896255184,0.773972602739726
os_5yr,tabfm_default,0.8071154914490168,0.7671232876712328
os_5yr,tabfm_default,0.9000614166259763,0.8698630136986302
os_5yr,tabpfn_v3,0.25657364058576226,0.3219178082191781
os_5yr,tabpfn_v3,0.26940178362882305,0.273972602739726
os_5yr,tabpfn_v3,0.5357155500413623,0.5547945205479452
os_5yr,tabpfn_v3,0.7120782953419095,0.636986301369863
os_5yr,tabpfn_v3,0.7556810410055397,0.7876712328767124
os_5yr,tabpfn_v3,0.7806822272196206,0.7808219178082192
os_5yr,tabpfn_v3,0.8027753874863662,0.7602739726027398
os_5yr,tabpfn_v3,0.8960039375579519,0.8561643835616438
