experiment,dataset,endpoint,control,n_train,n_test,class_0_test,class_1_test,accuracy,balanced_accuracy,f1,sensitivity,specificity,roc_auc,pr_auc,log_loss,brier
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,prevalence_only,1151,247,145,102,0.5870445344129555,0.5,0.0,0.0,1.0,0.5,0.4129554655870445,0.6779245205537265,0.2424272829523762
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,cancer_identity_only,1151,247,145,102,0.6153846153846154,0.6171737660581473,0.5739910313901345,0.6274509803921569,0.6068965517241379,0.7073022312373225,0.5869095335714266,0.5809510213962775,0.1999743517202147
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,source_identity_only,1151,247,145,102,0.5870445344129555,0.5,0.0,0.0,1.0,0.4835023664638269,0.4062762617262457,0.6792658076056626,0.2430827329091179
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,cancer_and_source_only,1151,247,145,102,0.6477732793522267,0.6360378634212305,0.5714285714285714,0.5686274509803921,0.7034482758620689,0.727079107505071,0.6145980359473736,0.5760958093122762,0.1972667921785166
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,structural_zero_pattern,1151,247,145,102,0.6396761133603239,0.6349560513860717,0.5821596244131455,0.6078431372549019,0.6620689655172414,0.7449628127112913,0.6354424869000386,0.566519512742496,0.1935806428800471
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,linear_molecular,1151,247,145,102,0.6234817813765182,0.619709263015551,0.5674418604651162,0.5980392156862745,0.6413793103448275,0.6604800540906017,0.5201778946807865,0.7839269402694107,0.2300077566894927
pooled_fixed,ALL_core_os_5yr_event_top75_no_cancer_feature,os_5yr,prevalence_only,816,176,67,109,0.6193181818181818,0.5,0.7649122807017544,1.0,0.0,0.5,0.6193181818181818,0.664419109252266,0.2357736098004264
pooled_fixed,ALL_core_os_5yr_event_top75_no_cancer_feature,os_5yr,cancer_identity_only,816,176,67,109,0.7159090909090909,0.6786252225112968,0.7844827586206896,0.8348623853211009,0.5223880597014925,0.7027249075722306,0.7410253756472149,0.592104718289708,0.2015525573686699
pooled_fixed,ALL_core_os_5yr_event_top75_no_cancer_feature,os_5yr,source_identity_only,816,176,67,109,0.6193181818181818,0.5,0.7649122807017544,1.0,0.0,0.5171847186087909,0.6294944861458622,0.668015854387679,0.235805760659184
pooled_fixed,ALL_core_os_5yr_event_top75_no_cancer_feature,os_5yr,cancer_and_source_only,816,176,67,109,0.7159090909090909,0.6786252225112968,0.7844827586206896,0.8348623853211009,0.5223880597014925,0.7058742982336026,0.7414094966220721,0.5986398648278056,0.2023960821739185
pooled_fixed,ALL_core_os_5yr_event_top75_no_cancer_feature,os_5yr,structural_zero_pattern,816,176,67,109,0.7159090909090909,0.6786252225112968,0.7844827586206896,0.8348623853211009,0.5223880597014925,0.7038888128166506,0.7470408097533853,0.5980901780350837,0.2024866392622352
pooled_fixed,ALL_core_os_5yr_event_top75_no_cancer_feature,os_5yr,linear_molecular,816,176,67,109,0.6818181818181818,0.6453512255237573,0.7565217391304347,0.7981651376146789,0.4925373134328358,0.6681500753115158,0.7359789358759743,0.8473334557483014,0.2329817905799313
extreme,ALL_core_extreme_os_death_lt3yr_survival_ge5yr_top75_no_cancer_feature,extreme_os,prevalence_only,655,141,50,91,0.6453900709219859,0.5,0.7844827586206896,1.0,0.0,0.5,0.6453900709219859,0.6502800596190698,0.2288737327463186
extreme,ALL_core_extreme_os_death_lt3yr_survival_ge5yr_top75_no_cancer_feature,extreme_os,cancer_identity_only,655,141,50,91,0.7872340425531915,0.7540659340659341,0.8404255319148937,0.8681318681318682,0.64,0.8094505494505495,0.853142544430249,0.4968420965402292,0.1610182300996976
extreme,ALL_core_extreme_os_death_lt3yr_survival_ge5yr_top75_no_cancer_feature,extreme_os,source_identity_only,655,141,50,91,0.6453900709219859,0.5,0.7844827586206896,1.0,0.0,0.554945054945055,0.684358194996493,0.6230524595516675,0.21964700337303
extreme,ALL_core_extreme_os_death_lt3yr_survival_ge5yr_top75_no_cancer_feature,extreme_os,cancer_and_source_only,655,141,50,91,0.7872340425531915,0.7540659340659341,0.8404255319148937,0.8681318681318682,0.64,0.8213186813186812,0.8684855809069629,0.4857411273609124,0.1583311075618918
extreme,ALL_core_extreme_os_death_lt3yr_survival_ge5yr_top75_no_cancer_feature,extreme_os,structural_zero_pattern,655,141,50,91,0.7872340425531915,0.7540659340659341,0.8404255319148937,0.8681318681318682,0.64,0.8241758241758241,0.8712637700197629,0.4837261729130736,0.1576961569392101
extreme,ALL_core_extreme_os_death_lt3yr_survival_ge5yr_top75_no_cancer_feature,extreme_os,linear_molecular,655,141,50,91,0.7446808510638298,0.712087912087912,0.8064516129032258,0.8241758241758241,0.6,0.6651648351648352,0.7297078255114532,0.9159571424889584,0.2221015413517546
