model_name,model,family,roc_auc_mean,roc_auc_sd,pr_auc_mean
autogluon,AutoGluon,AutoML,0.5476177664150852,0.1076482610918443,0.6441688141720343
catboost,CatBoost,Boosted tree,0.5568562436635625,0.10623481809851569,0.6565624617364008
lightgbm,LightGBM,Boosted tree,0.5523961512711314,0.0995423651926815,0.650330946096378
logistic_regression,Logistic regression,Linear,0.5223921460855739,0.10866234004140186,0.6269911533024123
random_forest,Random forest,Tree ensemble,0.559267154564082,0.10466967456231999,0.6547685915486723
tabfm_default,TabFM,Foundation model,0.5628421778215547,0.10587006026309258,0.6536696213712869
tabpfn_v2,TabPFN v2,Foundation model,0.5659108280064865,0.10564228688571502,0.6574853963106986
tabpfn_v2_5,TabPFN v2.5,Foundation model,0.5657217857784256,0.10614750475164172,0.658648580818862
tabpfn_v2_6,TabPFN v2.6,Foundation model,0.5637895875179016,0.1120077378595152,0.6597293691488288
tabpfn_v3,TabPFN v3,Foundation model,0.5606674270098437,0.11396877210861159,0.657002530591874
xgboost,XGBoost,Boosted tree,0.5549282899416502,0.10440671595622403,0.6513482914028516
