rnaseq_gene__GENE_CT47A7,rnaseq_gene__GENE_VN1R4,rnaseq_gene__GENE_TSPY4,rnaseq_gene__GENE_CSPG4P2Y,methylation_gene__GENE_SCRIB,methylation_gene__GENE_RPUSD2,rnaseq_gene__GENE_TSPY3,rnaseq_gene__GENE_C10ORF96,methylation_gene__GENE_GPI,rnaseq_gene__GENE_LOC646813,methylation_gene__GENE_SHBG;SAT2,rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_CT47A6,rnaseq_gene__GENE_KRTAP19-3,rnaseq_gene__GENE_ONECUT3,methylation_gene__GENE_TRIB3,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_PRAMEF18,methylation_gene__GENE_TYMP;ODF3B,rnaseq_gene__GENE_SPACA1,rnaseq_gene__GENE_PRAMEF16,methylation_gene__GENE_VEGFA,rnaseq_gene__GENE_KCNK18,methylation_gene__GENE_ENO2,rnaseq_gene__GENE_LCE3C,rnaseq_gene__GENE_DEFB132,rnaseq_gene__GENE_SULT6B1,rnaseq_gene__GENE_TMIGD1,rnaseq_gene__GENE_PRAMEF17,rnaseq_gene__GENE_OR10AG1,methylation_gene__GENE_SART3,rnaseq_gene__GENE_MLN,methylation_gene__GENE_TNKS2,rnaseq_gene__GENE_OR7G2,rnaseq_gene__GENE_ACCSL,rnaseq_gene__GENE_OR2T6,rnaseq_gene__GENE_OR4A15,rnaseq_gene__GENE_NPBWR2,rnaseq_gene__GENE_TAAR6,rnaseq_gene__GENE_OR4A5,rnaseq_gene__GENE_DEFB123,methylation_gene__GENE_MAP3K9,methylation_gene__GENE_PIGP;TTC3,rnaseq_gene__GENE_SNORA69,cnv_log2__GENE_SLC16A2,methylation_gene__GENE_GMCL1,cnv_log2__GENE_RLIM,rnaseq_gene__GENE_CRYGA,rnaseq_gene__GENE_LINC01591,rnaseq_gene__GENE_MT1B,rnaseq_gene__GENE_PRAMEF22,rnaseq_gene__GENE_DAZ1,rnaseq_gene__GENE_MOS,rnaseq_gene__GENE_SRY,rnaseq_gene__GENE_SCARNA8,rnaseq_gene__GENE_FAM99A,methylation_gene__GENE_SKIL,methylation_gene__GENE_IL4R,rnaseq_gene__GENE_TSPY2,rnaseq_gene__GENE_LYZL1,rnaseq_gene__GENE_PRDM14,methylation_gene__GENE_FRY,methylation_gene__GENE_CCNG1,methylation_gene__GENE_SLC22A17,methylation_gene__GENE_ZNF345,methylation_gene__GENE_ATP5S;L2HGDH,methylation_gene__GENE_AKT1,rnaseq_gene__GENE_CABP2,cnv_log2__GENE_PRKG1,methylation_gene__GENE_SIX5;DMPK,rnaseq_gene__GENE_KRTAP10-9,rnaseq_gene__GENE_DEFB118,methylation_gene__GENE_CNOT10,methylation_gene__GENE_HIST1H1T,rnaseq_gene__GENE_LINC00635,rnaseq_gene__GENE_ADAD1,rnaseq_gene__GENE_NPPB,methylation_gene__GENE_PARP4,methylation_gene__GENE_RAB3GAP1,methylation_gene__GENE_NRXN2,methylation_gene__GENE_LDLR,rnaseq_gene__GENE_PSG2,rnaseq_gene__GENE_HES3,rnaseq_gene__GENE_NKX6-2,cnv_log2__GENE_DDX18,methylation_gene__GENE_COASY,rnaseq_gene__GENE_HSD3B1,methylation_gene__GENE_ZNF160,rnaseq_gene__GENE_PSG11,rnaseq_gene__GENE_FAM194B,cnv_log2__GENE_LOC101927709,cnv_log2__GENE_STEAP3,cnv_log2__GENE_TMEM37,methylation_gene__GENE_ITPA,rnaseq_gene__GENE_RAG2,cnv_log2__GENE_INSIG2,rnaseq_gene__GENE_OR10Z1,methylation_gene__GENE_AP2B1,methylation_gene__GENE_TM7SF2,methylation_gene__GENE_RUNDC2A,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.030400895,-0.054831173,-0.035875507,-0.030400893,-0.41032338,0.49858165,-0.04756436,-0.14370757,0.20043744,-0.07355285,0.4506155,-0.030400895,-0.030400895,-0.124685876,-0.071920976,-0.03337716,-0.067629814,-0.08606776,0.7585861,-0.10053951,-0.07234395,-0.04435848,-0.12371241,0.07336908,-0.062246185,1.2119027,-0.1383598,-0.13838363,-0.040199555,-0.07527141,0.4417737,-0.11664121,0.24027158,-0.06859739,3.6489415,-0.083192356,-0.042500064,23.692472,-0.06925289,-0.06427042,-0.04597636,0.57670254,0.043400798,-0.08561648,-1.9755679,1.1340773,-1.9697239,-0.07638114,-0.18395357,-0.11366547,-0.11066106,-0.08408102,-0.09939945,-0.06418999,-0.16951889,-0.069542356,0.7472554,0.3878568,-0.061702468,1.3337699,-0.19387476,0.25627154,0.28553733,1.6284221,0.25208822,0.9158221,0.6670757,-0.07587367,-1.5038369,1.6245252,-0.05562216,-0.13369994,1.5376943,0.11865291,-0.18354331,-0.175216,-0.23330294,-0.21582247,1.8735074,-0.14466798,1.006831,-0.2157582,-0.089100406,-0.09467098,-1.5988895,-0.26532367,-0.41950408,0.40766037,-0.08720162,-0.12620853,-1.5815867,-1.5952908,-1.5958343,0.33710602,1.1611284,-1.5852623,-0.059134748,1.4705099,-0.22500522,1.502535,0
-0.030400895,-0.054831173,-0.035875507,-0.030400893,0.15346035,0.54176915,-0.04756436,-0.14370757,0.18294889,-0.07355285,15.103444,-0.030400895,-0.030400895,-0.124685876,-0.071920976,0.1348818,-0.067629814,-0.08606776,-0.14113313,5.9350004,-0.07234395,-0.05125228,-0.12371241,-0.32059684,-0.062246185,-1.2656302,-0.1383598,-0.13838363,-0.040199555,-0.07527141,-0.38165906,-0.11664121,0.8020264,-0.06859739,-0.25247434,-0.083192356,-0.042500064,-0.08846551,-0.06925289,-0.06427042,-0.04597636,0.2569746,0.49041125,-0.08561648,-2.3591254,0.34237644,-2.3537295,-0.07638114,-0.18395357,-0.11366547,-0.11066106,-0.08408102,-0.09939945,-0.06418999,-0.16951889,-0.069542356,0.4385283,-0.05656802,-0.061702468,-0.43353972,-0.19387476,0.6557903,0.055059817,-0.12951767,0.7001832,0.05212484,-0.20129359,-0.07587367,-1.4807273,-0.07881819,-0.05562216,-0.13369994,0.5404921,-0.8040584,-0.18354331,-0.175216,-0.23330294,0.18344745,2.1181703,-0.17961895,0.7733275,-0.2157582,-0.089100406,-0.09467098,0.16913748,-0.19487579,-0.41950408,0.022995586,-0.08720162,-0.12620853,0.17926726,0.1909746,0.19404273,-0.005793088,-0.18899952,0.15964764,-0.059134748,0.41158846,-0.25367188,0.9439678,0
-0.030400895,-0.054831173,-0.035875507,-0.030400893,0.61090565,-0.037392955,-0.04756436,-0.14370757,-0.08343716,-0.07355285,-0.26497257,-0.030400895,-0.030400895,-0.124685876,-0.071920976,0.21334267,-0.067629814,-0.08606776,-0.1266541,-0.10053951,-0.07234395,0.131724,-0.12371241,0.35366178,-0.062246185,-1.2656302,-0.1383598,-0.13838363,-0.040199555,-0.07527141,0.21971548,-0.11664121,0.001589194,-0.06859739,-0.25247434,-0.083192356,-0.042500064,-0.08846551,-0.06925289,-0.06427042,-0.04597636,0.20228925,-0.33585742,-0.08561648,-2.2347283,0.05669328,-2.229187,-0.07638114,-0.18395357,-0.11366547,-0.11066106,-0.08408102,-0.09939945,-0.06418999,-0.16951889,-0.069542356,-0.15905763,-0.2107817,-0.061702468,-0.43353972,-0.19387476,-0.1538763,-0.24605142,0.31964636,-0.767704,-0.061688613,0.14906573,-0.07587367,0.39774978,-0.5496803,-0.05562216,-0.13369994,0.27632806,-5.077533,2.3484457,1.457769,-0.23330294,-0.15355188,-0.45080444,-0.3309649,-0.6397113,-0.2157582,-0.089100406,-0.09467098,-0.2172247,-0.2539906,0.22542645,-0.1419233,-0.08720162,-0.12620853,-0.20552744,-0.19937319,-0.19709428,0.40266174,-0.18899952,-0.22166285,-0.059134748,-0.4840482,-0.23817854,-0.33973792,1
-0.030400895,-0.054831173,-0.035875507,-0.030400893,0.58261806,10.229894,-0.04756436,-0.14370757,0.1791918,-0.07355285,-0.20609742,-0.030400895,-0.030400895,-0.124685876,-0.071920976,0.26360202,-0.067629814,-0.08606776,-0.07377817,-0.10053951,-0.07234395,0.92865384,-0.12371241,-0.2708802,-0.062246185,-1.2656302,-0.1383598,-0.13838363,-0.040199555,-0.07527141,0.15121952,-0.11664121,0.120217554,-0.06859739,-0.25247434,-0.083192356,-0.042500064,-0.08846551,-0.06925289,-0.06427042,-0.04597636,0.039493494,-0.011934135,-0.08561648,0.24802865,-0.003098298,0.25647095,-0.07638114,-0.18395357,-0.11366547,-0.11066106,-0.08408102,-0.09939945,-0.06418999,-0.16951889,-0.069542356,-0.018064536,-0.0953913,-0.061702468,-0.43353972,-0.19387476,16.977419,-0.2724393,0.038891412,-0.86230284,4.849765e-05,-0.11088105,-0.07587367,0.46377715,-0.33823964,-0.05562216,-0.13369994,-0.14955032,-0.542916,-0.18354331,-0.175216,-0.23330294,-0.07562056,-0.48579293,-0.31572297,-0.34521836,-0.2157582,-0.089100406,-0.09467098,0.6730882,-0.34743956,-0.41950408,-0.078271024,-0.08720162,-0.12620853,0.6811734,0.70012385,0.7042214,-0.22887963,-0.18899952,0.6570092,-0.059134748,-0.39905912,-0.0938253,0.12752722,0
-0.030400895,-0.054831173,-0.035875507,-0.030400893,-0.21392961,-0.029444681,-0.04756436,-0.14370757,-0.09081804,-0.07355285,-0.31104493,-0.030400895,-0.030400895,-0.124685876,-0.071920976,-0.2783788,-0.067629814,-0.08606776,-0.12523481,-0.10053951,-0.07234395,-0.1843051,-0.12371241,-0.41722843,-0.062246185,0.5510001,-0.1383598,-0.13838363,-0.040199555,-0.07527141,-0.63133156,-0.11664121,-0.38270107,-0.06859739,-0.25247434,-0.083192356,-0.042500064,-0.08846551,-0.06925289,-0.06427042,-0.04597636,-0.37810174,-0.5281125,-0.08561648,-0.6072008,-0.2841756,-0.5997578,-0.07638114,-0.18395357,-0.11366547,-0.11066106,-0.08408102,-0.09939945,-0.06418999,-0.16951889,-0.069542356,-0.6036509,-0.28895697,-0.061702468,-0.43353972,-0.19387476,-0.38734296,-0.2891171,-0.47221553,0.35282114,-0.0794803,-0.85636276,-0.07587367,0.12043506,-0.447999,-0.05562216,-0.13369994,-0.39222795,0.63302475,-0.18354331,-0.175216,-0.23330294,0.11386561,0.9902757,1.5605413,0.17376454,-0.2157582,-0.089100406,-0.09467098,0.09774446,-0.30882165,-0.41950408,-0.30890614,-0.08720162,-0.12620853,0.108163886,0.118845105,0.12176741,-0.12336554,-0.18899952,0.08918809,-0.059134748,0.12507151,-0.24181673,-1.289935,0
-0.030400895,-0.054831173,-0.035875507,-0.030400893,0.5055419,0.4566232,-0.04756436,-0.14370757,0.06073366,-0.07355285,1.4664812,-0.030400895,-0.030400895,-0.124685876,-0.071920976,0.2388579,-0.067629814,-0.08606776,-0.39314377,-0.10053951,-0.07234395,1.8418019,-0.12371241,-0.111611575,-0.062246185,-1.2656302,-0.1383598,-0.13838363,-0.040199555,-0.07527141,0.4080284,-0.11664121,0.48425657,-0.06859739,-0.25247434,-0.083192356,-0.042500064,-0.08846551,29.499832,-0.06427042,-0.04597636,0.639818,0.37477794,-0.08561648,0.08734918,0.29620782,0.09560374,-0.07638114,-0.18395357,-0.11366547,-0.11066106,-0.08408102,-0.09939945,-0.06418999,-0.16951889,-0.069542356,2.735388,0.3887041,-0.061702468,1.9648988,-0.19387476,-0.091064334,-0.0058720307,0.034532215,3.515751,0.40849096,0.95111585,-0.07587367,-0.7874405,-0.14888641,-0.05562216,-0.13369994,1.2005258,-0.9854959,-0.18354331,-0.175216,-0.23330294,-0.5037098,0.6992391,0.1353862,0.1787693,7.0586586,-0.089100406,-0.09467098,0.84947085,0.21325104,-0.41950408,0.19432314,-0.08720162,-0.12620853,0.85684055,0.8783261,0.882784,-0.25537145,-0.18899952,0.8310857,-0.059134748,-1.3696066,0.09736151,-0.5359244,0
-0.030400895,-0.054831173,-0.035875507,-0.030400893,-0.30329698,-0.006336753,-0.04756436,-0.14370757,0.10668483,-0.07355285,-0.23337707,-0.030400895,-0.030400895,-0.124685876,-0.071920976,-0.08953954,-0.067629814,-0.08606776,-0.33878514,-0.10053951,-0.07234395,-0.17836002,-0.12371241,-0.14172249,-0.062246185,0.44453427,-0.1383598,-0.13838363,-0.040199555,-0.07527141,-0.43027908,-0.11664121,-0.089279756,-0.06859739,-0.25247434,-0.083192356,-0.042500064,-0.08846551,-0.06925289,-0.06427042,-0.04597636,-0.19231333,-0.11547741,-0.08561648,-0.03186462,-0.28660023,-0.02374936,-0.07638114,-0.18395357,-0.11366547,-0.11066106,-0.08408102,4.320285,-0.06418999,-0.16951889,-0.069542356,0.3873884,-0.28849685,-0.061702468,-0.43353972,-0.19387476,-0.02198543,-0.17832027,-0.14241439,-0.3032711,-0.45004946,-0.027025366,-0.07587367,0.05770911,-0.5256332,-0.05562216,-0.13369994,0.08591692,0.46464315,-0.18354331,-0.175216,-0.23330294,-0.32894704,-0.5098455,-0.043192297,-0.3913517,-0.2157582,-0.089100406,-0.09467098,0.16913748,-0.29700884,0.10422162,-0.17353417,-0.08720162,-0.12620853,0.17926726,0.1909746,0.19404273,-0.62407154,-0.18899952,0.15964764,-0.059134748,1.1541361,-0.25226298,0.4893828,0
-0.030400895,-0.054831173,-0.035875507,-0.030400893,0.49732104,0.020923164,-0.04756436,-0.14370757,0.19646877,-0.07355285,-0.05401068,-0.030400895,-0.030400895,-0.124685876,-0.071920976,-0.057090644,-0.067629814,5.717438,-0.15689152,-0.10053951,2.6616113,0.07154202,-0.12371241,0.14294401,-0.062246185,-1.2656302,-0.1383598,-0.13838363,-0.040199555,-0.07527141,0.19300161,-0.11664121,-0.048224147,-0.06859739,-0.25247434,-0.083192356,-0.042500064,-0.08846551,-0.06925289,-0.06427042,-0.04597636,-0.06892276,-0.019686019,-0.08561648,1.5023651,0.1411506,1.5122731,-0.07638114,-0.18395357,-0.11366547,-0.11066106,-0.08408102,-0.09939945,-0.06418999,-0.16951889,-0.069542356,-0.359619,15.333439,-0.061702468,5.2397485,-0.19387476,0.0053541134,0.15242913,0.5324965,-0.5925387,0.054476775,0.1312032,-0.07587367,1.1141461,-0.22346067,-0.05562216,-0.13369994,-0.52218586,-0.07704495,-0.18354331,-0.175216,-0.23330294,0.3058051,-0.38042986,15.924743,-0.08910691,-0.2157582,-0.089100406,-0.09467098,0.17753665,-0.3867001,-0.41950408,-0.036366597,-0.08720162,-0.12620853,0.18763237,0.19946042,0.20254572,0.47417513,-0.18899952,0.16793701,-0.059134748,-0.44104022,3.8259983,-1.1711066,1
-0.030400895,-0.054831173,-0.035875507,-0.030400893,0.52590865,-0.3220667,-0.04756436,-0.14370757,0.11527684,-0.07355285,-0.26750088,-0.030400895,-0.030400895,-0.124685876,-0.071920976,0.0097025465,-0.067629814,-0.08606776,-0.15487866,-0.10053951,-0.07234395,0.07120265,-0.12371241,-0.27726114,-0.062246185,-0.12577116,-0.1383598,-0.13838363,-0.040199555,-0.07527141,0.11168946,-0.11664121,-0.34989718,-0.06859739,-0.25247434,-0.083192356,-0.042500064,-0.08846551,-0.06925289,-0.06427042,-0.04597636,-0.022485027,0.06900399,-0.08561648,0.12881485,0.08937116,0.13711786,-0.07638114,-0.18395357,-0.11366547,-0.11066106,-0.08408102,-0.09939945,-0.06418999,-0.16951889,-0.069542356,-0.107541315,-0.20920111,-0.061702468,-0.43353972,-0.19387476,-0.24422622,-0.21758465,0.2404093,-0.6719743,-0.016926873,0.088451184,-0.07587367,0.06761321,-0.46849233,-0.05562216,-0.13369994,-0.25149068,0.6420792,-0.18354331,-0.175216,-0.23330294,0.27760917,-0.48252997,-0.20181996,-0.54609317,-0.2157582,-0.089100406,-0.09467098,0.17753665,-0.449756,-0.41950408,-0.0529301,-0.08720162,-0.12620853,0.18763237,0.19946042,0.20254572,-0.13265978,-0.18899952,0.16793701,-0.059134748,-0.5127093,-0.23477913,-0.8281224,0
