dataset,endpoint,horizon_days,source_cancers,view,label_rule,dataset_path,metadata_path,n_total,n_train,n_val,n_test,class_counts_total,class_counts_train,class_counts_val,class_counts_test,class_0_train,class_1_train,class_0_val,class_1_val,class_0_test,class_1_test,cancer_counts_total,test_cancer_counts,model_name,version,task_type,status,accuracy,f1,roc_auc,log_loss,pr_auc,sensitivity,specificity,balanced_accuracy,run_dir,prediction_path,model_family,raw_paths,plot_files
ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,1095,"BRCA,ESCA,HNSCC,LSCC,LUAD",core,1 = death observed on or before 1095 days; 0 = known survival beyond 1095 days,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_3yr_event_top94_no_cancer_feature.csv,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_3yr_event_top94_no_cancer_feature_metadata.csv,1645,1151,247,247,"{'0': 969, '1': 676}","{'0': 678, '1': 473}","{'0': 146, '1': 101}","{'0': 145, '1': 102}",678,473,146,101,145,102,"{'BRCA': 501, 'HNSCC': 385, 'LSCC': 355, 'LUAD': 318, 'ESCA': 86}","{'BRCA': 77, 'HNSCC': 62, 'LUAD': 49, 'LSCC': 47, 'ESCA': 12}",tabpfn_v2,v2,binary,success,0.6356275303643725,0.5544554455445545,0.7283299526707235,0.5700497307450201,0.6316079952377417,0.5490196078431373,0.696551724137931,0.6227856659905342,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabpfn/tabpfn/runs/all_core_os_3yr_event_top94_no_cancer_feature/20260705_041239,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabpfn/tabpfn/runs/all_core_os_3yr_event_top94_no_cancer_feature/20260705_041239/predictions/tabpfn_v2_predictions.csv,tabpfn,,
ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,1095,"BRCA,ESCA,HNSCC,LSCC,LUAD",core,1 = death observed on or before 1095 days; 0 = known survival beyond 1095 days,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_3yr_event_top94_no_cancer_feature.csv,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_3yr_event_top94_no_cancer_feature_metadata.csv,1645,1151,247,247,"{'0': 969, '1': 676}","{'0': 678, '1': 473}","{'0': 146, '1': 101}","{'0': 145, '1': 102}",678,473,146,101,145,102,"{'BRCA': 501, 'HNSCC': 385, 'LSCC': 355, 'LUAD': 318, 'ESCA': 86}","{'BRCA': 77, 'HNSCC': 62, 'LUAD': 49, 'LSCC': 47, 'ESCA': 12}",tabpfn_v2_5,v2_5,binary,success,0.6761133603238867,0.5652173913043478,0.7427315753887762,0.5658191629937124,0.6522562553521387,0.5098039215686274,0.7931034482758621,0.6514536849222448,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabpfn/tabpfn/runs/all_core_os_3yr_event_top94_no_cancer_feature/20260705_041239,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabpfn/tabpfn/runs/all_core_os_3yr_event_top94_no_cancer_feature/20260705_041239/predictions/tabpfn_v2_5_predictions.csv,tabpfn,,
ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,1095,"BRCA,ESCA,HNSCC,LSCC,LUAD",core,1 = death observed on or before 1095 days; 0 = known survival beyond 1095 days,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_3yr_event_top94_no_cancer_feature.csv,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_3yr_event_top94_no_cancer_feature_metadata.csv,1645,1151,247,247,"{'0': 969, '1': 676}","{'0': 678, '1': 473}","{'0': 146, '1': 101}","{'0': 145, '1': 102}",678,473,146,101,145,102,"{'BRCA': 501, 'HNSCC': 385, 'LSCC': 355, 'LUAD': 318, 'ESCA': 86}","{'BRCA': 77, 'HNSCC': 62, 'LUAD': 49, 'LSCC': 47, 'ESCA': 12}",tabpfn_v2_6,v2_6,binary,success,0.6477732793522267,0.5714285714285714,0.7357674104124408,0.5680494490971473,0.6480301003908088,0.5686274509803921,0.7034482758620689,0.6360378634212305,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabpfn/tabpfn/runs/all_core_os_3yr_event_top94_no_cancer_feature/20260705_041239,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabpfn/tabpfn/runs/all_core_os_3yr_event_top94_no_cancer_feature/20260705_041239/predictions/tabpfn_v2_6_predictions.csv,tabpfn,,
ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,1095,"BRCA,ESCA,HNSCC,LSCC,LUAD",core,1 = death observed on or before 1095 days; 0 = known survival beyond 1095 days,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_3yr_event_top94_no_cancer_feature.csv,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_3yr_event_top94_no_cancer_feature_metadata.csv,1645,1151,247,247,"{'0': 969, '1': 676}","{'0': 678, '1': 473}","{'0': 146, '1': 101}","{'0': 145, '1': 102}",678,473,146,101,145,102,"{'BRCA': 501, 'HNSCC': 385, 'LSCC': 355, 'LUAD': 318, 'ESCA': 86}","{'BRCA': 77, 'HNSCC': 62, 'LUAD': 49, 'LSCC': 47, 'ESCA': 12}",tabpfn_v3,v3,binary,success,0.6396761133603239,0.5615763546798029,0.730764029749831,0.5678559577038507,0.6352442642792991,0.5588235294117647,0.696551724137931,0.6276876267748479,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabpfn/tabpfn/runs/all_core_os_3yr_event_top94_no_cancer_feature/20260705_041239,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabpfn/tabpfn/runs/all_core_os_3yr_event_top94_no_cancer_feature/20260705_041239/predictions/tabpfn_v3_predictions.csv,tabpfn,,
ALL_core_os_5yr_event_top75_no_cancer_feature,os_5yr,1825,"BRCA,HNSCC,LSCC,LUAD",core,1 = death observed on or before 1825 days; 0 = known survival beyond 1825 days,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_5yr_event_top75_no_cancer_feature.csv,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_5yr_event_top75_no_cancer_feature_metadata.csv,1168,816,176,176,"{'1': 726, '0': 442}","{'1': 508, '0': 308}","{'1': 109, '0': 67}","{'1': 109, '0': 67}",308,508,67,109,67,109,"{'BRCA': 350, 'HNSCC': 286, 'LSCC': 281, 'LUAD': 251}","{'BRCA': 53, 'LSCC': 51, 'HNSCC': 37, 'LUAD': 35}",tabpfn_v2,v2,binary,success,0.7159090909090909,0.7844827586206896,0.713268519786389,0.5997049230784534,0.7667335228613306,0.8348623853211009,0.5223880597014925,0.6786252225112968,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabpfn/tabpfn/runs/all_core_os_5yr_event_top75_no_cancer_feature/20260705_041312,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabpfn/tabpfn/runs/all_core_os_5yr_event_top75_no_cancer_feature/20260705_041312/predictions/tabpfn_v2_predictions.csv,tabpfn,,
ALL_core_os_5yr_event_top75_no_cancer_feature,os_5yr,1825,"BRCA,HNSCC,LSCC,LUAD",core,1 = death observed on or before 1825 days; 0 = known survival beyond 1825 days,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_5yr_event_top75_no_cancer_feature.csv,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_5yr_event_top75_no_cancer_feature_metadata.csv,1168,816,176,176,"{'1': 726, '0': 442}","{'1': 508, '0': 308}","{'1': 109, '0': 67}","{'1': 109, '0': 67}",308,508,67,109,67,109,"{'BRCA': 350, 'HNSCC': 286, 'LSCC': 281, 'LUAD': 251}","{'BRCA': 53, 'LSCC': 51, 'HNSCC': 37, 'LUAD': 35}",tabpfn_v2_5,v2_5,binary,success,0.7159090909090909,0.7844827586206896,0.6971792414076408,0.6011556585551072,0.7547765004235127,0.8348623853211009,0.5223880597014925,0.6786252225112968,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabpfn/tabpfn/runs/all_core_os_5yr_event_top75_no_cancer_feature/20260705_041312,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabpfn/tabpfn/runs/all_core_os_5yr_event_top75_no_cancer_feature/20260705_041312/predictions/tabpfn_v2_5_predictions.csv,tabpfn,,
ALL_core_os_5yr_event_top75_no_cancer_feature,os_5yr,1825,"BRCA,HNSCC,LSCC,LUAD",core,1 = death observed on or before 1825 days; 0 = known survival beyond 1825 days,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_5yr_event_top75_no_cancer_feature.csv,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_5yr_event_top75_no_cancer_feature_metadata.csv,1168,816,176,176,"{'1': 726, '0': 442}","{'1': 508, '0': 308}","{'1': 109, '0': 67}","{'1': 109, '0': 67}",308,508,67,109,67,109,"{'BRCA': 350, 'HNSCC': 286, 'LSCC': 281, 'LUAD': 251}","{'BRCA': 53, 'LSCC': 51, 'HNSCC': 37, 'LUAD': 35}",tabpfn_v2_6,v2_6,binary,success,0.7159090909090909,0.7844827586206896,0.6951937559906888,0.6002798944000554,0.7636677775093916,0.8348623853211009,0.5223880597014925,0.6786252225112968,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabpfn/tabpfn/runs/all_core_os_5yr_event_top75_no_cancer_feature/20260705_041312,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabpfn/tabpfn/runs/all_core_os_5yr_event_top75_no_cancer_feature/20260705_041312/predictions/tabpfn_v2_6_predictions.csv,tabpfn,,
ALL_core_os_5yr_event_top75_no_cancer_feature,os_5yr,1825,"BRCA,HNSCC,LSCC,LUAD",core,1 = death observed on or before 1825 days; 0 = known survival beyond 1825 days,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_5yr_event_top75_no_cancer_feature.csv,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_5yr_event_top75_no_cancer_feature_metadata.csv,1168,816,176,176,"{'1': 726, '0': 442}","{'1': 508, '0': 308}","{'1': 109, '0': 67}","{'1': 109, '0': 67}",308,508,67,109,67,109,"{'BRCA': 350, 'HNSCC': 286, 'LSCC': 281, 'LUAD': 251}","{'BRCA': 53, 'LSCC': 51, 'HNSCC': 37, 'LUAD': 35}",tabpfn_v3,v3,binary,success,0.7159090909090909,0.7844827586206896,0.7076543886074216,0.6017122791244244,0.764471596320647,0.8348623853211009,0.5223880597014925,0.6786252225112968,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabpfn/tabpfn/runs/all_core_os_5yr_event_top75_no_cancer_feature/20260705_041312,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabpfn/tabpfn/runs/all_core_os_5yr_event_top75_no_cancer_feature/20260705_041312/predictions/tabpfn_v3_predictions.csv,tabpfn,,
ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,1095,"BRCA,ESCA,HNSCC,LSCC,LUAD",core,1 = death observed on or before 1095 days; 0 = known survival beyond 1095 days,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_3yr_event_top94_no_cancer_feature.csv,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_3yr_event_top94_no_cancer_feature_metadata.csv,1645,1151,247,247,"{'0': 969, '1': 676}","{'0': 678, '1': 473}","{'0': 146, '1': 101}","{'0': 145, '1': 102}",678,473,146,101,145,102,"{'BRCA': 501, 'HNSCC': 385, 'LSCC': 355, 'LUAD': 318, 'ESCA': 86}","{'BRCA': 77, 'HNSCC': 62, 'LUAD': 49, 'LSCC': 47, 'ESCA': 12}",tabfm_default,,binary,success,0.6396761133603239,0.5527638190954773,0.7334009465855308,0.5688656799330186,0.6346862756069223,0.5392156862745098,0.7103448275862069,0.6247802569303583,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabfm_pytorch/tabfm/runs/all_core_os_3yr_event_top94_no_cancer_feature/20260705_041338,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabfm_pytorch/tabfm/runs/all_core_os_3yr_event_top94_no_cancer_feature/20260705_041338/predictions/tabfm_default_predictions.csv,tabfm,"{""json"": ""/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabfm_pytorch/tabfm/runs/all_core_os_3yr_event_top94_no_cancer_feature/20260705_041338/raw/tabfm_default/raw_predictions.json"", ""npz"": ""/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabfm_pytorch/tabfm/runs/all_core_os_3yr_event_top94_no_cancer_feature/20260705_041338/raw/tabfm_default/raw_predictions.npz""}","[""tabfm_default_confusion_matrix.png"", ""tabfm_default_roc_curve.png""]"
ALL_core_os_5yr_event_top75_no_cancer_feature,os_5yr,1825,"BRCA,HNSCC,LSCC,LUAD",core,1 = death observed on or before 1825 days; 0 = known survival beyond 1825 days,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_5yr_event_top75_no_cancer_feature.csv,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/datasets/ALL_core_os_5yr_event_top75_no_cancer_feature_metadata.csv,1168,816,176,176,"{'1': 726, '0': 442}","{'1': 508, '0': 308}","{'1': 109, '0': 67}","{'1': 109, '0': 67}",308,508,67,109,67,109,"{'BRCA': 350, 'HNSCC': 286, 'LSCC': 281, 'LUAD': 251}","{'BRCA': 53, 'LSCC': 51, 'HNSCC': 37, 'LUAD': 35}",tabfm_default,,binary,success,0.7159090909090909,0.7844827586206896,0.693755990688758,0.6043761689906713,0.7524300164244813,0.8348623853211009,0.5223880597014925,0.6786252225112968,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabfm_pytorch/tabfm/runs/all_core_os_5yr_event_top75_no_cancer_feature/20260705_041652,/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabfm_pytorch/tabfm/runs/all_core_os_5yr_event_top75_no_cancer_feature/20260705_041652/predictions/tabfm_default_predictions.csv,tabfm,"{""json"": ""/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabfm_pytorch/tabfm/runs/all_core_os_5yr_event_top75_no_cancer_feature/20260705_041652/raw/tabfm_default/raw_predictions.json"", ""npz"": ""/home/prime/Documents/g3/cancer-os-exp/exp02_combined_fixed_window/outputs_tabfm_pytorch/tabfm/runs/all_core_os_5yr_event_top75_no_cancer_feature/20260705_041652/raw/tabfm_default/raw_predictions.npz""}","[""tabfm_default_confusion_matrix.png"", ""tabfm_default_roc_curve.png""]"
