cancer,time_days,survival,ci_low,ci_high
BRCA,0.0,1.0,1.0,1.0
BRCA,116.0781799761875,0.999096657633243,0.997326906481966,1.0
BRCA,158.106486494625,0.9981900363468243,0.9956838196936668,1.0
BRCA,160.107834422625,0.997283415060406,0.9942134803568866,1.0
BRCA,172.11592202106252,0.9963726539507616,0.9928242830854016,0.9999210248161216
BRCA,174.1172699490625,0.9954610595738624,0.9914915038672965,0.9994306152804284
BRCA,197.1327711515,0.9945452720305562,0.9901924279083102,0.9988981161528022
BRCA,221.0,0.993622688290268,0.9889132401701592,0.9983321364103772
BRCA,224.1509682099375,0.9926992471301472,0.9876583591891,0.9977401350711942
BRCA,227.15299010193752,0.991774084737668,0.9864216770046896,0.9971264924706466
BRCA,239.161077700375,0.9908471930696888,0.9851998850701598,0.996494501069218
BRCA,255.171861124375,0.9899159457077814,0.983986312005801,0.9958455794097618
BRCA,266.1792747588125,0.988982942931431,0.9827833262058392,0.9951825596570226
BRCA,282.0,0.98804462894383,0.981583869472616,0.9945053884150438
BRCA,295.19881974525,0.9871018382673568,0.9803881838182912,0.9938154927164224
BRCA,302.20353749325,0.986157243206814,0.9791994160906266,0.9931150703230012
BRCA,304.20488542125,0.9852090150883458,0.9780139399722212,0.9924040902044704
BRCA,320.215668784375,0.9842506405600496,0.9768214115345067,0.9916798695855926
BRCA,322.217016895,0.9832913319435196,0.975635106901452,0.9909475569855868
BRCA,336.226452451875,0.9823206593552238,0.974439155018368,0.9902021636920796
BRCA,348.234539898125,0.981336370117393,0.9732300887395696,0.9894426514952166
BRCA,362.243975455,0.980336027232462,0.9720042679184412,0.9886677865464828
BRCA,365.24599746875,0.9793295220710324,0.9707759560719555,0.9878830880701088
BRCA,377.254084915,0.9782809893921554,0.9694931613873584,0.9870688173969524
BRCA,385.25947674875,0.9761403307720412,0.9668844692434242,0.9853961923006582
BRCA,426.28710921187496,0.9749905777322626,0.965475241273308,0.9845059141912172
BRCA,446.300588491875,0.973808770971375,0.9640270942576604,0.9835904476850896
BRCA,524.3531578056251,0.9725257554628488,0.9624388987811204,0.9826126121445772
BRCA,538.3625933625,0.9712185971893772,0.9608250159693734,0.981612178409381
BRCA,548.3693330025001,0.9698990067040656,0.9592025801056732,0.9805954333024576
BRCA,558.3760726425,0.9685612149706804,0.9575628553895836,0.9795595745517772
BRCA,563.3794424625,0.9672197174430204,0.9559266712005496,0.9785127636854908
BRCA,571.38483429625,0.9658688519158652,0.9542853545788444,0.9774523492528862
