cancer_a,cancer_b,intersection,union,jaccard
BRCA,BRCA,100,100,1.0
BRCA,ESCA,3,197,0.015228426395939
BRCA,HNSCC,14,186,0.075268817204301
BRCA,LSCC,7,193,0.0362694300518134
BRCA,LUAD,7,193,0.0362694300518134
ESCA,BRCA,3,197,0.015228426395939
ESCA,ESCA,100,100,1.0
ESCA,HNSCC,2,198,0.0101010101010101
ESCA,LSCC,0,200,0.0
ESCA,LUAD,0,200,0.0
HNSCC,BRCA,14,186,0.075268817204301
HNSCC,ESCA,2,198,0.0101010101010101
HNSCC,HNSCC,100,100,1.0
HNSCC,LSCC,5,195,0.0256410256410256
HNSCC,LUAD,12,188,0.0638297872340425
LSCC,BRCA,7,193,0.0362694300518134
LSCC,ESCA,0,200,0.0
LSCC,HNSCC,5,195,0.0256410256410256
LSCC,LSCC,100,100,1.0
LSCC,LUAD,31,169,0.1834319526627219
LUAD,BRCA,7,193,0.0362694300518134
LUAD,ESCA,0,200,0.0
LUAD,HNSCC,12,188,0.0638297872340425
LUAD,LSCC,31,169,0.1834319526627219
LUAD,LUAD,100,100,1.0
