dataset,model_name,version,task_type,status,accuracy,f1,roc_auc,log_loss
ALL_core_cancer_type_top488,tabpfn_v3,v3,multiclass,success,0.9567901234567902,0.9600864940578436,0.997906179792381,0.1386109235076032
BRCA_core_os_event_top500,tabpfn_v3,v3,binary,success,0.8707865168539326,0.0,0.4258064516129032,0.3910616996365645
BRCA_core_source_top500,tabpfn_v3,v3,binary,success,0.994475138121547,0.9969230769230769,0.9969325153374233,0.023876548264095493
ESCA_core_os_event_top500,tabpfn_v3,v3,binary,success,0.6071428571428571,0.15384615384615385,0.59375,0.6754794801081171
HNSCC_core_os_event_top500,tabpfn_v3,v3,binary,success,0.6210526315789474,0.18181818181818182,0.6228070175438597,0.6558289408789884
HNSCC_core_source_top500,tabpfn_v3,v3,binary,success,1.0,1.0,1.0,1.367904891291379e-05
LSCC_core_os_event_top500,tabpfn_v3,v3,binary,success,0.6067415730337079,0.0,0.5084656084656085,0.6598261476588256
LSCC_core_source_top500,tabpfn_v3,v3,binary,success,1.0,1.0,1.0,1.4201246559184278e-05
LUAD_core_os_event_top500,tabpfn_v3,v3,binary,success,0.6666666666666666,0.0,0.6524453694068678,0.6211500979974246
LUAD_core_source_top500,tabpfn_v3,v3,binary,success,1.0,1.0,1.0,0.003889468031006775
