rnaseq_gene__GENE_OR8H1,rnaseq_gene__GENE_RBMY1A3P,rnaseq_gene__GENE_CSPG4P2Y,rnaseq_gene__GENE_CT47A7,rnaseq_gene__GENE_CT47A6,rnaseq_gene__GENE_TSPY3,methylation_gene__GENE_RPUSD2,rnaseq_gene__GENE_SNAR-C4,rnaseq_gene__GENE_RBMY1E,methylation_gene__GENE_ZNF33B,rnaseq_gene__GENE_RBMY3AP,rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_RBMY1A1,methylation_gene__GENE_NDUFB8,rnaseq_gene__GENE_RBMY1J,rnaseq_gene__GENE_SCARNA8,methylation_gene__GENE_FRY,rnaseq_gene__GENE_SCARNA23,methylation_gene__GENE_SYPL1,rnaseq_gene__GENE_TSPY2,methylation_gene__GENE_VEGFA,rnaseq_gene__GENE_CST8,methylation_gene__GENE_CASP6,methylation_gene__GENE_ZNF787,rnaseq_gene__GENE_BCYRN1,rnaseq_gene__GENE_RBMY2FP,methylation_gene__GENE_USP14,rnaseq_gene__GENE_TSPY4,methylation_gene__GENE_PRDX6,rnaseq_gene__GENE_VN1R4,methylation_gene__GENE_ZNF721;PIGG,methylation_gene__GENE_OBFC2B,methylation_gene__GENE_PNN,methylation_gene__GENE_EXT1,methylation_gene__GENE_BID,methylation_gene__GENE_YJU2B,methylation_gene__GENE_ACPL2,methylation_gene__GENE_SORBS1,methylation_gene__GENE_NDE1;KIAA0430,methylation_gene__GENE_DDX11,rnaseq_gene__GENE_SNORA11B,rnaseq_gene__GENE_AMBN,methylation_gene__GENE_RSPH3,methylation_gene__GENE_CNP,rnaseq_gene__GENE_OR2T27,methylation_gene__GENE_CAMK2D,methylation_gene__GENE_LASS5,methylation_gene__GENE_LRRC20,rnaseq_gene__GENE_SCARNA18,rnaseq_gene__GENE_CDY1B,methylation_gene__GENE_NACC1;TRMT1,methylation_gene__GENE_ADAR,rnaseq_gene__GENE_LGALS13,rnaseq_gene__GENE_SULT6B1,methylation_gene__GENE_CDK5RAP1,methylation_gene__GENE_B2M,rnaseq_gene__GENE_DAZ1,methylation_gene__GENE_PPP2R5D,rnaseq_gene__GENE_MYL1,methylation_gene__GENE_H3F3B,methylation_gene__GENE_ZNF619,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_RBMY1F,methylation_gene__GENE_RGS2,methylation_gene__GENE_GMCL1,methylation_gene__GENE_ASCC1;C10ORF104,methylation_gene__GENE_NT5C3L,methylation_gene__GENE_INPP5A,methylation_gene__GENE_NRXN2,rnaseq_gene__GENE_DEFB123,methylation_gene__GENE_MAP3K9,methylation_gene__GENE_TNKS2,methylation_gene__GENE_ZNF444,methylation_gene__GENE_PIGP;TTC3,methylation_gene__GENE_ATP5S;L2HGDH,methylation_gene__GENE_CCNG1,methylation_gene__GENE_ADK;AP3M1,methylation_gene__GENE_ZNF563,rnaseq_gene__GENE_CPS1-IT1,cnv_log2__GENE_RLIM,methylation_gene__GENE_QTRT1,rnaseq_gene__GENE_DEFB115,methylation_gene__GENE_PLEKHB2,methylation_gene__GENE_ENTPD6,methylation_gene__GENE_ARPC1A,methylation_gene__GENE_OSBPL6,methylation_gene__GENE_AP2B1,methylation_gene__GENE_ASAH1,rnaseq_gene__GENE_SSX3,rnaseq_gene__GENE_OTUD6A,methylation_gene__GENE_SLC22A17,methylation_gene__GENE_GSR,methylation_gene__GENE_NRCAM,rnaseq_gene__GENE_OR2W5,methylation_gene__GENE_ACTR1A;SUFU,rnaseq_gene__GENE_S100G,cnv_log2__GENE_SLC16A2,methylation_gene__GENE_DCUN1D4,methylation_gene__GENE_TOR1A,methylation_gene__GENE_PMS1;ORMDL1,target
-0.057666454,-0.030400895,-0.030400893,-0.030400895,-0.030400895,-0.04756436,0.54176915,-0.050053358,-0.030400895,0.14871067,-0.030400895,-0.07355285,-0.044386145,-0.21409152,-0.04061949,-0.16951889,0.6557903,-0.078748696,-0.07018332,-0.061702468,-0.05125228,-0.15146537,0.37512636,0.035926845,-0.078358516,-0.039873518,1.3568002,-0.035875507,0.23064291,-0.054831173,0.30067533,0.47386664,0.36188236,0.047453728,0.77753603,0.4818272,0.7476855,-0.035036173,-0.059406396,-0.62092483,-0.082764626,-0.21529208,0.28290993,0.29769805,-0.050521668,-0.21747942,0.07087298,-0.1851329,-0.100127526,-0.030400895,0.19510004,0.43491757,-0.070756495,-0.1383598,0.7981819,0.17234565,-0.08408102,0.30446488,-0.15378062,0.5484039,0.30465758,-0.067629814,-0.030400896,-0.3316831,0.34237644,0.7692739,-0.07991607,0.11595906,-0.17961895,-0.04597636,0.2569746,0.8020264,0.09150774,0.49041125,0.05212484,0.055059817,-0.0008208119,-0.011687097,-0.114638045,-2.3537295,0.6938821,-0.08156231,0.077585824,0.3547302,0.32924,0.29696387,0.41158846,-0.029027075,5.2497807,-0.1489025,-0.12951767,0.022611057,0.19155665,-0.14741206,0.19357608,-0.36230543,-2.3591254,0.63045555,-0.4428512,0.07848424,0
-0.057666454,-0.030400895,-0.030400893,-0.030400895,-0.030400895,-0.04756436,-0.0707264,-0.050053358,-0.030400895,-0.20189038,-0.030400895,-0.07355285,-0.044386145,-0.3877489,-0.04061949,-0.16951889,-0.31920248,-0.078748696,-0.48064336,-0.061702468,-0.30582115,-0.15146537,-0.3334045,-0.6496399,-0.078358516,-0.039873518,-1.1597393,-0.035875507,-0.4579842,-0.054831173,-0.1900458,-0.3953722,-0.41923362,-0.3300132,-0.4669323,-0.6229121,-0.66036993,-0.52044886,-0.95206517,-0.012735409,-0.082764626,-0.21529208,-0.27988753,-0.6323357,-0.050521668,-0.27908722,-0.23693548,-0.008786143,-0.100127526,-0.030400895,-0.54242903,-0.3432501,-0.070756495,-0.1383598,0.03172992,0.10679096,-0.08408102,-0.1448726,-0.15378062,-0.16216761,-0.08480112,-0.067629814,-0.030400896,-0.38984963,-0.30556974,0.5937603,-0.2829578,-0.4123206,-0.21175788,-0.04597636,-0.3648553,-0.4577368,-0.08530879,-0.41058275,-0.38611126,-0.10858247,-0.40701145,-0.3748469,-0.114638045,0.3135529,-0.24829736,-0.08156231,-0.10229225,-0.55395526,-0.27389368,-0.17863783,-1.523701,-0.059737857,-0.17225634,-0.1489025,-0.405372,-0.18268798,-0.26987532,-0.14741206,0.06372066,-0.36230543,0.30504394,-0.2035684,0.52635306,-0.6284267,0
-0.057666454,-0.030400895,-0.030400893,-0.030400895,-0.030400895,-0.04756436,10.229894,-0.050053358,-0.030400895,-0.066588126,-0.030400895,-0.07355285,-0.044386145,-0.19974081,-0.04061949,-0.16951889,16.977419,-0.078748696,-0.14935572,-0.061702468,0.92865384,-0.15146537,-0.11403511,-0.10581901,-0.078358516,-0.039873518,1.3398998,-0.035875507,-0.022669125,-0.054831173,0.0036797028,0.5107447,-0.15706192,0.28250474,-0.20814203,-0.272925,-0.26756728,0.17854363,-0.27538082,-0.10425809,-0.082764626,-0.21529208,-0.3715321,0.21447335,-0.050521668,-0.29058424,-0.29469705,0.035564743,-0.100127526,-0.030400895,-0.24454752,0.30032864,-0.070756495,-0.1383598,0.1880384,-0.008716016,-0.08408102,0.37450778,-0.15378062,-0.5285604,-0.05531286,-0.067629814,-0.030400896,-0.4065514,-0.003098298,0.23995435,6.2047453,-0.43368965,-0.31572297,-0.04597636,0.039493494,0.120217554,-0.18471089,-0.011934135,4.849765e-05,-0.2724393,0.058151405,-0.16942237,-0.114638045,0.25647095,-0.08217289,-0.08156231,-0.0037010647,0.034216244,-0.45215812,0.2558799,-0.39905912,-0.4016427,-0.17225634,-0.1489025,0.038891412,0.19493385,-0.11547996,-0.14741206,-0.036150683,-0.36230543,0.24802865,-0.092039905,-0.60017574,-0.728334,0
-0.057666454,-0.030400895,-0.030400893,-0.030400895,-0.030400895,-0.04756436,-0.029444681,-0.050053358,-0.030400895,-0.3150327,-0.030400895,-0.07355285,-0.044386145,0.4544646,-0.04061949,-0.16951889,-0.38734296,-0.078748696,10.054507,-0.061702468,-0.1843051,-0.15146537,-0.12802352,0.073780596,-0.078358516,-0.039873518,-0.9540156,-0.035875507,-0.3458404,-0.054831173,-0.1752615,-0.65297306,-0.33125073,-0.28989932,0.43817562,-0.11712981,-0.114545524,-0.667513,0.04094773,0.65168554,-0.082764626,-0.21529208,0.7063027,-0.22647238,-0.050521668,-0.1366942,-0.11912536,-0.17775714,-0.100127526,-0.030400895,-0.17031978,-0.27437282,-0.070756495,-0.1383598,-0.35040656,-0.37691867,-0.08408102,-0.49489924,-0.15378062,-0.12327371,-0.18793975,-0.067629814,-0.030400896,-0.33173263,-0.2841756,-0.4123148,-0.2520474,0.14254373,1.5605413,-0.04597636,-0.37810174,-0.38270107,-0.33786613,-0.5281125,-0.0794803,-0.2891171,-0.00663038,-0.19048701,-0.114638045,-0.5997578,-0.17959459,-0.08156231,-0.6082547,-0.50677174,0.7432187,-0.5345155,0.12507151,-0.042180724,-0.17225634,-0.1489025,-0.47221553,-0.5060736,-0.4688175,-0.14741206,-0.3309967,-0.12835655,-0.6072008,-0.23640743,-0.22018667,0.29207784,0
-0.057666454,-0.030400895,-0.030400893,-0.030400895,-0.030400895,-0.04756436,-0.09964505,-0.050053358,-0.030400895,-0.034732528,-0.030400895,2.4205613,-0.044386145,-0.38731402,-0.04061949,-0.16951889,-0.28886914,-0.078748696,-0.32727182,-0.061702468,-0.3656297,-0.15146537,-0.4885019,-0.18261574,-0.078358516,-0.039873518,1.6713597,-0.035875507,0.052516337,-0.054831173,-0.04696987,0.24947543,-0.05979455,-0.15253839,-0.33822197,0.09525665,-0.24715324,0.31953079,-0.2126288,-0.32431647,-0.082764626,0.96102065,-0.39712322,0.34685025,-0.050521668,-0.35470167,-0.23685376,-0.012360114,-0.100127526,-0.030400895,-0.09760316,-0.17345196,-0.070756495,5.512666,-0.26049864,-0.1965761,-0.08408102,-0.42243168,-0.15378062,-0.40311337,-0.1536663,-0.067629814,-0.030400896,-0.40348002,-0.10176468,0.0575908,-0.15870336,-0.14021826,-0.3727598,-0.04597636,0.04559499,-0.09867363,-0.17030104,0.014584921,-0.019060967,-0.18038625,0.09375771,0.019845208,-0.114638045,2.4930441,-0.1974051,-0.08156231,-0.24028945,0.034229375,-0.34387034,-0.048739262,-0.42354706,-0.25723177,-0.17225634,-0.1489025,0.2400079,-0.14922771,-0.042677138,-0.14741206,0.020650739,-0.36230543,2.4819915,-0.23678796,-0.60558116,-0.73649764,0
-0.057666454,-0.030400895,-0.030400893,-0.030400895,-0.030400895,-0.04756436,-0.14244261,-0.050053358,-0.030400895,-0.09868964,-0.030400895,-0.07355285,-0.044386145,-0.495756,-0.04061949,-0.16951889,-0.0113974,-0.078748696,0.013680111,-0.061702468,0.43371195,-0.15146537,-0.10197237,-0.1544359,-0.078358516,-0.039873518,0.8810512,-0.035875507,-0.10993154,-0.054831173,-0.10377556,0.99198943,-0.20581603,1.1712027,-0.22618856,-0.3740348,0.024879675,0.28691253,-0.44776422,-0.1852889,-0.082764626,-0.21529208,-0.03202064,0.2686984,-0.050521668,-0.30137515,-0.5496858,0.008931163,-0.100127526,-0.030400895,-0.17821845,0.1890032,-0.070756495,-0.1383598,-0.29031622,-0.3203171,-0.08408102,0.40352193,-0.15378062,-0.4501022,-0.10097933,2.2814748,-0.030400896,-0.38825276,0.18948545,0.15557009,-0.055024225,-0.31680766,-0.30463448,-0.04597636,-0.0024062146,-0.20360105,0.035966214,0.068772785,0.06265122,-0.27591515,0.1224443,-0.22471935,-0.114638045,-0.13272394,-0.17338179,-0.08156231,-0.09539298,-0.021814073,-0.6610398,0.13930462,-0.36543214,-0.074454516,-0.17225634,-0.1489025,-0.076030836,0.08227926,0.61813974,-0.14741206,-0.09707295,-0.36230543,-0.14071202,0.041251127,-0.4894442,-0.62392634,0
-0.057666454,-0.030400895,-0.030400893,-0.030400895,-0.030400895,-0.04756436,-0.006336753,-0.050053358,-0.030400895,-0.16840427,-0.030400895,-0.07355285,-0.044386145,-0.43192634,-0.04061949,-0.16951889,-0.02198543,-0.078748696,-0.10067958,-0.061702468,-0.17836002,-0.15146537,-0.3214761,-0.2879293,-0.078358516,-0.039873518,0.6135162,-0.035875507,-0.23372367,-0.054831173,-0.17115928,-0.25047988,0.09272659,0.12289606,-0.40225932,-0.030735927,0.2807133,0.5869054,-0.23670651,-0.31517678,-0.082764626,-0.21529208,-0.32062066,-0.2830614,-0.050521668,-0.3275666,-0.005380332,-0.22907917,-0.100127526,-0.030400895,0.36027178,0.12381957,-0.070756495,-0.1383598,-0.4540141,-0.18169767,-0.08408102,-0.3093328,-0.15378062,-0.5113096,-0.20231354,-0.067629814,-0.030400896,-0.44399878,-0.28660023,-0.6098488,-0.12731563,-0.22595002,-0.043192297,-0.04597636,-0.19231333,-0.089279756,-0.02729209,-0.11547741,-0.45004946,-0.17832027,0.218851,-0.10477052,-0.114638045,-0.02374936,-0.12025947,-0.08156231,-0.1458253,-0.16906242,-0.10980881,-0.062082857,1.1541361,-0.21521895,-0.17225634,-0.1489025,-0.14241439,0.25592124,-0.10843864,2.3434784,-0.14683536,-0.36230543,-0.03186462,-0.15942761,-0.61302066,-0.012349918,0
-0.057666454,-0.030400895,-0.030400893,-0.030400895,-0.030400895,-0.04756436,-0.23226331,-0.050053358,-0.030400895,-0.22532411,-0.030400895,-0.07355285,-0.044386145,-0.21327667,-0.04061949,-0.16951889,-0.42714083,-0.078748696,-0.52993363,-0.061702468,-0.4224554,-0.15146537,-0.45180196,-0.5648893,-0.078358516,-0.039873518,-1.919306,-0.035875507,0.12205048,-0.054831173,-0.23807757,-0.5837791,-0.48219112,-0.3694716,-0.096975856,-0.6309136,-0.8805329,-0.44447336,-0.40845042,-0.15517183,-0.082764626,-0.21529208,-0.3862068,-0.4233401,-0.050521668,2.1221137,-0.5106273,-0.37438908,-0.100127526,-0.030400895,4.415684,-0.22805837,-0.070756495,-0.1383598,-0.9716124,-0.48867714,-0.08408102,-0.89842886,-0.15378062,-0.24403438,-0.1663969,-0.067629814,-0.030400896,1.1609809,-0.64196527,-0.40762213,-0.25556234,-0.5185433,-0.24386054,-0.04597636,-0.21860923,-0.63090295,-0.22377834,-0.50137776,0.2170256,0.02635211,-0.5047256,-0.3625162,-0.114638045,-0.2416985,-0.2507075,-0.08156231,-0.32771432,-0.63385886,-0.96876305,-0.15361354,-0.71990484,-0.4526571,-0.17225634,-0.1489025,2.0477738,-0.96622086,3.5133264,-0.14741206,-0.13434416,-0.12370364,-0.24955939,-0.14184256,1.0485597,-0.873124,0
-0.057666454,-0.030400895,-0.030400893,-0.030400895,-0.030400895,-0.04756436,0.020923164,-0.050053358,-0.030400895,-0.062103976,-0.030400895,-0.07355285,-0.044386145,17.088186,-0.04061949,-0.16951889,0.0053541134,-0.078748696,0.08506472,-0.061702468,0.07154202,-0.15146537,-0.0295345,-0.12132835,-0.078358516,-0.039873518,1.4558551,-0.035875507,-0.04518739,-0.054831173,0.0320534,0.37442306,-0.12249072,0.22430259,0.03582428,0.13953227,-0.2745591,0.37145784,-0.14209785,-0.22606361,-0.082764626,-0.21529208,-0.1886873,0.160025,-0.050521668,-0.26316276,-0.116136685,0.07321998,-0.100127526,-0.030400895,-0.5251848,0.20504797,-0.070756495,-0.1383598,-0.039698705,-0.19716755,-0.08408102,0.4799726,-0.15378062,-0.5436288,-0.03998788,-0.067629814,-0.030400896,-0.39103696,0.1411506,0.21221788,-0.12019074,-0.62787867,15.924743,-0.04597636,-0.06892276,-0.048224147,0.10853284,-0.019686019,0.054476775,0.15242913,-0.14327101,0.26600382,-0.114638045,1.5122731,-0.09881759,-0.08156231,-0.042548295,0.24420565,-0.07282478,0.045141302,-0.44104022,-0.34034875,-0.17225634,-0.1489025,0.5324965,-0.0154731115,0.44848832,-0.14741206,-0.07081715,-0.36230543,1.5023651,0.024911541,-0.26069397,-0.61610097,1
-0.057666454,-0.030400895,-0.030400893,-0.030400895,-0.030400895,-0.04756436,-0.38542843,-0.050053358,-0.030400895,-0.215282,-0.030400895,-0.07355285,-0.044386145,-0.5649324,-0.04061949,-0.16951889,-0.42187744,-0.078748696,-0.33368596,-0.061702468,0.26323688,-0.15146537,-0.33755788,-0.35808924,-0.078358516,-0.039873518,0.96867776,-0.035875507,-0.40793177,-0.054831173,-0.011208238,0.042629994,0.042190827,0.1060102,0.43986553,-0.34113163,0.03350993,0.5132475,0.008317136,-0.360369,-0.082764626,2.1787963,-0.34010485,-0.36723718,-0.050521668,-0.3533312,-0.51736444,-0.11463351,-0.100127526,-0.030400895,-0.010913483,0.01058094,-0.070756495,-0.1383598,-0.12431726,-0.13442436,-0.08408102,-0.5756773,-0.15378062,-0.7871264,0.12636045,-0.067629814,-0.030400896,0.058045674,-0.2295711,-0.32968247,-0.12820947,-0.3589384,-0.21146533,-0.04597636,-0.09256962,-0.014574458,-0.082182914,-0.11513822,0.46479353,-0.31620455,-0.47484142,-0.12345729,-0.114638045,-0.11196687,1.1470495,-0.08156231,-0.46475083,-0.3386324,-0.52935684,0.4117242,0.63838315,-0.11507223,-0.17225634,-0.1489025,-0.22646178,-0.17362384,-0.26866615,-0.14741206,-0.7945572,0.25257152,-0.11997918,-0.28760648,-0.5016864,-0.31086245,0
