scope,endpoint,cancer,repeat,fold,model_name,n_train,n_validation,n_test,status,threshold,threshold_source,fit_time_s,predict_time_s,accuracy,balanced_accuracy,f1,sensitivity,specificity,roc_auc,pr_auc,log_loss,brier,prediction_path
per_cancer,os_3yr,BRCA,0,2,random_forest,320,81,100,success,0.08333333333333333,validation split balanced accuracy,0.3493320150009822,0.07354026800021529,0.39,0.4734848484848485,0.18666666666666668,0.5833333333333334,0.36363636363636365,0.5643939393939394,0.16419009324193207,0.37476886749555693,0.10747577777777799,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_00_fold_02/random_forest/test_predictions.csv
per_cancer,os_3yr,BRCA,0,2,catboost,320,81,100,success,0.07166718745811848,validation split balanced accuracy,2.0676689139982045,0.005772070999228163,0.53,0.553030303030303,0.22950819672131148,0.5833333333333334,0.5227272727272727,0.5729166666666666,0.2121580428216584,0.370008466156827,0.10543703615900332,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_00_fold_02/catboost/test_predictions.csv
per_cancer,os_3yr,BRCA,0,2,xgboost,320,81,100,success,0.00807036180049181,validation split balanced accuracy,0.2127191559993662,0.006608427000173833,0.35,0.5946969696969697,0.25287356321839083,0.9166666666666666,0.2727272727272727,0.5634469696969696,0.22120719178082188,0.4690284104620253,0.1094545228401115,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_00_fold_02/xgboost/test_predictions.csv
per_cancer,os_3yr,BRCA,0,2,lightgbm,320,81,100,success,0.0006899962003032855,validation split balanced accuracy,0.09802512600072077,0.006921814998349873,0.46,0.5492424242424242,0.22857142857142856,0.6666666666666666,0.4318181818181818,0.5274621212121211,0.15556354068432238,0.7987654333833178,0.11680863249340107,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_00_fold_02/lightgbm/test_predictions.csv
per_cancer,os_3yr,BRCA,0,3,logistic_regression,320,81,100,success,0.21666119443358817,validation split balanced accuracy,0.01081893599985051,0.0041753110017452855,0.8,0.5267857142857143,0.16666666666666666,0.125,0.9285714285714286,0.4657738095238096,0.17260810609171678,0.5122063847284803,0.15314990248625354,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_00_fold_03/logistic_regression/test_predictions.csv
per_cancer,os_3yr,BRCA,0,3,random_forest,320,81,100,success,0.09,validation split balanced accuracy,0.3459946229995694,0.07687364099911065,0.45,0.5714285714285714,0.3037974683544304,0.75,0.39285714285714285,0.5900297619047619,0.2070830638337411,0.45193100869743835,0.13839022222222222,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_00_fold_03/random_forest/test_predictions.csv
per_cancer,os_3yr,BRCA,0,3,catboost,320,81,100,success,0.07803286315940973,validation split balanced accuracy,1.8386396770001738,0.0059128899993083905,0.47,0.5074404761904762,0.2535211267605634,0.5625,0.4523809523809524,0.5505952380952381,0.20495245958184502,0.46900311681290113,0.13992222182261352,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_00_fold_03/catboost/test_predictions.csv
per_cancer,os_3yr,BRCA,0,3,xgboost,320,81,100,success,0.011866023764014244,validation split balanced accuracy,0.20042883100177278,0.006614088000787888,0.53,0.6190476190476191,0.3380281690140845,0.75,0.4880952380952381,0.6116071428571429,0.23653083856130971,0.6314042163562152,0.1510499923777897,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_00_fold_03/xgboost/test_predictions.csv
per_cancer,os_3yr,BRCA,0,3,lightgbm,320,81,100,success,5.304921609037406e-05,validation split balanced accuracy,0.09345766499973251,0.006780785999580985,0.23,0.5416666666666666,0.29357798165137616,1.0,0.08333333333333333,0.6116071428571428,0.26106251684943327,0.9247039983257815,0.1499044172135661,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_00_fold_03/lightgbm/test_predictions.csv
per_cancer,os_3yr,BRCA,0,4,logistic_regression,320,81,100,success,0.09335584262198736,validation split balanced accuracy,0.010979964001307962,0.003955713000323158,0.54,0.5460704607046071,0.30303030303030304,0.5555555555555556,0.5365853658536586,0.5575880758807588,0.2426719535884044,0.5738542320782086,0.15415917826248077,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_00_fold_04/logistic_regression/test_predictions.csv
per_cancer,os_3yr,BRCA,0,4,random_forest,320,81,100,success,0.13333333333333333,validation split balanced accuracy,0.3544928590017662,0.07515482999951928,0.55,0.5521680216802168,0.3076923076923077,0.5555555555555556,0.5487804878048781,0.6124661246612466,0.3122807377079291,0.4695255316387527,0.14458655555555563,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_00_fold_04/random_forest/test_predictions.csv
per_cancer,os_3yr,BRCA,0,4,catboost,320,81,100,success,0.04601434414088112,validation split balanced accuracy,2.5867795510021097,0.005809913000121014,0.42,0.6029810298102981,0.35555555555555557,0.8888888888888888,0.3170731707317073,0.5962059620596206,0.2846557094089618,0.5183273054854675,0.15487520029559393,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_00_fold_04/catboost/test_predictions.csv
