scope,endpoint,model_name,n_fold_runs,accuracy_mean,balanced_accuracy_mean,f1_mean,sensitivity_mean,specificity_mean,roc_auc_mean,pr_auc_mean,log_loss_mean,brier_mean,fit_time_s_mean,predict_time_s_mean,n_train_mean,n_validation_mean,n_test_mean,accuracy_std,balanced_accuracy_std,f1_std,sensitivity_std,specificity_std,roc_auc_std,pr_auc_std,log_loss_std,brier_std
per_cancer,extreme_os,catboost,100,0.5406637163923009,0.5427825786668371,0.5161169403720131,0.4854942743122617,0.6000708830214125,0.5884357365545828,0.7301443813596373,0.5360905602715323,0.1718964377242715,1.3911991840901827,0.005834255160152629,149.7,37.7,46.85,0.15616922858888102,0.08392458891554991,0.24140981997370442,0.26953826826035326,0.30443859564880543,0.10215865850706281,0.22541483555916575,0.1302251270728065,0.04813936678156118
per_cancer,extreme_os,lightgbm,100,0.5720312005344794,0.5422719911854492,0.5588234427374228,0.5431305342858637,0.5414134480850349,0.5719729427812248,0.7180212366224784,0.872271629793313,0.20549814307593364,0.04335452881005034,0.006139538699899226,149.7,37.7,46.85,0.16648553618631654,0.07360548717022247,0.24870012646364317,0.2826886703706631,0.2946619304368514,0.09757128606773742,0.23133688298732105,0.2752008713103471,0.05926765848947777
per_cancer,extreme_os,logistic_regression,100,0.5254733641042726,0.5192966077985787,0.5222932317956657,0.5105076220690902,0.528085593528067,0.5377175886383794,0.6963273821924121,0.591061651638098,0.1850310253373098,0.009829993139974201,0.004317836619920804,149.7,37.7,46.85,0.16449305459283764,0.07936213614197578,0.25620744137294377,0.2731947983067353,0.28218459664056955,0.11485005870622998,0.25141350488123554,0.1657768401087149,0.05451195355787627
per_cancer,extreme_os,random_forest,100,0.5373866319599095,0.5434373840752945,0.5257308772901559,0.5056784583580048,0.5811963097925841,0.583028785652883,0.7271666137247322,0.5616451002449658,0.1718403706083788,0.3460688089902396,0.07542046734968604,149.7,37.7,46.85,0.15525438241510844,0.07997335701389043,0.23866251676490496,0.2667963634076834,0.2917929838456825,0.1002920003032726,0.22691392998819912,0.19981240075136872,0.04473089158716693
per_cancer,extreme_os,xgboost,100,0.5587489164128931,0.5425694486562215,0.5418887140448443,0.5257474989885965,0.5593913983238464,0.5709300254737899,0.7203694483235502,0.6965495243047691,0.19514394668530546,0.10947953373015476,0.0060854652401394075,149.7,37.7,46.85,0.17584239716267708,0.08223804100833261,0.255883910662131,0.2893634891174574,0.2832984667396946,0.1111412150851415,0.22655177400910598,0.2137558099771623,0.05817539533884531
per_cancer,os_3yr,catboost,125,0.5350421322728792,0.5214067716259614,0.44732437347480114,0.4913417857685913,0.5514717574833315,0.5362498009332969,0.5574330687991016,0.6113568395067782,0.21004127274989265,1.6529065533920075,0.0058055239597742435,210.32,52.88,65.8,0.12925027106691228,0.08884409095211486,0.20882791737597692,0.25027482558183317,0.27131710987714713,0.11944133351074131,0.20228842598397145,0.12672900028212386,0.058230914528498164
per_cancer,os_3yr,lightgbm,125,0.543764130758087,0.5218971775422366,0.4491553688928688,0.5027583576172362,0.541035997467237,0.5340893874712263,0.5549558370024975,0.8641857518288696,0.2520890401727546,0.05968791022404907,0.006271796888002379,210.32,52.88,65.8,0.13369477715972614,0.08026270204962166,0.22334540517955903,0.2721997103761643,0.29417562050102664,0.11205294071314918,0.20187692204869156,0.18085017753411542,0.08039703009668354
per_cancer,os_3yr,logistic_regression,125,0.5027776639346382,0.4961061660340978,0.40344822047245055,0.4593938938021039,0.5328184382660917,0.5063222354126564,0.5282356727644898,0.6606051263600651,0.22348760784481075,0.010606511736113988,0.004348532655741971,210.32,52.88,65.8,0.12468603011325372,0.08324168560185538,0.21677984023753633,0.2779258244246701,0.29337202421488423,0.11396222654619131,0.2081051859942608,0.14779110816344848,0.06487108351987404
per_cancer,os_3yr,random_forest,125,0.5409807503429358,0.5207019016716208,0.4666544071056494,0.5260143292376244,0.5153894741056173,0.5432496572218571,0.5534067143908878,0.6184904746687105,0.21048008465285004,0.3485732533277478,0.07571158987999657,210.32,52.88,65.8,0.11962105291349587,0.08394018248447713,0.20963224891285628,0.24997982486238898,0.27689278655190713,0.12098029653491894,0.2000261579209269,0.12332488088568819,0.05804541882984
per_cancer,os_3yr,xgboost,125,0.5336262905691682,0.5253721430637175,0.4310988484316882,0.4901984370713936,0.5605458490560414,0.5439659877184312,0.5566570901678087,0.7700338447660966,0.2454327489693111,0.16334790429609705,0.006115998455817996,210.32,52.88,65.8,0.1420660345122737,0.07855760817880879,0.22986203126546156,0.2955695493237228,0.30761443543469397,0.11301919559838933,0.20728252585692017,0.187513136833513,0.0791872082316402
per_cancer,os_5yr,catboost,100,0.5195083408317955,0.5402500843453335,0.5075581193401202,0.4763651205338323,0.6041350481568347,0.5510348041853742,0.706892283284788,0.5735965314549755,0.1897950380222202,1.5311673960899135,0.005880699979970761,186.74,46.86,58.4,0.12491948011330482,0.062010464851018104,0.20055515877126792,0.24082908330720643,0.2649237627103182,0.08397943270551235,0.2001417733474698,0.0756426560119221,0.031289623247983345
per_cancer,os_5yr,lightgbm,100,0.5211874165637217,0.5294298757802889,0.5088133485368702,0.4892253302816243,0.5696344212789534,0.5557028145109196,0.7018595419376282,0.9056995825246112,0.23024698726948023,0.053091765460158015,0.00631532750008768,186.74,46.86,58.4,0.14128271118240077,0.06566114942790892,0.21860458449283637,0.2673896172693925,0.2937609823559857,0.07975215277835475,0.2052844934948751,0.202783506685454,0.04470701620119435
per_cancer,os_5yr,logistic_regression,100,0.5375083825181615,0.5209241815196876,0.5419903573272439,0.5248382007842538,0.5170101622551212,0.5271540918739155,0.6810992750848159,0.6180138506931462,0.2004255517405019,0.010058523649968214,0.004181233489944084,186.74,46.86,58.4,0.13010756927299874,0.06808453153637004,0.2204864289550182,0.239219377479379,0.25156089334866016,0.09273058885004351,0.20503356645179793,0.10128246199304133,0.03456721609411994
per_cancer,os_5yr,random_forest,100,0.5417655757039658,0.539894970386029,0.5371208857935797,0.5021940085569154,0.5775959322151425,0.5555273951530624,0.7090729158198428,0.5839457810643208,0.18966223985772096,0.34595260374979264,0.07577436092004058,186.74,46.86,58.4,0.13147864433572196,0.06574714325278898,0.19551001324608622,0.22813434543926586,0.24956054350809545,0.08096932065488896,0.1916879443904175,0.10500627120843631,0.028891217074917947
per_cancer,os_5yr,xgboost,100,0.5168450624532934,0.5355130775933202,0.5341743937537176,0.5275855767676869,0.5434405784189534,0.5526294321885343,0.7006911360259565,0.7478323292391309,0.2201432294055271,0.14064886749983996,0.006250094420138289,186.74,46.86,58.4,0.1315525005706507,0.06242341710320569,0.18751275721105806,0.24666445045769242,0.2871471061441318,0.08311564762590444,0.20300107559403224,0.1367592568537914,0.04489080712003272
pooled,extreme_os,catboost,25,0.7511434747980431,0.7305622293101227,0.8047263165792475,0.7999458270102189,0.6611786316100268,0.7818914053267046,0.8392068357033619,0.5238597234226133,0.16908102545342513,2.0434732197203265,0.006812906319973948,599.6,150.0,187.4,0.03362508770906557,0.023653190958183853,0.03685027583489644,0.07248566167030251,0.06310748563735168,0.02626935776349851,0.036594962878488214,0.03860081041513318,0.014500607387074897
pooled,extreme_os,lightgbm,25,0.7375014222323358,0.7095610775383396,0.7946981960075381,0.8016655805229882,0.6174565745536911,0.7618629155058563,0.819800346524522,0.8332793339313147,0.20185752575908444,0.16479984635938305,0.007657471840066096,599.6,150.0,187.4,0.046592601934431856,0.030132678436212767,0.05518487446739651,0.10254861728743916,0.0793273131106531,0.03392967113411203,0.03884616646621012,0.1058661887152642,0.018854152953063332
pooled,extreme_os,logistic_regression,25,0.5201297075890318,0.5262971857672443,0.5580355018606645,0.515433733627791,0.5371606379066975,0.5223343995245217,0.6694064520005096,0.7929725363235935,0.26071801339649875,0.014530011880560727,0.004493985759909212,599.6,150.0,187.4,0.0644164010443224,0.03622003748304583,0.15246495683945283,0.19812422706551136,0.21493459780667498,0.0422379809027501,0.0461276233813478,0.06978792151698666,0.015065391306352831
pooled,extreme_os,random_forest,25,0.7489520992149278,0.723437773625752,0.8043741503877816,0.8104753020957429,0.6364002451557611,0.7807536384474087,0.846769889490898,0.5440668841027937,0.17014944808468546,0.3746497736802848,0.07456876235955856,599.6,150.0,187.4,0.04533308527011552,0.030372319682279172,0.048637541477533595,0.09266566132396219,0.06805005309772322,0.028068235949699573,0.02918794665825477,0.05412380038314032,0.013800495491630989
pooled,extreme_os,xgboost,25,0.747099783820685,0.7161328448830168,0.8052404650680982,0.8170777240036982,0.6151879657623354,0.7679974430846654,0.8285559580070125,0.6482040915864193,0.18894323730651444,0.27053152360022065,0.006943054600123963,599.6,150.0,187.4,0.03640189098656046,0.027292574983419436,0.040627340648175816,0.07868326965035329,0.07432818224818201,0.03150066551893331,0.039658560998152896,0.07041294259179576,0.01671030133673745
pooled,os_3yr,catboost,25,0.6345288753799392,0.6610880757722676,0.6435290406288777,0.8105390819372783,0.5116370696072569,0.712939471382666,0.6074956456595658,0.6078227595502323,0.21012249283519735,3.9592490177202855,0.007492255399847591,1052.6,263.4,329.0,0.024383771110961676,0.020496656106313148,0.03445130890389073,0.09383280481872078,0.08490394520433829,0.03054025745988844,0.04456052408218211,0.02685475648296383,0.011230966648154253
pooled,os_3yr,lightgbm,25,0.6243161094224924,0.6507033156943527,0.6328011809890485,0.7925851085141477,0.5088215228745577,0.6980637476418091,0.5848746526576938,0.8295660113571679,0.2504274204902368,0.3650063107200549,0.009433497719583052,1052.6,263.4,329.0,0.025671447739250102,0.02180885336319118,0.0303038579681185,0.07764132294392606,0.07210953055797092,0.026157142153299607,0.043276373951579405,0.06449771761926926,0.017117113179208707
pooled,os_3yr,logistic_regression,25,0.5548936170212766,0.5267103221190708,0.3611932515547298,0.3474245256833391,0.7059961185548024,0.5359160489113018,0.458827549378219,0.7092909136204233,0.25246807403587684,0.016086891160084583,0.004779528439830708,1052.6,263.4,329.0,0.04348452528964184,0.023221616596136623,0.12124487875172284,0.19549171877915586,0.1998199847916965,0.03413407402017111,0.0403172738511865,0.020614486497579382,0.009165430403948538
pooled,os_3yr,random_forest,25,0.6370820668693009,0.6629006541877697,0.6439427277060439,0.8077734850311212,0.518027823344418,0.7159593466887146,0.6000306994173483,0.603116949950204,0.20832062487949227,0.44240816592035115,0.08765458927970025,1052.6,263.4,329.0,0.027285173271520243,0.02435358737125089,0.04000776867409751,0.10309987653025271,0.08648128323006059,0.028363402493861746,0.03934059098748614,0.022804881185740433,0.008870571058440923
pooled,os_3yr,xgboost,25,0.6232218844984803,0.6501991180386409,0.6341373069648327,0.8025054574647428,0.49789277861253917,0.7007256972408206,0.587521095760961,0.6914122247431606,0.23094001340892603,0.6612122270796681,0.0073527362804452,1052.6,263.4,329.0,0.023022853150695806,0.020592847267479945,0.037816138196418415,0.08672868577939738,0.07290321308715607,0.025169702502081198,0.04515269465773014,0.04132895749138962,0.014246485341415706
pooled,os_5yr,catboost,25,0.728949048090679,0.7038227247329297,0.7872099658414158,0.8124208254253067,0.5952246240405529,0.748541691990633,0.808704779121139,0.5654861175033744,0.18838927692705287,2.253614773400186,0.006944149320188397,747.4,187.0,233.6,0.030532918336417105,0.02468152418885303,0.03124712405581387,0.06768771010925369,0.060712633441755315,0.02250308305755671,0.028392060445656914,0.02511289704564641,0.009695034652246772
pooled,os_5yr,lightgbm,25,0.6898932540992626,0.6710329925372212,0.749860403440543,0.7582923827767108,0.5837736022977316,0.7191816715071734,0.7717261143771696,0.8729115916798807,0.23070880986751277,0.22055007516013572,0.007853312919905832,747.4,187.0,233.6,0.035874535569743154,0.02428743182414102,0.0435563574982531,0.0953390159613847,0.08053085375091984,0.02620431540305623,0.02931027942727998,0.08389624849535753,0.014935847282189442
pooled,os_5yr,logistic_regression,25,0.523632295220278,0.5460258876492827,0.5069296668390347,0.44406734882646176,0.6479844264721036,0.5418876330518702,0.6634857902905731,0.7418402178106196,0.2559165581210687,0.015949280520580887,0.004693218800239208,747.4,187.0,233.6,0.06836440017356145,0.04505714038627214,0.18459900267827345,0.19419196608786746,0.17416360141829637,0.041810900971613975,0.035553156466958,0.05041864317307317,0.011441289442190358
pooled,os_5yr,random_forest,25,0.7251560837826933,0.6981299183087855,0.7841048276778618,0.8112207119877382,0.5850391246298328,0.7471242337658225,0.8077104802755093,0.5738612341667896,0.18894038120957168,0.3782986155198887,0.07463811899986462,747.4,187.0,233.6,0.03606347513809589,0.026637778068453858,0.03865638830376572,0.07598781820023581,0.05497849926970063,0.024928404455224172,0.023353453674223396,0.03921288138833548,0.010213189090530437
pooled,os_5yr,xgboost,25,0.7059961116613477,0.6835357780102459,0.7650414234459632,0.7807038934803061,0.5863676625401856,0.7336567498641152,0.7893692230742586,0.679441804855176,0.21098137819312096,0.34373574283978087,0.007130327720078588,747.4,187.0,233.6,0.042263601358716416,0.03605982290757208,0.04800950027750259,0.09157556652610331,0.09305921088703208,0.025521645801746283,0.02843785351987378,0.052653614960355075,0.014233137360282531
