model_name,n_fold_runs,accuracy_mean,balanced_accuracy_mean,f1_mean,sensitivity_mean,specificity_mean,roc_auc_mean,pr_auc_mean,log_loss_mean,brier_mean,fit_time_s_mean,predict_time_s_mean,n_train_mean,n_validation_mean,n_test_mean,accuracy_std,balanced_accuracy_std,f1_std,sensitivity_std,specificity_std,roc_auc_std,pr_auc_std,log_loss_std,brier_std
catboost,400,0.5644075180330902,0.5646648462496131,0.5354242143295049,0.5454407651625085,0.5838889273367177,0.5926564835203948,0.6744199539410798,0.5745438228072589,0.1915353163719441,1.7631460061575763,0.00607104696246092,299.81,75.19,93.75,0.14276140468957194,0.09811350110467523,0.22399275522484746,0.2625748180563357,0.2557143407344881,0.12251235028807159,0.20965208504766136,0.1087217650094918,0.046434546517816096
lightgbm,400,0.5714628692460831,0.557974421334003,0.5433552368749153,0.5622348948856237,0.5537139477823824,0.5850161438237217,0.6644189633007688,0.8730356590865255,0.2304012173976414,0.08966131002754077,0.006632670732469656,299.81,75.19,93.75,0.14590277670634838,0.08937526412746347,0.2309314485251338,0.2720234019885195,0.26743211569870107,0.11381003808037987,0.21002693413318674,0.20252477065648528,0.061706128187393586
logistic_regression,400,0.5227794328745946,0.515027961436197,0.48128336744427,0.48407989803509294,0.5459760248373009,0.5244522487875097,0.6214127990375414,0.6489644568049961,0.21427293706804654,0.011197050587597863,0.004356604794884283,299.81,75.19,93.75,0.1289822392529754,0.07281455426639999,0.227690779923231,0.2564472920244018,0.2679884326268361,0.09950685508108133,0.21634630041551792,0.14076317108156935,0.05470265606193409
random_forest,400,0.5707939270148189,0.5638317045203566,0.5510687996021798,0.5681894383101503,0.5594739707305628,0.5946443892646883,0.6729064224572809,0.5872413104250305,0.19161383245639993,0.35664427954496203,0.0762624208198758,299.81,75.19,93.75,0.1396059130274948,0.09568061202315806,0.21910779908045924,0.25515085029293355,0.2502897112948101,0.12082262754712556,0.2083482720063708,0.1352231361346989,0.04505965687169715
xgboost,400,0.5654265717681938,0.5618161600780411,0.541510366801974,0.5665382227081781,0.5570940974479042,0.5885279787144408,0.6670608790674564,0.7279221724494275,0.21994856738240295,0.19329578874500836,0.006334271845053033,299.81,75.19,93.75,0.15130181022280376,0.09112348264560576,0.23145951521690122,0.27797421201900724,0.26737470898727134,0.1184687544710317,0.21061982795635192,0.17030325137575056,0.06132052170859097
