dataset,model_name,version,task_type,status,accuracy,f1,roc_auc,log_loss
BRCA_core_os_3yr_event_top100,tabpfn_v2,v2,binary,success,0.8552631578947368,0.0,0.7216783216783217,0.383518150446762
BRCA_core_os_3yr_event_top100,tabpfn_v2_5,v2_5,binary,success,0.8552631578947368,0.0,0.641958041958042,0.3885430098025013
BRCA_core_os_3yr_event_top100,tabpfn_v2_6,v2_6,binary,success,0.868421052631579,0.16666666666666666,0.641958041958042,0.3694309163402479
BRCA_core_os_3yr_event_top100,tabpfn_v3,v3,binary,success,0.868421052631579,0.16666666666666666,0.5664335664335665,0.3875920794126618
BRCA_core_os_5yr_event_top100,tabpfn_v2,v2,binary,success,0.7169811320754716,0.0,0.6035087719298246,0.5805018659087904
BRCA_core_os_5yr_event_top100,tabpfn_v2_5,v2_5,binary,success,0.7169811320754716,0.0,0.5947368421052631,0.5763073100094839
BRCA_core_os_5yr_event_top100,tabpfn_v2_6,v2_6,binary,success,0.7358490566037735,0.125,0.5464912280701755,0.5828900590195274
BRCA_core_os_5yr_event_top100,tabpfn_v3,v3,binary,success,0.7358490566037735,0.125,0.5842105263157894,0.5718562154271083
ESCA_core_os_3yr_event_top100,tabpfn_v2,v2,binary,success,0.7692307692307693,0.8695652173913043,0.23333333333333334,0.5596449482388756
ESCA_core_os_3yr_event_top100,tabpfn_v2_5,v2_5,binary,success,0.7692307692307693,0.8695652173913043,0.23333333333333334,0.5735895105542087
ESCA_core_os_3yr_event_top100,tabpfn_v2_6,v2_6,binary,success,0.7692307692307693,0.8695652173913043,0.4,0.5781184718313622
ESCA_core_os_3yr_event_top100,tabpfn_v3,v3,binary,success,0.7692307692307693,0.8695652173913043,0.5333333333333333,0.5507041972118909
HNSCC_core_os_3yr_event_top100,tabpfn_v2,v2,binary,success,0.5,0.6588235294117647,0.46033653846153844,0.7066636555213175
HNSCC_core_os_3yr_event_top100,tabpfn_v2_5,v2_5,binary,success,0.5172413793103449,0.65,0.45132211538461536,0.7070820229511947
HNSCC_core_os_3yr_event_top100,tabpfn_v2_6,v2_6,binary,success,0.5344827586206896,0.6582278481012658,0.5264423076923077,0.6899324509656745
HNSCC_core_os_3yr_event_top100,tabpfn_v3,v3,binary,success,0.5689655172413793,0.6987951807228916,0.4639423076923077,0.6936236272058472
HNSCC_core_os_5yr_event_top100,tabpfn_v2,v2,binary,success,0.813953488372093,0.8974358974358975,0.6857142857142857,0.45265569350208706
HNSCC_core_os_5yr_event_top100,tabpfn_v2_5,v2_5,binary,success,0.813953488372093,0.8974358974358975,0.6285714285714286,0.46530418124002176
HNSCC_core_os_5yr_event_top100,tabpfn_v2_6,v2_6,binary,success,0.813953488372093,0.8974358974358975,0.65,0.45178829646150886
HNSCC_core_os_5yr_event_top100,tabpfn_v3,v3,binary,success,0.813953488372093,0.8974358974358975,0.625,0.4609216928856071
LSCC_core_os_3yr_event_top100,tabpfn_v2,v2,binary,success,0.42592592592592593,0.41509433962264153,0.4464285714285715,0.7104470131500172
LSCC_core_os_3yr_event_top100,tabpfn_v2_5,v2_5,binary,success,0.46296296296296297,0.4528301886792453,0.47115384615384615,0.7113327408682288
LSCC_core_os_3yr_event_top100,tabpfn_v2_6,v2_6,binary,success,0.48148148148148145,0.5,0.46703296703296704,0.7140400309139354
LSCC_core_os_3yr_event_top100,tabpfn_v3,v3,binary,success,0.42592592592592593,0.39215686274509803,0.478021978021978,0.7039845526476343
LSCC_core_os_5yr_event_top100,tabpfn_v2,v2,binary,success,0.6976744186046512,0.821917808219178,0.5987179487179487,0.5955817330747546
LSCC_core_os_5yr_event_top100,tabpfn_v2_5,v2_5,binary,success,0.6976744186046512,0.821917808219178,0.5858974358974359,0.5959691010457367
LSCC_core_os_5yr_event_top100,tabpfn_v2_6,v2_6,binary,success,0.627906976744186,0.7714285714285715,0.5333333333333333,0.6180309746252834
LSCC_core_os_5yr_event_top100,tabpfn_v3,v3,binary,success,0.6976744186046512,0.821917808219178,0.6282051282051282,0.5938027891522828
LUAD_core_os_3yr_event_top100,tabpfn_v2,v2,binary,success,0.5,0.07692307692307693,0.5104166666666667,0.692014621488083
LUAD_core_os_3yr_event_top100,tabpfn_v2_5,v2_5,binary,success,0.5,0.2,0.47135416666666674,0.693475062930362
LUAD_core_os_3yr_event_top100,tabpfn_v2_6,v2_6,binary,success,0.4791666666666667,0.46808510638297873,0.4678819444444445,0.700656877722293
LUAD_core_os_3yr_event_top100,tabpfn_v3,v3,binary,success,0.4583333333333333,0.1875,0.45833333333333337,0.6935198834437998
LUAD_core_os_5yr_event_top100,tabpfn_v2,v2,binary,success,0.7631578947368421,0.8656716417910447,0.4291187739463601,0.557624997356072
LUAD_core_os_5yr_event_top100,tabpfn_v2_5,v2_5,binary,success,0.7631578947368421,0.8656716417910447,0.4674329501915709,0.5554521199106385
LUAD_core_os_5yr_event_top100,tabpfn_v2_6,v2_6,binary,success,0.7631578947368421,0.8656716417910447,0.4827586206896552,0.5715872130116599
LUAD_core_os_5yr_event_top100,tabpfn_v3,v3,binary,success,0.7631578947368421,0.8656716417910447,0.5402298850574713,0.55207629236407
