scope,endpoint,cancer,repeat,fold,model_name,n_train,n_validation,n_test,status,threshold,threshold_source,fit_time_s,predict_time_s,accuracy,balanced_accuracy,f1,sensitivity,specificity,roc_auc,pr_auc,log_loss,brier,prediction_path,error_type,error_message,traceback_path
per_cancer,os_3yr,BRCA,0,0,tabpfn_v2,320,80,101,success,0.1301403045654297,validation split balanced accuracy,0.2856991950002339,8.891537067000172,0.7128712871287128,0.6393939393939394,0.2926829268292683,0.5454545454545454,0.7333333333333333,0.6454545454545454,0.3253750640769192,0.3296595376486552,0.09280600768205775,/opt/tabr1_results/per_cancer/os_3yr/BRCA/repeat_00_fold_00/tabpfn_v2/test_predictions.csv,,,
per_cancer,os_3yr,BRCA,0,0,tabpfn_v2_5,320,80,101,success,0.12882089614868164,validation split balanced accuracy,0.21186224400025822,6.472502839000299,0.693069306930693,0.5883838383838383,0.24390243902439024,0.45454545454545453,0.7222222222222222,0.5777777777777778,0.2806345140579808,0.3356900339478463,0.0942897175778477,/opt/tabr1_results/per_cancer/os_3yr/BRCA/repeat_00_fold_00/tabpfn_v2_5/test_predictions.csv,,,
per_cancer,os_3yr,BRCA,0,0,tabpfn_v2_6,320,80,101,success,0.12806245684623718,validation split balanced accuracy,0.30302352600028826,7.3586605729997245,0.7029702970297029,0.5939393939393939,0.25,0.45454545454545453,0.7333333333333333,0.5434343434343434,0.31631102817284273,0.34119243089407125,0.09041809986790644,/opt/tabr1_results/per_cancer/os_3yr/BRCA/repeat_00_fold_00/tabpfn_v2_6/test_predictions.csv,,,
per_cancer,os_3yr,BRCA,0,0,tabpfn_v3,320,80,101,success,0.12148269265890121,validation split balanced accuracy,0.5136079960002462,5.90319748300044,0.6435643564356436,0.6005050505050504,0.25,0.5454545454545454,0.6555555555555556,0.5969696969696969,0.36434824205972394,0.3220613266977552,0.08879783159602764,/opt/tabr1_results/per_cancer/os_3yr/BRCA/repeat_00_fold_00/tabpfn_v3/test_predictions.csv,,,
per_cancer,os_3yr,BRCA,0,0,tabfm_default,320,80,101,success,0.08482909202575684,validation split balanced accuracy,8.797963775000426,4.178491704999942,0.32673267326732675,0.5025252525252526,0.19047619047619047,0.7272727272727273,0.2777777777777778,0.4757575757575757,0.20315034104003543,0.3351699774608864,0.0916320571057509,/opt/tabr1_results/per_cancer/os_3yr/BRCA/repeat_00_fold_00/tabfm_default/test_predictions.csv,,,
per_cancer,os_3yr,BRCA,0,0,autogluon,320,80,101,success,0.15542574226856232,validation split balanced accuracy,5.396626679999827,0.01352204399972834,0.801980198019802,0.5696969696969697,0.23076923076923078,0.2727272727272727,0.8666666666666667,0.6555555555555557,0.19146330924038302,0.3421654198045631,0.09645185137885842,/opt/tabr1_results/per_cancer/os_3yr/BRCA/repeat_00_fold_00/autogluon/test_predictions.csv,,,
per_cancer,os_3yr,BRCA,0,1,tabpfn_v2,320,81,100,success,0.09826812148094177,validation split balanced accuracy,0.31005799600006867,7.170768243000566,0.45,0.5606312292358804,0.26666666666666666,0.7142857142857143,0.4069767441860465,0.5340531561461794,0.17723985291620314,0.41864970623879294,0.12411072042662738,/opt/tabr1_results/per_cancer/os_3yr/BRCA/repeat_00_fold_01/tabpfn_v2/test_predictions.csv,,,
per_cancer,os_3yr,BRCA,0,1,tabpfn_v2_5,320,81,100,success,0.08350769430398941,validation split balanced accuracy,0.2452789130002202,6.773260390999894,0.36,0.5382059800664452,0.2558139534883721,0.7857142857142857,0.29069767441860467,0.5232558139534884,0.1635963112708046,0.4162730636587805,0.12338805899741569,/opt/tabr1_results/per_cancer/os_3yr/BRCA/repeat_00_fold_01/tabpfn_v2_5/test_predictions.csv,,,
per_cancer,os_3yr,BRCA,0,1,tabpfn_v2_6,320,81,100,success,0.11452505737543106,validation split balanced accuracy,0.31097289100034686,7.763327478000065,0.49,0.4642857142857143,0.19047619047619047,0.42857142857142855,0.5,0.5888704318936877,0.2323072828160575,0.4065005235483216,0.12153190168818298,/opt/tabr1_results/per_cancer/os_3yr/BRCA/repeat_00_fold_01/tabpfn_v2_6/test_predictions.csv,,,
per_cancer,os_3yr,BRCA,0,1,tabpfn_v3,320,81,100,success,0.11521433293819427,validation split balanced accuracy,0.5186022910002066,6.0731495310001264,0.55,0.558970099667774,0.26229508196721313,0.5714285714285714,0.5465116279069767,0.5681063122923588,0.18964272060248857,0.40137254011990026,0.11988006591066151,/opt/tabr1_results/per_cancer/os_3yr/BRCA/repeat_00_fold_01/tabpfn_v3/test_predictions.csv,,,
