rnaseq_gene__GENE_RBMY1F,rnaseq_gene__GENE_RBMY1A3P,rnaseq_gene__GENE_RBMY1E,rnaseq_gene__GENE_RBMY3AP,rnaseq_gene__GENE_DEFB121,rnaseq_gene__GENE_TTTY21,rnaseq_gene__GENE_SNAR-A2,rnaseq_gene__GENE_CDY1B,rnaseq_gene__GENE_CT47A7,rnaseq_gene__GENE_CT47A6,rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_LRRC30,rnaseq_gene__GENE_MS4A5,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_OR10J1,methylation_gene__GENE_SORBS1,rnaseq_gene__GENE_PSG11,rnaseq_gene__GENE_RBMY2FP,methylation_gene__GENE_ACPL2,methylation_gene__GENE_PRDX6,rnaseq_gene__GENE_OR4D10,rnaseq_gene__GENE_LELP1,rnaseq_gene__GENE_RBMY1J,methylation_gene__GENE_TYMP;ODF3B,rnaseq_gene__GENE_OR8H1,rnaseq_gene__GENE_ONECUT3,rnaseq_gene__GENE_OR51A7,rnaseq_gene__GENE_C10ORF96,rnaseq_gene__GENE_SNORA69,methylation_gene__GENE_PIGP;TTC3,rnaseq_gene__GENE_DEFB104A,methylation_gene__GENE_DCUN1D4,methylation_gene__GENE_SCRIB,rnaseq_gene__GENE_OR5B3,methylation_gene__GENE_ZNF596;RPL23AP53,methylation_gene__GENE_TNKS2,rnaseq_gene__GENE_OR5A1,rnaseq_gene__GENE_P2RX6P,rnaseq_gene__GENE_MAGEB10,rnaseq_gene__GENE_C20ORF166,methylation_gene__GENE_NACC1;TRMT1,rnaseq_gene__GENE_FGF6,rnaseq_gene__GENE_AMBN,rnaseq_gene__GENE_PAGE3,rnaseq_gene__GENE_DHRS7C,rnaseq_gene__GENE_PRDM14,rnaseq_gene__GENE_OTUD6A,rnaseq_gene__GENE_OR4A5,rnaseq_gene__GENE_RBMY1A1,rnaseq_gene__GENE_ZNF735,methylation_gene__GENE_C6ORF47,rnaseq_gene__GENE_OR8K3,methylation_gene__GENE_GMCL1,methylation_gene__GENE_ST3GAL1,rnaseq_gene__GENE_TECRL,rnaseq_gene__GENE_DKFZP434L192,rnaseq_gene__GENE_NKX6-2,rnaseq_gene__GENE_MOS,methylation_gene__GENE_UNC84B,rnaseq_gene__GENE_LIM2,rnaseq_gene__GENE_CABP2,methylation_gene__GENE_ZNF624,rnaseq_gene__GENE_PRODH2,rnaseq_gene__GENE_NPBWR2,rnaseq_gene__GENE_LINC00635,rnaseq_gene__GENE_OR2T27,rnaseq_gene__GENE_TMIGD1,methylation_gene__GENE_DCI,rnaseq_gene__GENE_TMEM207,rnaseq_gene__GENE_RAG2,methylation_gene__GENE_CYP51A1,methylation_gene__GENE_LOC652276,methylation_gene__GENE_FGFRL1,methylation_gene__GENE_RPUSD2,rnaseq_gene__GENE_SAA3P,rnaseq_gene__GENE_OR8B4,methylation_gene__GENE_ATMIN,rnaseq_gene__GENE_OR1I1,methylation_gene__GENE_INHA;OBSL1,methylation_gene__GENE_RUNDC2A,rnaseq_gene__GENE_CRYGA,methylation_gene__GENE_CDKN1B,rnaseq_gene__GENE_OR52E2,methylation_gene__GENE_DUSP4,methylation_gene__GENE_SLC25A38,methylation_gene__GENE_LPCAT1,methylation_gene__GENE_PMS1;ORMDL1,methylation_gene__GENE_FGF22,rnaseq_gene__GENE_MLN,methylation_gene__GENE_ZNF160,rnaseq_gene__GENE_SNAR-B2,rnaseq_gene__GENE_ATP1B4,rnaseq_gene__GENE_SNORA11D,methylation_gene__GENE_DDX56,methylation_gene__GENE_PGAP1,rnaseq_gene__GENE_SPANXE,rnaseq_gene__GENE_TSPY1,rnaseq_gene__GENE_OR8B12,rnaseq_gene__GENE_TBC1D28,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.05803116,7.0507174,-0.067629814,-0.07355285,-0.07421895,0.23093128,-0.08720162,-0.039873518,0.59649277,-0.13785753,-0.09654722,-0.06767534,-0.04061949,0.7585861,-0.057666454,-0.071920976,-0.06867951,-0.14370757,-0.08561648,0.043400798,-0.048288155,0.32707933,-0.41032338,-0.06940588,-0.11021341,0.24027158,-0.09926551,-0.052082743,0.8101285,-0.11526267,1.1414319,-0.08795058,-0.21529208,-0.066061795,1.7362952,-0.19387476,-0.1489025,-0.06427042,-0.044386145,-0.09391567,0.23512019,-0.08367701,1.1340773,0.64437985,-0.11196494,-0.16218084,-0.09467098,-0.09939945,0.52809095,-0.23341642,-0.07587367,0.6220517,1.7141361,23.692472,-0.18354331,-0.050521668,-0.13838363,0.22217868,-0.11980957,1.1611284,0.31500235,0.2838155,0.25357172,0.49858165,-0.16757363,-0.078787245,0.546277,-0.09172271,0.023762159,1.502535,-0.07638114,0.1182195,-0.09379102,0.18946539,0.15351161,0.15716496,0.1612397,-0.12080551,-0.11664121,0.40766037,-0.13498159,-0.2503585,-0.100824,0.02971419,-0.07695419,-0.17491919,6.0857224,-0.13939492,-0.16144404,0
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.05803116,-0.069158584,-0.067629814,-0.07355285,-0.07421895,-0.035036173,-0.08720162,-0.039873518,0.7476855,0.23064291,-0.09654722,-0.06767534,-0.04061949,-0.14113313,-0.057666454,-0.071920976,-0.06867951,-0.14370757,-0.08561648,0.49041125,-0.048288155,0.63045555,0.15346035,-0.06940588,-0.15192229,0.8020264,4.4264455,-0.052082743,-0.1653577,-0.11526267,0.19510004,-0.08795058,-0.21529208,-0.066061795,-0.17625973,-0.19387476,-0.1489025,-0.06427042,-0.044386145,-0.09391567,0.52101994,-0.08367701,0.34237644,0.5072738,-0.11196494,-0.16218084,-0.09467098,-0.09939945,-0.41376457,-0.23341642,-0.07587367,0.15315995,-0.16565828,-0.08846551,-0.18354331,-0.050521668,-0.13838363,0.46784836,-0.11980957,-0.18899952,0.2938332,0.27190563,-0.09555266,0.54176915,-0.16757363,-0.078787245,-0.18094221,-0.09172271,-0.11508563,0.9439678,-0.07638114,0.6107545,-0.09379102,-0.02096244,-0.022540353,-0.08353435,0.07848424,-0.12388846,-0.11664121,0.022995586,4.0270185,-0.2503585,-0.100824,-0.059177678,0.15189625,-0.17491919,-0.061940223,-0.13939492,-0.16144404,0
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.05803116,-0.069158584,-0.067629814,-0.07355285,-0.07421895,-0.52044886,-0.08720162,-0.039873518,-0.66036993,-0.4579842,-0.09654722,-0.06767534,-0.04061949,-0.42164096,-0.057666454,-0.071920976,-0.06867951,-0.14370757,-0.08561648,-0.41058275,-0.048288155,-0.2035684,-0.02344199,-0.06940588,-0.0067735068,-0.4577368,-0.09926551,-0.052082743,-0.1653577,-0.11526267,-0.54242903,11.442419,-0.21529208,-0.066061795,-0.17625973,-0.19387476,-0.1489025,-0.06427042,-0.044386145,-0.09391567,-0.03927327,-0.08367701,-0.30556974,-0.22376871,-0.11196494,-0.16218084,-0.09467098,-0.09939945,-1.1152893,-0.23341642,-0.07587367,-0.33035803,-0.16565828,-0.08846551,-0.18354331,-0.050521668,-0.13838363,-0.3187792,-0.11980957,-0.18899952,-0.11618164,-0.3705093,-0.27049574,-0.0707264,-0.16757363,-0.078787245,-0.26031652,-0.09172271,-0.21325545,-1.6598191,-0.07638114,0.5350803,-0.09379102,-0.3292429,-0.06386584,-0.29508233,-0.6284267,-0.15848024,-0.11664121,-0.18157369,-0.13498159,-0.2503585,-0.100824,-0.3866297,-0.35247433,-0.17491919,-0.061940223,-0.13939492,-0.16144404,0
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.05803116,-0.069158584,-0.067629814,-0.07355285,-0.07421895,0.12011606,-0.08720162,-0.039873518,-0.016315434,-0.060981262,-0.09654722,-0.06767534,-0.04061949,-0.1266541,-0.057666454,-0.071920976,-0.06867951,-0.14370757,-0.08561648,-0.33585742,-0.048288155,-0.06348308,0.61090565,-0.06940588,-0.30572116,0.001589194,-0.09926551,-0.052082743,2.178494,-0.11526267,-0.39563727,-0.08795058,2.589988,-0.066061795,-0.17625973,-0.19387476,-0.1489025,-0.06427042,-0.044386145,-0.09391567,-0.00924547,-0.08367701,0.05669328,0.22784412,-0.11196494,-0.16218084,-0.09467098,-0.09939945,-0.0408568,-0.23341642,-0.07587367,-0.08773452,-0.16565828,-0.08846551,2.3484457,-0.050521668,-0.13838363,0.02144555,-0.11980957,-0.18899952,-0.18359837,-0.20541738,0.6553717,-0.037392955,-0.16757363,-0.078787245,0.08215214,-0.09172271,0.64910924,-0.33973792,-0.07638114,0.14301221,-0.09379102,0.5499593,-0.15233943,-0.02443152,-0.7129856,0.066622846,-0.11664121,-0.1419233,-0.13498159,-0.2503585,-0.100824,-0.5161384,-0.40057236,-0.17491919,-0.061940223,-0.13939492,-0.16144404,1
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.05803116,-0.069158584,-0.067629814,-0.07355285,-0.07421895,-0.667513,-0.08720162,-0.039873518,-0.114545524,-0.3458404,-0.09654722,-0.06767534,-0.04061949,-0.12523481,-0.057666454,-0.071920976,-0.06867951,-0.14370757,-0.08561648,-0.5281125,-0.048288155,-0.23640743,-0.21392961,-0.06940588,-0.3447013,-0.38270107,-0.09926551,-0.052082743,-0.1653577,-0.11526267,-0.17031978,-0.08795058,-0.21529208,-0.066061795,-0.17625973,-0.19387476,-0.1489025,-0.06427042,-0.044386145,-0.09391567,-0.20306486,-0.08367701,-0.2841756,-0.6440362,-0.11196494,-0.16218084,-0.09467098,-0.09939945,-0.1900007,-0.23341642,-0.07587367,-0.013435239,-0.16565828,-0.08846551,-0.18354331,-0.050521668,-0.13838363,-0.20575269,-0.11980957,-0.18899952,-0.25319222,-0.21894683,-0.8818198,-0.029444681,-0.16757363,-0.078787245,-1.0461692,-0.09172271,-0.3337177,-1.289935,-0.07638114,-0.27514294,-0.09379102,-0.6273908,-0.18744747,-0.1322655,0.29207784,-0.22353634,-0.11664121,-0.30890614,-0.13498159,-0.2503585,-0.100824,1.9976261,-0.19420971,-0.17491919,-0.061940223,-0.13939492,-0.16144404,0
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.05803116,-0.069158584,-0.067629814,-0.07355285,-0.07421895,-0.4240292,-0.08720162,-0.039873518,-0.72791964,-0.07433188,-0.09654722,-0.06767534,-0.04061949,-0.16216893,-0.057666454,-0.071920976,-0.06867951,-0.14370757,-0.08561648,-0.6799201,-0.048288155,0.041524988,-0.42612198,-0.06940588,-0.00013214204,-0.14644094,-0.09926551,-0.052082743,-0.1653577,-0.11526267,-0.45751405,-0.08795058,-0.21529208,-0.066061795,-0.17625973,-0.19387476,-0.1489025,-0.06427042,-0.044386145,-0.09391567,0.00026870536,-0.08367701,-0.5615083,0.13991801,-0.11196494,-0.16218084,-0.09467098,-0.09939945,0.56129915,-0.23341642,-0.07587367,-0.109269306,-0.16565828,-0.08846551,-0.18354331,-0.050521668,-0.13838363,-0.19530241,-0.11980957,-0.18899952,0.14450017,-0.25502777,0.9276684,0.02774375,-0.16757363,-0.078787245,0.049847342,13.675783,-0.2412562,1.7105508,-0.07638114,0.893701,-0.09379102,0.7317149,0.31965792,-0.28486124,-0.4730439,-0.07439853,-0.11664121,0.30988386,-0.13498159,1.4427029,-0.100824,-0.1693062,-0.07129137,-0.17491919,-0.061940223,-0.13939492,-0.16144404,0
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.05803116,-0.069158584,2.2814748,-0.07355285,-0.07421895,0.28691253,-0.08720162,-0.039873518,0.024879675,-0.10993154,-0.09654722,-0.06767534,-0.04061949,-0.107154295,-0.057666454,-0.071920976,-0.06867951,-0.14370757,-0.08561648,0.068772785,-0.048288155,0.041251127,0.80332845,-0.06940588,0.18472156,-0.20360105,-0.09926551,-0.052082743,-0.1653577,-0.11526267,-0.17821845,-0.08795058,-0.21529208,-0.066061795,-0.17625973,-0.19387476,-0.1489025,-0.06427042,-0.044386145,-0.09391567,0.016322687,-0.08367701,0.18948545,0.06906666,-0.11196494,-0.16218084,-0.09467098,-0.09939945,0.28704673,-0.23341642,-0.07587367,-0.08600272,-0.16565828,-0.08846551,-0.18354331,-0.050521668,-0.13838363,0.0042197113,-0.11980957,-0.18899952,-0.07979649,-0.35825244,0.48911765,-0.14244261,-0.16757363,-0.078787245,0.19908662,-0.09172271,-0.23706704,-0.40500832,-0.07638114,-0.090995,-0.09379102,0.73474103,-0.25925747,0.1443245,-0.62392634,-0.13549826,-0.11664121,-0.0986965,-0.13498159,-0.2503585,-0.100824,-0.47323787,-0.19371238,-0.17491919,-0.061940223,-0.13939492,-0.16144404,0
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.05803116,-0.069158584,-0.067629814,-0.07355285,-0.07421895,0.5869054,-0.08720162,-0.039873518,0.2807133,-0.23372367,-0.09654722,-0.06767534,-0.04061949,-0.33878514,-0.057666454,-0.071920976,-0.06867951,-0.14370757,-0.08561648,-0.11547741,-0.048288155,-0.15942761,-0.30329698,-0.06940588,-0.26215294,-0.089279756,-0.09926551,-0.052082743,-0.1653577,-0.11526267,0.36027178,-0.08795058,-0.21529208,-0.066061795,-0.17625973,-0.19387476,-0.1489025,-0.06427042,-0.044386145,-0.09391567,-0.0077023013,-0.08367701,-0.28660023,-0.32236236,-0.11196494,-0.16218084,-0.09467098,4.320285,-0.37266234,-0.23341642,-0.07587367,-0.25072306,-0.16565828,-0.08846551,-0.18354331,-0.050521668,-0.13838363,-0.27926168,-0.11980957,-0.18899952,0.059908167,-0.117324315,-0.64491737,-0.006336753,-0.16757363,-0.078787245,0.27030557,-0.09172271,-0.094427064,0.4893828,-0.07638114,-0.4170473,-0.09379102,-0.18931454,-0.18421952,-0.015928619,-0.012349918,-0.10479945,-0.11664121,-0.17353417,-0.13498159,-0.2503585,-0.100824,-0.8038559,-0.25508788,-0.17491919,-0.061940223,-0.13939492,-0.16144404,0
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,4.4684606,-0.069158584,-0.067629814,-0.07355285,-0.07421895,0.37145784,-0.08720162,-0.039873518,-0.2745591,-0.04518739,-0.09654722,-0.06767534,-0.04061949,-0.15689152,-0.057666454,-0.071920976,-0.06867951,-0.14370757,-0.08561648,-0.019686019,-0.048288155,0.024911541,0.49732104,-0.06940588,19.522757,-0.048224147,-0.09926551,-0.052082743,-0.1653577,-0.11526267,-0.5251848,-0.08795058,-0.21529208,-0.066061795,4.046281,-0.19387476,-0.1489025,-0.06427042,-0.044386145,-0.09391567,-0.054448042,-0.08367701,0.1411506,-0.07876867,-0.11196494,-0.16218084,-0.09467098,-0.09939945,0.09449424,-0.23341642,-0.07587367,-0.009135867,-0.16565828,-0.08846551,-0.18354331,-0.050521668,-0.13838363,0.1348535,-0.11980957,-0.18899952,-0.16648886,-0.14983705,0.54194987,0.020923164,-0.16757363,-0.078787245,0.08095482,-0.09172271,-0.03370398,-1.1711066,-0.07638114,-0.6828257,-0.09379102,0.086566135,-0.225915,0.13845856,-0.61610097,5.4955225,-0.11664121,-0.036366597,-0.13498159,-0.2503585,-0.100824,-0.4808563,-0.37047037,-0.17491919,-0.061940223,-0.13939492,2.0894432,1
