task_family,model_name,accuracy,f1,roc_auc,log_loss
cancer_type,tabpfn_v1,0.8353909465020576,0.8134565791243483,0.9791199894239008,0.4419343674096525
cancer_type,tabpfn_v2,0.8950617283950617,0.9051090944717776,0.991807659007901,0.1930594679400878
cancer_type,tabpfn_v2_5,0.8950617283950617,0.9051090944717776,0.9918094204524044,0.2014841973434502
cancer_type,tabpfn_v2_6,0.8950617283950617,0.9050566969007984,0.991807659007901,0.1927936105304527
cancer_type,tabpfn_v3,0.8950617283950617,0.905029711787806,0.9918094204524044,0.1907056937790528
os_event,tabpfn_v1,0.6694404550702598,0.06274509803921569,0.5595959888509643,0.605907145765222
os_event,tabpfn_v2,0.6657400750880463,0.24609913530629637,0.5801212938403604,0.6035488713031489
os_event,tabpfn_v2_5,0.663426834574657,0.24848484848484848,0.5786750721555322,0.6068059737352176
os_event,tabpfn_v2_6,0.6666500520965334,0.1918176328502415,0.5730877017830094,0.6016669632449733
os_event,tabpfn_v3,0.6807938385289065,0.15479876160990708,0.5729607239402347,0.5993035043976335
source,tabpfn_v1,0.9986187845303868,0.9992307692307691,0.9992331288343558,0.01325755413661585
source,tabpfn_v2,0.9986187845303868,0.9992307692307691,0.9992331288343558,0.044594105377162296
source,tabpfn_v2_5,0.9986187845303868,0.9992307692307691,0.9992331288343558,0.0091107961145933
source,tabpfn_v2_6,0.9986187845303868,0.9992307692307691,0.9992331288343558,0.015117227948829502
source,tabpfn_v3,0.9986187845303868,0.9992307692307691,0.9992331288343558,0.007065708500529837
